sim_time, unit_box_Custom?world_angular_acceleration/x
0.001, 1.01713e-14
0.002, -0.000150254
0.003, -0.0560311
0.004, -6.18244e-07
0.005, -1.88637e-05
0.006, -2.59369e-06
0.007, -1.12401e-05
0.008, -2.72859e-06
0.009, -5.40476e-05
0.01, -7.17833e-06
0.011, -2.29748e-05
0.012, -4.27205e-06
0.013, -8.81391e-05
0.014, -1.27682e-05
0.015, -3.48682e-05
0.016, -5.73109e-06
0.017, -0.000122295
0.018, -1.83195e-05
0.019, -4.67304e-05
0.02, -7.28382e-06
0.021, -0.000156797
0.022, -2.36269e-05
0.023, -5.85885e-05
0.024, -8.92189e-06
0.025, -0.000191579
0.026, -2.87892e-05
0.027, -7.0497e-05
0.028, -1.06116e-05
0.029, -0.000226581
0.03, -3.3898e-05
0.031, -8.24958e-05
0.032, -1.23337e-05
0.033, -0.000261784
0.034, -3.90014e-05
0.035, -9.46133e-05
0.036, -1.40808e-05
0.037, -0.000297195
0.038, -4.41221e-05
0.039, -0.000106872
0.04, -1.58516e-05
0.041, -0.000332831
0.042, -4.92714e-05
0.043, -0.000119291
0.044, -1.76473e-05
0.045, -0.000368718
0.046, -5.44559e-05
0.047, -0.00013189
0.048, -1.947e-05
0.049, -0.000404881
0.05, -5.96805e-05
0.051, -0.000144688
0.052, -2.13222e-05
0.053, -0.000441347
0.054, -6.49496e-05
0.055, -0.000157705
0.056, -2.32064e-05
0.057, -0.000478143
0.058, -7.02671e-05
0.059, -0.000170958
0.06, -2.51256e-05
0.061, -0.000515297
0.062, -7.56373e-05
0.063, -0.000184468
0.064, -2.70824e-05
0.065, -0.000552836
0.066, -8.1064e-05
0.067, -0.000198254
0.068, -2.90798e-05
0.069, -0.000590789
0.07, -8.65515e-05
0.071, -0.000212337
0.072, -3.11205e-05
0.073, -0.000629185
0.074, -9.21039e-05
0.075, -0.000226737
0.076, -3.32076e-05
0.077, -0.000668052
0.078, -9.77253e-05
0.079, -0.000241474
0.08, -3.53441e-05
0.081, -0.00070742
0.082, -0.00010342
0.083, -0.000256569
0.084, -3.7533e-05
0.085, -0.000747319
0.086, -0.000109192
0.087, -0.000272045
0.088, -3.97773e-05
0.089, -0.000787779
0.09, -0.000115047
0.091, -0.000287922
0.092, -4.20803e-05
0.093, -0.000828831
0.094, -0.000120988
0.095, -0.000304223
0.096, -4.44452e-05
0.097, -0.000870506
0.098, -0.00012702
0.099, -0.000320971
0.1, -4.68752e-05
0.101, -0.000912836
0.102, -0.000133147
0.103, -0.000338188
0.104, -4.93738e-05
0.105, -0.000955854
0.106, -0.000139375
0.107, -0.000355893
0.108, -5.19582e-05
0.109, -0.000999564
0.11, -0.000145746
0.111, -0.000374101
0.112, -5.46163e-05
0.113, -0.00104404
0.114, -0.000152194
0.115, -0.000392876
0.116, -5.73396e-05
0.117, -0.00108931
0.118, -0.000158762
0.119, -0.000412216
0.12, -6.01466e-05
0.121, -0.00113541
0.122, -0.000165446
0.123, -0.000432149
0.124, -6.30413e-05
0.125, -0.00118237
0.126, -0.000172253
0.127, -0.000452701
0.128, -6.60269e-05
0.129, -0.00123022
0.13, -0.00017919
0.131, -0.000473901
0.132, -6.91069e-05
0.133, -0.001279
0.134, -0.000186263
0.135, -0.000495777
0.136, -7.22854e-05
0.137, -0.00132876
0.138, -0.000193477
0.139, -0.000518356
0.14, -7.55665e-05
0.141, -0.00137952
0.142, -0.000200838
0.143, -0.000541669
0.144, -7.89543e-05
0.145, -0.00143134
0.146, -0.000208351
0.147, -0.000565746
0.148, -8.24533e-05
0.149, -0.00148424
0.15, -0.000216024
0.151, -0.000590618
0.152, -8.6068e-05
0.153, -0.00153827
0.154, -0.000223861
0.155, -0.000616316
0.156, -8.98029e-05
0.157, -0.00159347
0.158, -0.000231868
0.159, -0.000642873
0.16, -9.36629e-05
0.161, -0.00164989
0.162, -0.000240053
0.163, -0.000670323
0.164, -9.76527e-05
0.165, -0.00170757
0.166, -0.000248422
0.167, -0.0006987
0.168, -0.000101777
0.169, -0.00176656
0.17, -0.00025698
0.171, -0.000728041
0.172, -0.000106042
0.173, -0.00182689
0.174, -0.000265736
0.175, -0.00075838
0.176, -0.000110452
0.177, -0.00188863
0.178, -0.000274695
0.179, -0.000789757
0.18, -0.000115013
0.181, -0.00195182
