sim_time, unit_box_Custom?world_angular_acceleration/y
0.001, -0.000234519
0.002, 5.34558
0.003, -10.4944
0.004, -2.54984
0.005, 13.5741
0.006, 1.25724
0.007, -12.217
0.008, -2.37963
0.009, 13.2384
0.01, 1.50903
0.011, -12.5862
0.012, -2.0814
0.013, 13.0025
0.014, 1.71282
0.015, -12.7558
0.016, -1.93514
0.017, 12.9008
0.018, 1.80353
0.019, -12.8177
0.02, -1.87958
0.021, 12.8651
0.022, 1.83607
0.023, -12.8382
0.024, -1.86075
0.025, 12.8534
0.026, 1.84683
0.027, -12.8449
0.028, -1.85466
0.029, 12.8496
0.03, 1.85029
0.031, -12.847
0.032, -1.8527
0.033, 12.8484
0.034, 1.8514
0.035, -12.8477
0.036, -1.85207
0.037, 12.848
0.038, 1.85175
0.039, -12.8479
0.04, -1.85185
0.041, 12.8479
0.042, 1.85187
0.043, -12.848
0.044, -1.85177
0.045, 12.8478
0.046, 1.85191
0.047, -12.848
0.048, -1.85174
0.049, 12.8478
0.05, 1.85193
0.051, -12.848
0.052, -1.85172
0.053, 12.8478
0.054, 1.85194
0.055, -12.8481
0.056, -1.8517
0.057, 12.8478
0.058, 1.85195
0.059, -12.8481
0.06, -1.85169
0.061, 12.8478
0.062, 1.85195
0.063, -12.8481
0.064, -1.85167
0.065, 12.8478
0.066, 1.85196
0.067, -12.8481
0.068, -1.85166
0.069, 12.8478
0.07, 1.85196
0.071, -12.8481
0.072, -1.85164
0.073, 12.8478
0.074, 1.85197
0.075, -12.8481
0.076, -1.85163
0.077, 12.8478
0.078, 1.85197
0.079, -12.8481
0.08, -1.85161
0.081, 12.8478
0.082, 1.85198
0.083, -12.8482
0.084, -1.8516
0.085, 12.8478
0.086, 1.85199
0.087, -12.8482
0.088, -1.85158
0.089, 12.8478
0.09, 1.85199
0.091, -12.8482
0.092, -1.85157
0.093, 12.8478
0.094, 1.852
0.095, -12.8482
0.096, -1.85155
0.097, 12.8478
0.098, 1.852
0.099, -12.8482
0.1, -1.85153
0.101, 12.8478
0.102, 1.85201
0.103, -12.8482
0.104, -1.85152
0.105, 12.8477
0.106, 1.85201
0.107, -12.848
0.108, -1.85199
0.109, 12.8474
0.11, 1.85249
0.111, -12.8473
0.112, -1.85236
0.113, 12.8473
0.114, 1.85253
0.115, -12.8475
0.116, -1.85225
0.117, 12.8471
0.118, 1.85263
0.119, -12.8476
0.12, -1.85217
0.121, 12.8471
0.122, 1.85268
0.123, -12.8476
0.124, -1.85214
0.125, 12.8471
0.126, 1.85271
0.127, -12.8476
0.128, -1.85212
0.129, 12.847
0.13, 1.85272
0.131, -12.8477
0.132, -1.8521
0.133, 12.847
0.134, 1.85274
0.135, -12.8477
0.136, -1.85209
0.137, 12.847
0.138, 1.85275
0.139, -12.8477
0.14, -1.85208
0.141, 12.847
0.142, 1.85276
0.143, -12.8477
0.144, -1.85207
0.145, 12.847
0.146, 1.85277
0.147, -12.8477
0.148, -1.85206
