sim_time, unit_box_Custom?world_angular_acceleration/z
0.001, -0.000234519
0.002, 5.34543
0.003, -10.4384
0.004, -2.54984
0.005, 13.5742
0.006, 1.25724
0.007, -12.217
0.008, -2.37964
0.009, 13.2384
0.01, 1.50904
0.011, -12.5862
0.012, -2.0814
0.013, 13.0025
0.014, 1.71283
0.015, -12.7559
0.016, -1.93514
0.017, 12.9009
0.018, 1.80355
0.019, -12.8177
0.02, -1.87959
0.021, 12.8652
0.022, 1.83608
0.023, -12.8383
0.024, -1.86076
0.025, 12.8535
0.026, 1.84685
0.027, -12.8449
0.028, -1.85467
0.029, 12.8498
0.03, 1.85032
0.031, -12.847
0.032, -1.85271
0.033, 12.8486
0.034, 1.85143
0.035, -12.8477
0.036, -1.85208
0.037, 12.8482
0.038, 1.85179
0.039, -12.848
0.04, -1.85186
0.041, 12.8481
0.042, 1.85191
0.043, -12.8481
0.044, -1.85179
0.045, 12.8481
0.046, 1.85196
0.047, -12.8481
0.048, -1.85175
0.049, 12.8481
0.05, 1.85198
0.051, -12.8481
0.052, -1.85173
0.053, 12.8482
0.054, 1.85199
0.055, -12.8482
0.056, -1.85172
0.057, 12.8482
0.058, 1.852
0.059, -12.8482
0.06, -1.85171
0.061, 12.8482
0.062, 1.85201
0.063, -12.8482
0.064, -1.85169
0.065, 12.8482
0.066, 1.85202
0.067, -12.8482
0.068, -1.85168
0.069, 12.8482
0.07, 1.85203
0.071, -12.8483
0.072, -1.85167
0.073, 12.8483
0.074, 1.85204
0.075, -12.8483
0.076, -1.85165
0.077, 12.8483
0.078, 1.85205
0.079, -12.8483
0.08, -1.85164
0.081, 12.8483
0.082, 1.85206
0.083, -12.8484
0.084, -1.85162
0.085, 12.8483
0.086, 1.85207
0.087, -12.8484
0.088, -1.85161
0.089, 12.8484
0.09, 1.85208
0.091, -12.8484
0.092, -1.8516
0.093, 12.8484
0.094, 1.85209
0.095, -12.8484
0.096, -1.85158
0.097, 12.8484
0.098, 1.8521
0.099, -12.8485
0.1, -1.85157
0.101, 12.8484
0.102, 1.85211
0.103, -12.8485
0.104, -1.85156
0.105, 12.8485
0.106, 1.85212
0.107, -12.8483
0.108, -1.85203
0.109, 12.8481
0.11, 1.8526
0.111, -12.8476
0.112, -1.8524
0.113, 12.848
0.114, 1.85264
0.115, -12.8478
0.116, -1.85229
0.117, 12.848
0.118, 1.85275
0.119, -12.8479
0.12, -1.85222
0.121, 12.8479
0.122, 1.85281
0.123, -12.8479
0.124, -1.85218
0.125, 12.8479
0.126, 1.85284
0.127, -12.848
0.128, -1.85217
0.129, 12.848
0.13, 1.85286
0.131, -12.848
0.132, -1.85216
0.133, 12.848
0.134, 1.85288
0.135, -12.848
0.136, -1.85215
0.137, 12.848
0.138, 1.85289
0.139, -12.8481
0.14, -1.85214
0.141, 12.848
0.142, 1.85291
0.143, -12.8481
0.144, -1.85213
0.145, 12.8481
0.146, 1.85293
0.147, -12.8481
0.148, -1.85212
0.149, 12.8481
0.15, 1.85295
0.151, -12.8482
0.152, -1.85211
0.153, 12.8481
0.154, 1.85296
0.155, -12.8482
0.156, -1.8521
0.157, 12.8482
0.158, 1.85298
0.159, -12.8482
0.16, -1.85209
0.161, 12.8482
0.162, 1.853
0.163, -12.8482
0.164, -1.85208
0.165, 12.8482
0.166, 1.85302
0.167, -12.8483
0.168, -1.85207
0.169, 12.8482
0.17, 1.85304
0.171, -12.8483
0.172, -1.85207
0.173, 12.8483
0.174, 1.85306
0.175, -12.8484
0.176, -1.85206
0.177, 12.8483
0.178, 1.85308
0.179, -12.8484
0.18, -1.85205
0.181, 12.8483
0.182, 1.8531
0.183, -12.8484
0.184, -1.85204
0.185, 12.8484
0.186, 1.85312
0.187, -12.8485
0.188, -1.85203
0.189, 12.8484
0.19, 1.85314
0.191, -12.8485
0.192, -1.85202
0.193, 12.8485
0.194, 1.85316
0.195, -12.8485
0.196, -1.85201
0.197, 12.8485
0.198, 1.85318
0.199, -12.8486
0.2, -1.852
0.201, 12.8485
0.202, 1.8532
0.203, -12.8486
0.204, -1.85199
0.205, 12.8486
0.206, 1.85322
0.207, -12.8487
0.208, -1.85198
0.209, 12.8486
0.21, 1.85325
0.211, -12.8487
0.212, -1.85197
0.213, 12.8487
0.214, 1.85327
0.215, -12.8488
0.216, -1.85196
0.217, 12.8487
0.218, 1.85329
0.219, -12.8488
0.22, -1.85195
0.221, 12.8487
0.222, 1.85332
0.223, -12.8489
0.224, -1.85194
0.225, 12.8488
0.226, 1.85334
0.227, -12.8489
0.228, -1.85193
0.229, 12.8488
0.23, 1.85337
0.231, -12.849
0.232, -1.85192
0.233, 12.8489
0.234, 1.85339
0.235, -12.849
0.236, -1.85191
0.237, 12.8489
0.238, 1.85342
0.239, -12.8491
0.24, -1.8519
0.241, 12.849
0.242, 1.85344
0.243, -12.8491
0.244, -1.85189
0.245, 12.849
0.246, 1.85347
0.247, -12.8492
0.248, -1.85188
0.249, 12.8491
0.25, 1.8535
0.251, -12.8492
0.252, -1.85187
0.253, 12.8492
0.254, 1.85352
0.255, -12.8493
0.256, -1.85186
0.257, 12.8492
0.258, 1.85355
0.259, -12.8494
0.26, -1.85185
0.261, 12.8493
0.262, 1.85358
0.263, -12.8494
0.264, -1.85184
0.265, 12.8493
0.266, 1.85361
0.267, -12.8495
0.268, -1.85183
0.269, 12.8494
0.27, 1.85364
0.271, -12.8496
0.272, -1.85182
0.273, 12.8495
0.274, 1.85367
0.275, -12.8496
0.276, -1.85181
0.277, 12.8495
0.278, 1.8537
0.279, -12.8497
0.28, -1.8518
0.281, 12.8496
0.282, 1.85374
0.283, -12.8498
0.284, -1.85179
0.285, 12.8497
0.286, 1.85377
0.287, -12.8499
0.288, -1.85178
0.289, 12.8498
0.29, 1.8538
0.291, -12.8499
0.292, -1.85177
0.293, 12.8498
0.294, 1.85384
0.295, -12.85
0.296, -1.85176
0.297, 12.8499
0.298, 1.85387
0.299, -12.8501
0.3, -1.85175
0.301, 12.85
0.302, 1.85391
0.303, -12.8502
0.304, -1.85174
0.305, 12.8501
0.306, 1.85394
0.307, -12.8503
0.308, -1.85173
0.309, 12.8502
0.31, 1.85398
0.311, -12.8504
0.312, -1.85172
0.313, 12.8503
0.314, 1.85402
0.315, -12.8505
0.316, -1.85171
0.317, 12.8504
0.318, 1.85406
0.319, -12.8506
0.32, -1.8517
0.321, 12.8505
0.322, 1.8541
0.323, -12.8507
0.324, -1.85169
0.325, 12.8506
0.326, 1.85414
0.327, -12.8508
0.328, -1.85168
0.329, 12.8507
0.33, 1.85418
0.331, -12.8509
0.332, -1.85167
0.333, 12.8508
0.334, 1.85422
0.335, -12.851
0.336, -1.85166
0.337, 12.8509
0.338, 1.85426
0.339, -12.8511
0.34, -1.85165
0.341, 12.851
0.342, 1.85431
0.343, -12.8512
0.344, -1.85164
0.345, 12.8511
0.346, 1.85435
0.347, -12.8514
0.348, -1.85163
0.349, 12.8512
0.35, 1.8544
0.351, -12.8515
0.352, -1.85162
0.353, 12.8513
0.354, 1.85445
0.355, -12.8516
0.356, -1.85161
0.357, 12.8515
0.358, 1.8545
0.359, -12.8517
0.36, -1.8516
0.361, 12.8516
0.362, 1.85455
0.363, -12.8519
0.364, -1.85159
0.365, 12.8517
0.366, 1.8546
0.367, -12.852
0.368, -1.85159
0.369, 12.8519
0.37, 1.85465
0.371, -12.8522
0.372, -1.85158
0.373, 12.852
0.374, 1.8547
0.375, -12.8523
0.376, -1.85157
0.377, 12.8522
0.378, 1.85476
0.379, -12.8525
0.38, -1.85156
0.381, 12.8523
0.382, 1.85481
0.383, -12.8526
0.384, -1.85155
0.385, 12.8525
0.386, 1.85487
0.387, -12.8528
0.388, -1.85154
0.389, 12.8526
0.39, 1.85493
0.391, -12.853
0.392, -1.85153
0.393, 12.8528
0.394, 1.85499
0.395, -12.8531
0.396, -1.85152
0.397, 12.853
0.398, 1.85505
0.399, -12.8533
0.4, -1.85152
0.401, 12.8532
0.402, 1.85511
0.403, -12.8535
0.404, -1.85151
0.405, 12.8533
0.406, 1.85517
0.407, -12.8537
0.408, -1.8515
0.409, 12.8535
0.41, 1.85524
0.411, -12.8539
0.412, -1.85149
0.413, 12.8537
0.414, 1.85531
0.415, -12.8541
0.416, -1.85149
0.417, 12.8539
0.418, 1.85538
0.419, -12.8543
0.42, -1.85148
0.421, 12.8541
0.422, 1.85545
0.423, -12.8545
0.424, -1.85147
0.425, 12.8543
0.426, 1.85552
0.427, -12.8547
0.428, -1.85147
0.429, 12.8546
0.43, 1.85559
0.431, -12.855
0.432, -1.85146
0.433, 12.8548
0.434, 1.85567
0.435, -12.8552
0.436, -1.85145
0.437, 12.855
0.438, 1.85574
0.439, -12.8555
0.44, -1.85145
0.441, 12.8553
0.442, 1.85582
0.443, -12.8557
0.444, -1.85144
0.445, 12.8555
0.446, 1.8559
0.447, -12.856
0.448, -1.85144
0.449, 12.8558
0.45, 1.85599
0.451, -12.8562
0.452, -1.85143
0.453, 12.856
0.454, 1.85607
0.455, -12.8565
0.456, -1.85143
0.457, 12.8563
0.458, 1.85616
0.459, -12.8568
0.46, -1.85143
0.461, 12.8566
0.462, 1.85625
0.463, -12.8571
0.464, -1.85142
0.465, 12.8569
0.466, 1.85634
0.467, -12.8574
0.468, -1.85142
0.469, 12.8572
0.47, 1.85643
0.471, -12.8577
0.472, -1.85142
0.473, 12.8575
0.474, 1.85653
0.475, -12.858
0.476, -1.85142
0.477, 12.8578
0.478, 1.85663
0.479, -12.8584
0.48, -1.85142
0.481, 12.8581
0.482, 1.85673
0.483, -12.8587
0.484, -1.85142
0.485, 12.8585
0.486, 1.85683
0.487, -12.8591
0.488, -1.85142
0.489, 12.8588
0.49, 1.85694
0.491, -12.8594
0.492, -1.85142
0.493, 12.8592
0.494, 1.85705
0.495, -12.8598
0.496, -1.85142
0.497, 12.8596
0.498, 1.85716
0.499, -12.8602
0.5, -1.85142
0.501, 12.8599
0.502, 1.85728
0.503, -12.8606
0.504, -1.85142
0.505, 12.8603
0.506, 1.85739
0.507, -12.861
0.508, -1.85143
0.509, 12.8607
0.51, 1.85751
0.511, -12.8614
0.512, -1.85143
0.513, 12.8612
0.514, 1.85764
0.515, -12.8618
0.516, -1.85144
0.517, 12.8616
0.518, 1.85776
0.519, -12.8623
0.52, -1.85144
0.521, 12.8621
0.522, 1.85789
0.523, -12.8628
0.524, -1.85145
0.525, 12.8625
0.526, 1.85802
0.527, -12.8632
0.528, -1.85146
0.529, 12.863
0.53, 1.85816
