sim_time, unit_box_Custom?world_angular_velocity/y
0.001, -2.34519e-07
0.002, 0.00534534
0.003, -0.00514909
0.004, -0.00769893
0.005, 0.00587522
0.006, 0.00713246
0.007, -0.00508451
0.008, -0.00746414
0.009, 0.00577425
0.01, 0.00728328
0.011, -0.00530293
0.012, -0.00738432
0.013, 0.00561815
0.014, 0.00733098
0.015, -0.00542485
0.016, -0.00735998
0.017, 0.00554079
0.018, 0.00734433
0.019, -0.00547335
0.02, -0.00735293
0.021, 0.00551212
0.022, 0.00734819
0.023, -0.00549006
0.024, -0.00735082
0.025, 0.00550254
0.026, 0.00734937
0.027, -0.0054955
0.028, -0.00735016
0.029, 0.00549945
0.03, 0.00734974
0.031, -0.00549724
0.032, -0.00734994
0.033, 0.00549846
0.034, 0.00734986
0.035, -0.0054978
0.036, -0.00734987
0.037, 0.00549815
0.038, 0.0073499
0.039, -0.00549799
0.04, -0.00734984
0.041, 0.00549805
0.042, 0.00734992
0.043, -0.00549806
0.044, -0.00734983
0.045, 0.00549802
0.046, 0.00734993
0.047, -0.00549809
0.048, -0.00734982
0.049, 0.005498
0.05, 0.00734994
0.051, -0.0054981
0.052, -0.00734982
0.053, 0.005498
0.054, 0.00734994
0.055, -0.00549811
0.056, -0.00734981
0.057, 0.005498
0.058, 0.00734995
0.059, -0.00549812
0.06, -0.00734981
0.061, 0.005498
0.062, 0.00734995
0.063, -0.00549813
0.064, -0.0073498
0.065, 0.005498
0.066, 0.00734996
0.067, -0.00549814
0.068, -0.0073498
0.069, 0.005498
0.07, 0.00734996
0.071, -0.00549815
0.072, -0.00734979
0.073, 0.005498
0.074, 0.00734997
0.075, -0.00549816
0.076, -0.00734979
0.077, 0.005498
0.078, 0.00734997
0.079, -0.00549817
0.08, -0.00734978
0.081, 0.005498
0.082, 0.00734998
0.083, -0.00549818
0.084, -0.00734978
0.085, 0.005498
0.086, 0.00734998
0.087, -0.00549819
0.088, -0.00734977
0.089, 0.005498
0.09, 0.00734999
0.091, -0.0054982
0.092, -0.00734977
0.093, 0.005498
0.094, 0.00734999
0.095, -0.00549821
0.096, -0.00734976
0.097, 0.005498
