sim_time, unit_box_Custom?world_angular_velocity/z
0.001, -2.34519e-07
0.002, 0.00534519
0.003, -0.00509321
0.004, -0.00764305
0.005, 0.00593111
0.006, 0.00718835
0.007, -0.00502862
0.008, -0.00740826
0.009, 0.00583018
0.01, 0.00733921
0.011, -0.00524701
0.012, -0.00732841
0.013, 0.00567413
0.014, 0.00738697
0.015, -0.00536889
0.016, -0.00730403
0.017, 0.00559684
0.018, 0.00740039
0.019, -0.00541732
0.02, -0.00729691
0.021, 0.00556826
0.022, 0.00740434
0.023, -0.00543395
0.024, -0.00729471
0.025, 0.00555879
0.026, 0.00740564
0.027, -0.00543928
0.028, -0.00729395
0.029, 0.00555583
0.03, 0.00740614
0.031, -0.0054409
0.032, -0.00729361
0.033, 0.005555
0.034, 0.00740642
0.035, -0.00544131
0.036, -0.00729339
0.037, 0.00555485
0.038, 0.00740664
0.039, -0.00544134
0.04, -0.0072932
0.041, 0.00555494
0.042, 0.00740685
0.043, -0.00544122
0.044, -0.00729301
0.045, 0.00555512
0.046, 0.00740707
0.047, -0.00544104
0.048, -0.00729279
0.049, 0.00555534
0.05, 0.00740732
0.051, -0.00544083
0.052, -0.00729256
0.053, 0.00555559
0.054, 0.00740758
0.055, -0.0054406
0.056, -0.00729232
0.057, 0.00555586
0.058, 0.00740786
0.059, -0.00544034
0.06, -0.00729205
0.061, 0.00555615
0.062, 0.00740816
0.063, -0.00544006
0.064, -0.00729176
0.065, 0.00555646
0.066, 0.00740848
0.067, -0.00543977
0.068, -0.00729145
0.069, 0.00555679
0.07, 0.00740882
0.071, -0.00543945
0.072, -0.00729112
0.073, 0.00555715
0.074, 0.00740919
0.075, -0.00543911
0.076, -0.00729076
0.077, 0.00555752
0.078, 0.00740957
0.079, -0.00543875
0.08, -0.00729039
0.081, 0.00555792
0.082, 0.00740998
0.083, -0.00543838
0.084, -0.00729
0.085, 0.00555834
0.086, 0.0074104
0.087, -0.00543798
0.088, -0.00728959
0.089, 0.00555877
0.09, 0.00741085
0.091, -0.00543755
0.092, -0.00728915
0.093, 0.00555923
0.094, 0.00741132
0.095, -0.00543711
0.096, -0.0072887
0.097, 0.00555972
0.098, 0.00741181
0.099, -0.00543665
0.1, -0.00728822
0.101, 0.00556022
0.102, 0.00741233
0.103, -0.00543616
0.104, -0.00728772
0.105, 0.00556075
0.106, 0.00741286
0.107, -0.00543541
0.108, -0.00728744
0.109, 0.00556071
0.11, 0.00741331
0.111, -0.00543431
0.112, -0.00728671
0.113, 0.00556133
0.114, 0.00741397
0.115, -0.00543382
0.116, -0.00728611
0.117, 0.00556184
0.118, 0.00741459
0.119, -0.0054333
0.12, -0.00728551
0.121, 0.00556242
0.122, 0.00741523
0.123, -0.00543271
0.124, -0.0072849
0.125, 0.00556304
0.126, 0.00741588
0.127, -0.0054321
0.128, -0.00728427
0.129, 0.0055637
0.13, 0.00741655
0.131, -0.00543145
0.132, -0.00728361
0.133, 0.00556438
0.134, 0.00741725
0.135, -0.00543079
0.136, -0.00728293
0.137, 0.00556508
0.138, 0.00741797
0.139, -0.00543009
0.14, -0.00728223
0.141, 0.00556581
0.142, 0.00741872
0.143, -0.00542938
0.144, -0.0072815
0.145, 0.00556656
0.146, 0.00741949
0.147, -0.00542864
0.148, -0.00728075
0.149, 0.00556734
0.15, 0.00742028
0.151, -0.00542787
0.152, -0.00727998
0.153, 0.00556814
0.154, 0.0074211
0.155, -0.00542708
0.156, -0.00727918
0.157, 0.00556897
0.158, 0.00742195
0.159, -0.00542627
0.16, -0.00727836
0.161, 0.00556982
0.162, 0.00742282
0.163, -0.00542543
0.164, -0.00727751
0.165, 0.0055707
0.166, 0.00742372
0.167, -0.00542457
0.168, -0.00727664
0.169, 0.0055716
0.17, 0.00742464
0.171, -0.00542368
0.172, -0.00727574
0.173, 0.00557253
0.174, 0.00742559
0.175, -0.00542276
0.176, -0.00727482
0.177, 0.00557349
0.178, 0.00742657
0.179, -0.00542182
0.18, -0.00727387
0.181, 0.00557448
0.182, 0.00742757
0.183, -0.00542085
0.184, -0.00727289
0.185, 0.00557549
0.186, 0.00742861
0.187, -0.00541986
0.188, -0.00727189
0.189, 0.00557653
0.19, 0.00742967
0.191, -0.00541884
0.192, -0.00727086
0.193, 0.0055776
0.194, 0.00743075
0.195, -0.00541779
0.196, -0.0072698
0.197, 0.00557869
0.198, 0.00743187
0.199, -0.00541671
0.2, -0.00726871
0.201, 0.00557982
0.202, 0.00743302
0.203, -0.00541561
0.204, -0.0072676
0.205, 0.00558097
0.206, 0.0074342
0.207, -0.00541447
0.208, -0.00726645
0.209, 0.00558216
0.21, 0.0074354
0.211, -0.00541331
0.212, -0.00726528
0.213, 0.00558337
0.214, 0.00743664
0.215, -0.00541212
0.216, -0.00726408
0.217, 0.00558462
0.218, 0.00743791
0.219, -0.0054109
0.22, -0.00726285
0.221, 0.0055859
0.222, 0.00743921
0.223, -0.00540965
0.224, -0.00726159
0.225, 0.0055872
0.226, 0.00744054
0.227, -0.00540836
0.228, -0.0072603
0.229, 0.00558854
0.23, 0.00744191
0.231, -0.00540705
0.232, -0.00725897
0.233, 0.00558992
0.234, 0.00744331
0.235, -0.00540571
0.236, -0.00725762
0.237, 0.00559132
0.238, 0.00744474
0.239, -0.00540433
0.24, -0.00725623
0.241, 0.00559276
0.242, 0.0074462
0.243, -0.00540292
0.244, -0.00725481
0.245, 0.00559424
0.246, 0.0074477
0.247, -0.00540148
0.248, -0.00725336
0.249, 0.00559574
0.25, 0.00744924
0.251, -0.0054
0.252, -0.00725188
0.253, 0.00559729
0.254, 0.00745081
0.255, -0.00539849
0.256, -0.00725036
