sim_time, unit_box_Custom?world_linear_acceleration/x
0.001, -0.000234583
0.002, 5.3455
0.003, -10.4611
0.004, -2.55512
0.005, 13.574
0.006, 1.25737
0.007, -12.2159
0.008, -2.3807
0.009, 13.2382
0.01, 1.50921
0.011, -12.5858
0.012, -2.08183
0.013, 13.0023
0.014, 1.71306
0.015, -12.7555
0.016, -1.93547
0.017, 12.9006
0.018, 1.80381
0.019, -12.8174
0.02, -1.87989
0.021, 12.8648
0.022, 1.83636
0.023, -12.838
0.024, -1.86105
0.025, 12.8531
0.026, 1.84712
0.027, -12.8446
0.028, -1.85496
0.029, 12.8494
0.03, 1.85059
0.031, -12.8467
0.032, -1.853
0.033, 12.8482
0.034, 1.8517
0.035, -12.8474
0.036, -1.85236
0.037, 12.8478
0.038, 1.85206
0.039, -12.8476
0.04, -1.85215
0.041, 12.8477
0.042, 1.85218
0.043, -12.8477
0.044, -1.85207
0.045, 12.8477
0.046, 1.85222
0.047, -12.8478
0.048, -1.85204
0.049, 12.8477
0.05, 1.85224
0.051, -12.8478
0.052, -1.85202
0.053, 12.8477
0.054, 1.85225
0.055, -12.8478
0.056, -1.852
0.057, 12.8477
0.058, 1.85226
0.059, -12.8478
0.06, -1.85199
0.061, 12.8477
0.062, 1.85227
0.063, -12.8479
0.064, -1.85197
0.065, 12.8477
0.066, 1.85227
0.067, -12.8479
0.068, -1.85196
0.069, 12.8477
0.07, 1.85228
0.071, -12.8479
0.072, -1.85195
0.073, 12.8477
0.074, 1.85229
0.075, -12.8479
0.076, -1.85193
0.077, 12.8478
0.078, 1.8523
0.079, -12.8479
0.08, -1.85192
0.081, 12.8478
0.082, 1.8523
0.083, -12.848
0.084, -1.8519
0.085, 12.8478
0.086, 1.85231
0.087, -12.848
0.088, -1.85189
0.089, 12.8478
0.09, 1.85232
0.091, -12.848
0.092, -1.85187
0.093, 12.8478
0.094, 1.85232
0.095, -12.848
0.096, -1.85186
0.097, 12.8478
0.098, 1.85233
0.099, -12.8481
0.1, -1.85184
0.101, 12.8478
0.102, 1.85234
0.103, -12.8481
0.104, -1.85183
0.105, 12.8478
0.106, 1.85235
0.107, -12.8478
0.108, -1.85232
0.109, 12.8475
0.11, 1.85284
0.111, -12.8472
0.112, -1.85269
0.113, 12.8474
0.114, 1.85288
0.115, -12.8473
0.116, -1.85258
0.117, 12.8473
0.118, 1.85299
0.119, -12.8474
0.12, -1.8525
0.121, 12.8472
0.122, 1.85304
0.123, -12.8475
0.124, -1.85247
0.125, 12.8472
0.126, 1.85307
0.127, -12.8475
0.128, -1.85245
0.129, 12.8472
0.13, 1.85308
0.131, -12.8475
0.132, -1.85244
0.133, 12.8472
0.134, 1.8531
0.135, -12.8475
0.136, -1.85243
0.137, 12.8472
0.138, 1.85311
0.139, -12.8476
0.14, -1.85242
0.141, 12.8472
0.142, 1.85313
0.143, -12.8476
0.144, -1.85241
0.145, 12.8472
0.146, 1.85314
0.147, -12.8476
0.148, -1.8524
0.149, 12.8472
0.15, 1.85316
0.151, -12.8476
0.152, -1.85239
0.153, 12.8473
0.154, 1.85317
0.155, -12.8476
0.156, -1.85238
0.157, 12.8473
0.158, 1.85319
0.159, -12.8477
0.16, -1.85237
0.161, 12.8473
0.162, 1.8532
0.163, -12.8477
0.164, -1.85236
0.165, 12.8473
0.166, 1.85322
0.167, -12.8477
0.168, -1.85235
0.169, 12.8473
0.17, 1.85323
0.171, -12.8477
0.172, -1.85234
0.173, 12.8473
0.174, 1.85325
0.175, -12.8478
0.176, -1.85233
0.177, 12.8473
0.178, 1.85327
0.179, -12.8478
0.18, -1.85232
0.181, 12.8473
0.182, 1.85328
0.183, -12.8478
0.184, -1.85231
0.185, 12.8473
0.186, 1.8533
0.187, -12.8478
0.188, -1.85229
0.189, 12.8473
0.19, 1.85332
0.191, -12.8479
0.192, -1.85228
0.193, 12.8474
0.194, 1.85333
0.195, -12.8479
0.196, -1.85227
0.197, 12.8474
0.198, 1.85335
0.199, -12.8479
0.2, -1.85226
0.201, 12.8474
0.202, 1.85337
0.203, -12.8479
0.204, -1.85225
0.205, 12.8474
0.206, 1.85339
0.207, -12.848
0.208, -1.85224
0.209, 12.8474
0.21, 1.8534
0.211, -12.848
0.212, -1.85223
0.213, 12.8474
0.214, 1.85342
0.215, -12.848
0.216, -1.85222
0.217, 12.8474
0.218, 1.85344
0.219, -12.8481
0.22, -1.8522
0.221, 12.8475
0.222, 1.85346
0.223, -12.8481
0.224, -1.85219
0.225, 12.8475
0.226, 1.85348
0.227, -12.8481
0.228, -1.85218
0.229, 12.8475
0.23, 1.8535
0.231, -12.8482
0.232, -1.85217
0.233, 12.8475
0.234, 1.85352
0.235, -12.8482
0.236, -1.85216
0.237, 12.8475
0.238, 1.85354
0.239, -12.8482
0.24, -1.85214
0.241, 12.8475
0.242, 1.85356
0.243, -12.8483
0.244, -1.85213
0.245, 12.8476
0.246, 1.85358
0.247, -12.8483
0.248, -1.85212
0.249, 12.8476
0.25, 1.8536
0.251, -12.8483
0.252, -1.85211
0.253, 12.8476
0.254, 1.85363
0.255, -12.8484
0.256, -1.85209
0.257, 12.8476
0.258, 1.85365
0.259, -12.8484
0.26, -1.85208
0.261, 12.8476
0.262, 1.85367
0.263, -12.8485
0.264, -1.85207
0.265, 12.8477
0.266, 1.85369
0.267, -12.8485
0.268, -1.85205
0.269, 12.8477
0.27, 1.85372
0.271, -12.8485
0.272, -1.85204
0.273, 12.8477
0.274, 1.85374
0.275, -12.8486
0.276, -1.85203
0.277, 12.8477
0.278, 1.85377
0.279, -12.8486
0.28, -1.85201
0.281, 12.8478
0.282, 1.85379
0.283, -12.8487
0.284, -1.852
0.285, 12.8478
0.286, 1.85382
0.287, -12.8487
0.288, -1.85198
0.289, 12.8478
0.29, 1.85384
0.291, -12.8488
0.292, -1.85197
0.293, 12.8479
0.294, 1.85387
0.295, -12.8488
0.296, -1.85196
0.297, 12.8479
0.298, 1.8539
0.299, -12.8489
0.3, -1.85194
0.301, 12.8479
0.302, 1.85392
0.303, -12.8489
0.304, -1.85193
0.305, 12.8479
0.306, 1.85395
0.307, -12.849
0.308, -1.85191
0.309, 12.848
0.31, 1.85398
0.311, -12.849
0.312, -1.8519
0.313, 12.848
0.314, 1.85401
0.315, -12.8491
0.316, -1.85188
0.317, 12.8481
0.318, 1.85404
0.319, -12.8492
0.32, -1.85187
0.321, 12.8481
0.322, 1.85407
0.323, -12.8492
0.324, -1.85185
0.325, 12.8481
0.326, 1.8541
0.327, -12.8493
0.328, -1.85184
0.329, 12.8482
0.33, 1.85414
0.331, -12.8493
0.332, -1.85182
0.333, 12.8482
0.334, 1.85417
0.335, -12.8494
0.336, -1.85181
0.337, 12.8483
0.338, 1.8542
0.339, -12.8495
0.34, -1.85179
0.341, 12.8483
0.342, 1.85423
0.343, -12.8495
0.344, -1.85177
0.345, 12.8483
0.346, 1.85427
0.347, -12.8496
0.348, -1.85176
0.349, 12.8484
0.35, 1.8543
0.351, -12.8497
0.352, -1.85174
0.353, 12.8484
0.354, 1.85434
0.355, -12.8498
0.356, -1.85172
0.357, 12.8485
0.358, 1.85438
0.359, -12.8498
0.36, -1.85171
0.361, 12.8485
0.362, 1.85441
0.363, -12.8499
0.364, -1.85169
0.365, 12.8486
0.366, 1.85445
0.367, -12.85
0.368, -1.85167
0.369, 12.8487
0.37, 1.85449
0.371, -12.8501
0.372, -1.85166
0.373, 12.8487
0.374, 1.85453
0.375, -12.8502
0.376, -1.85164
0.377, 12.8488
0.378, 1.85457
0.379, -12.8503
0.38, -1.85162
0.381, 12.8488
0.382, 1.85462
0.383, -12.8504
0.384, -1.8516
0.385, 12.8489
0.386, 1.85466
0.387, -12.8505
0.388, -1.85159
0.389, 12.849
0.39, 1.8547
0.391, -12.8506
0.392, -1.85157
0.393, 12.849
0.394, 1.85475
0.395, -12.8507
0.396, -1.85155
0.397, 12.8491
0.398, 1.85479
0.399, -12.8508
0.4, -1.85153
0.401, 12.8492
0.402, 1.85484
0.403, -12.8509
0.404, -1.85151
0.405, 12.8492
0.406, 1.85489
0.407, -12.851
0.408, -1.85149
0.409, 12.8493
0.41, 1.85493
0.411, -12.8511
0.412, -1.85147
0.413, 12.8494
0.414, 1.85498
0.415, -12.8512
0.416, -1.85146
0.417, 12.8495
0.418, 1.85504
0.419, -12.8513
0.42, -1.85144
0.421, 12.8496
0.422, 1.85509
0.423, -12.8515
0.424, -1.85142
0.425, 12.8497
0.426, 1.85514
0.427, -12.8516
0.428, -1.8514
0.429, 12.8498
0.43, 1.85519
0.431, -12.8517
0.432, -1.85138
0.433, 12.8499
0.434, 1.85525
0.435, -12.8518
0.436, -1.85136
0.437, 12.85
0.438, 1.85531
0.439, -12.852
0.44, -1.85134
0.441, 12.8501
0.442, 1.85537
0.443, -12.8521
0.444, -1.85132
0.445, 12.8502
0.446, 1.85542
0.447, -12.8523
0.448, -1.8513
0.449, 12.8503
0.45, 1.85549
0.451, -12.8524
0.452, -1.85128
0.453, 12.8504
0.454, 1.85555
0.455, -12.8526
0.456, -1.85126
0.457, 12.8505
0.458, 1.85561
0.459, -12.8527
0.46, -1.85124
0.461, 12.8506
0.462, 1.85568
0.463, -12.8529
