sim_time, unit_box_Custom?world_linear_velocity/x
0.001, -2.34583e-07
0.002, 0.00534526
0.003, -0.00511587
0.004, -0.00767099
0.005, 0.00590304
0.006, 0.00716041
0.007, -0.00505549
0.008, -0.0074362
0.009, 0.00580204
0.01, 0.00731125
0.011, -0.00527454
0.012, -0.00735637
0.013, 0.00564591
0.014, 0.00735897
0.015, -0.00539654
0.016, -0.00733201
0.017, 0.00556855
0.018, 0.00737236
0.019, -0.00544504
0.02, -0.00732493
0.021, 0.00553991
0.022, 0.00737626
0.023, -0.00546172
0.024, -0.00732277
0.025, 0.00553038
0.026, 0.0073775
0.027, -0.0054671
0.028, -0.00732206
0.029, 0.00552734
0.03, 0.00737794
0.031, -0.00546878
0.032, -0.00732178
0.033, 0.00552644
0.034, 0.00737814
0.035, -0.00546928
0.036, -0.00732164
0.037, 0.00552621
0.038, 0.00737827
0.039, -0.00546938
0.04, -0.00732153
0.041, 0.0055262
0.042, 0.00737838
0.043, -0.00546936
0.044, -0.00732143
0.045, 0.00552627
0.046, 0.00737849
0.047, -0.00546928
0.048, -0.00732132
0.049, 0.00552638
0.05, 0.00737862
0.051, -0.00546919
0.052, -0.0073212
0.053, 0.0055265
0.054, 0.00737875
0.055, -0.00546907
0.056, -0.00732108
0.057, 0.00552663
0.058, 0.00737889
0.059, -0.00546895
0.06, -0.00732094
0.061, 0.00552678
0.062, 0.00737904
0.063, -0.00546882
0.064, -0.00732079
0.065, 0.00552693
0.066, 0.00737921
0.067, -0.00546868
0.068, -0.00732064
0.069, 0.0055271
0.07, 0.00737938
0.071, -0.00546852
0.072, -0.00732047
0.073, 0.00552727
0.074, 0.00737956
0.075, -0.00546836
0.076, -0.00732029
0.077, 0.00552746
0.078, 0.00737976
0.079, -0.00546819
0.08, -0.00732011
0.081, 0.00552766
0.082, 0.00737996
0.083, -0.005468
0.084, -0.00731991
0.085, 0.00552787
0.086, 0.00738018
0.087, -0.00546781
0.088, -0.0073197
0.089, 0.00552808
0.09, 0.0073804
0.091, -0.00546761
0.092, -0.00731948
0.093, 0.00552831
0.094, 0.00738064
0.095, -0.00546739
0.096, -0.00731925
0.097, 0.00552855
0.098, 0.00738089
0.099, -0.00546717
0.1, -0.00731901
0.101, 0.00552881
0.102, 0.00738114
0.103, -0.00546693
0.104, -0.00731876
0.105, 0.00552907
0.106, 0.00738141
0.107, -0.00546642
0.108, -0.00731874
0.109, 0.00552874
0.11, 0.00738158
0.111, -0.00546559
0.112, -0.00731828
0.113, 0.00552907
0.114, 0.00738196
0.115, -0.00546538
0.116, -0.00731796
0.117, 0.00552929
0.118, 0.00738228
0.119, -0.00546515
0.12, -0.00731765
0.121, 0.00552956
0.122, 0.0073826
0.123, -0.00546487
0.124, -0.00731734
0.125, 0.00552986
0.126, 0.00738293
0.127, -0.00546457
0.128, -0.00731702
0.129, 0.00553018
0.13, 0.00738327
0.131, -0.00546425
0.132, -0.00731669
0.133, 0.00553052
0.134, 0.00738362
0.135, -0.00546392
0.136, -0.00731635
0.137, 0.00553087
0.138, 0.00738398
0.139, -0.00546358
0.14, -0.007316
0.141, 0.00553123
0.142, 0.00738436
0.143, -0.00546323
0.144, -0.00731564
0.145, 0.0055316
0.146, 0.00738474
0.147, -0.00546286
0.148, -0.00731526
0.149, 0.00553198
0.15, 0.00738514
0.151, -0.00546248
0.152, -0.00731487
0.153, 0.00553238
0.154, 0.00738555
0.155, -0.00546209
0.156, -0.00731447
0.157, 0.00553279
0.158, 0.00738598
0.159, -0.00546169
0.16, -0.00731406
0.161, 0.00553321
0.162, 0.00738642
0.163, -0.00546127
0.164, -0.00731363
0.165, 0.00553365
0.166, 0.00738687
0.167, -0.00546084
0.168, -0.00731319
0.169, 0.0055341
0.17, 0.00738733
0.171, -0.0054604
0.172, -0.00731274
0.173, 0.00553456
0.174, 0.00738781
0.175, -0.00545995
0.176, -0.00731228
0.177, 0.00553503
0.178, 0.0073883
0.179, -0.00545948
0.18, -0.0073118
0.181, 0.00553552
0.182, 0.0073888
0.183, -0.005459
0.184, -0.00731131
0.185, 0.00553602
0.186, 0.00738932
0.187, -0.00545851
0.188, -0.0073108
0.189, 0.00553654
0.19, 0.00738985
0.191, -0.005458
0.192, -0.00731029
0.193, 0.00553707
0.194, 0.0073904
0.195, -0.00545748
0.196, -0.00730976
0.197, 0.00553761
0.198, 0.00739096
0.199, -0.00545695
0.2, -0.00730921
0.201, 0.00553817
0.202, 0.00739154
0.203, -0.0054564
0.204, -0.00730865
0.205, 0.00553874
0.206, 0.00739213
0.207, -0.00545584
0.208, -0.00730808
0.209, 0.00553933
0.21, 0.00739273
0.211, -0.00545526
0.212, -0.00730749
0.213, 0.00553993
0.214, 0.00739336
0.215, -0.00545467
0.216, -0.00730689
0.217, 0.00554055
0.218, 0.00739399
0.219, -0.00545406
0.22, -0.00730627
0.221, 0.00554119
0.222, 0.00739465
0.223, -0.00545344
0.224, -0.00730563
