sim_time, unit_box_Custom?world_pose/orientation/pitch
0.001, -2.24453e-10
0.002, 5.34512e-06
0.003, 1.94281e-07
0.004, -7.50465e-06
0.005, -1.62939e-06
0.006, 5.50306e-06
0.007, 4.18312e-07
0.008, -7.04583e-06
0.009, -1.27152e-06
0.01, 6.01176e-06
0.011, 7.08715e-07
0.012, -6.67561e-06
0.013, -1.05738e-06
0.014, 6.2736e-06
0.015, 8.48655e-07
0.016, -6.51133e-06
0.017, -9.70457e-07
0.018, 6.37387e-06
0.019, 9.00432e-07
0.02, -6.4525e-06
0.021, -9.40296e-07
0.022, 6.40789e-06
0.023, 9.17744e-07
0.024, -6.43307e-06
0.025, -9.30446e-07
0.026, 6.41892e-06
0.027, 9.23338e-07
0.028, -6.42682e-06
0.029, -9.27291e-07
0.03, 6.42245e-06
0.031, 9.25121e-07
0.032, -6.42482e-06
0.033, -9.26273e-07
0.034, 6.42359e-06
0.035, 9.25699e-07
0.036, -6.42417e-06
0.037, -9.25937e-07
0.038, 6.42397e-06
0.039, 9.25891e-07
0.04, -6.42395e-06
0.041, -9.25819e-07
0.042, 6.4241e-06
0.043, 9.2596e-07
0.044, -6.42387e-06
0.045, -9.25772e-07
0.046, 6.42416e-06
0.047, 9.25988e-07
0.048, -6.42384e-06
0.049, -9.25747e-07
0.05, 6.42419e-06
0.051, 9.26004e-07
0.052, -6.42382e-06
0.053, -9.2573e-07
0.054, 6.42421e-06
0.055, 9.26015e-07
0.056, -6.4238e-06
0.057, -9.25714e-07
0.058, 6.42424e-06
0.059, 9.26026e-07
0.06, -6.42379e-06
0.061, -9.25699e-07
0.062, 6.42425e-06
0.063, 9.26036e-07
0.064, -6.42377e-06
0.065, -9.25685e-07
0.066, 6.42427e-06
0.067, 9.26046e-07
0.068, -6.42376e-06
0.069, -9.2567e-07
0.07, 6.42429e-06
0.071, 9.26055e-07
0.072, -6.42374e-06
0.073, -9.25656e-07
0.074, 6.42431e-06
0.075, 9.26065e-07
0.076, -6.42373e-06
0.077, -9.25641e-07
0.078, 6.42433e-06
0.079, 9.26075e-07
0.08, -6.42371e-06
0.081, -9.25626e-07
0.082, 6.42435e-06
0.083, 9.26085e-07
0.084, -6.4237e-06
0.085, -9.25611e-07
0.086, 6.42437e-06
0.087, 9.26095e-07
0.088, -6.42368e-06
0.089, -9.25596e-07
0.09, 6.42439e-06
0.091, 9.26105e-07
0.092, -6.42367e-06
0.093, -9.2558e-07
0.094, 6.42442e-06
0.095, 9.26115e-07
0.096, -6.42365e-06
0.097, -9.25565e-07
0.098, 6.42444e-06
0.099, 9.26125e-07
0.1, -6.42363e-06
0.101, -9.25549e-07
0.102, 6.42446e-06
0.103, 9.26135e-07
0.104, -6.42362e-06
0.105, -9.25534e-07
0.106, 6.42448e-06
0.107, 9.2638e-07
0.108, -6.42361e-06
0.109, -9.26104e-07
0.11, 6.4238e-06
0.111, 9.26259e-07
0.112, -6.42354e-06
0.113, -9.25987e-07
0.114, 6.424e-06
0.115, 9.26395e-07
0.116, -6.42336e-06
0.117, -9.25881e-07
0.118, 6.42413e-06
0.119, 9.26469e-07
0.12, -6.42327e-06
0.121, -9.25831e-07
0.122, 6.4242e-06
0.123, 9.26505e-07
0.124, -6.42323e-06
0.125, -9.25805e-07
0.126, 6.42423e-06
0.127, 9.26526e-07
0.128, -6.4232e-06
0.129, -9.25787e-07
0.13, 6.42425e-06
0.131, 9.26542e-07
0.132, -6.42318e-06
0.133, -9.25772e-07
0.134, 6.42427e-06
0.135, 9.26556e-07
0.136, -6.42316e-06
0.137, -9.25758e-07
0.138, 6.42429e-06
0.139, 9.26571e-07
0.14, -6.42314e-06
0.141, -9.25744e-07
0.142, 6.42431e-06
0.143, 9.26585e-07
0.144, -6.42312e-06
0.145, -9.2573e-07
0.146, 6.42433e-06
0.147, 9.26599e-07
0.148, -6.4231e-06
0.149, -9.25715e-07
0.15, 6.42435e-06
0.151, 9.26614e-07
0.152, -6.42308e-06
0.153, -9.25701e-07
0.154, 6.42438e-06
0.155, 9.26628e-07
0.156, -6.42306e-06
0.157, -9.25686e-07
0.158, 6.4244e-06
0.159, 9.26643e-07
0.16, -6.42304e-06
0.161, -9.25672e-07
0.162, 6.42442e-06
0.163, 9.26658e-07
0.164, -6.42302e-06
0.165, -9.25657e-07
0.166, 6.42444e-06
0.167, 9.26673e-07
0.168, -6.42299e-06
0.169, -9.25642e-07
0.17, 6.42446e-06
0.171, 9.26688e-07
0.172, -6.42297e-06
0.173, -9.25627e-07
0.174, 6.42448e-06
0.175, 9.26704e-07
0.176, -6.42295e-06
0.177, -9.25611e-07
0.178, 6.4245e-06
0.179, 9.2672e-07
0.18, -6.42293e-06
0.181, -9.25596e-07
0.182, 6.42452e-06
0.183, 9.26736e-07
0.184, -6.42291e-06
0.185, -9.2558e-07
0.186, 6.42455e-06
0.187, 9.26752e-07
0.188, -6.42288e-06
0.189, -9.25564e-07
0.19, 6.42457e-06
0.191, 9.26768e-07
0.192, -6.42286e-06
0.193, -9.25548e-07
0.194, 6.42459e-06
0.195, 9.26785e-07
0.196, -6.42284e-06
0.197, -9.25531e-07
0.198, 6.42462e-06
0.199, 9.26801e-07
0.2, -6.42281e-06
0.201, -9.25515e-07
0.202, 6.42464e-06
0.203, 9.26818e-07
0.204, -6.42279e-06
0.205, -9.25498e-07
0.206, 6.42466e-06
0.207, 9.26835e-07
0.208, -6.42276e-06
0.209, -9.25481e-07
0.21, 6.42469e-06
0.211, 9.26853e-07
0.212, -6.42274e-06
0.213, -9.25463e-07
0.214, 6.42471e-06
0.215, 9.26871e-07
0.216, -6.42271e-06
0.217, -9.25446e-07
0.218, 6.42474e-06
0.219, 9.26889e-07
0.22, -6.42269e-06
0.221, -9.25428e-07
0.222, 6.42476e-06
0.223, 9.26907e-07
0.224, -6.42266e-06
0.225, -9.2541e-07
0.226, 6.42479e-06
0.227, 9.26925e-07
0.228, -6.42264e-06
0.229, -9.25392e-07
0.23, 6.42482e-06
0.231, 9.26944e-07
0.232, -6.42261e-06
0.233, -9.25373e-07
0.234, 6.42484e-06
0.235, 9.26963e-07
0.236, -6.42258e-06
0.237, -9.25354e-07
0.238, 6.42487e-06
0.239, 9.26982e-07
0.24, -6.42256e-06
0.241, -9.25335e-07
