sim_time, unit_box_Custom?world_pose/position/y
0.001, 0.0099902
0.002, 0.0199733
0.003, 0.0299412
0.004, 0.0399057
0.005, 0.0498521
0.006, 0.0597968
0.007, 0.0697253
0.008, 0.0796506
0.009, 0.0895582
0.01, 0.0994638
0.011, 0.109353
0.012, 0.119239
0.013, 0.129107
0.014, 0.138974
0.015, 0.148823
0.016, 0.15867
0.017, 0.1685
0.018, 0.178327
0.019, 0.188137
0.02, 0.197945
0.021, 0.207735
0.022, 0.217523
0.023, 0.227294
0.024, 0.237063
0.025, 0.246814
0.026, 0.256563
0.027, 0.266294
0.028, 0.276024
0.029, 0.285736
0.03, 0.295445
0.031, 0.305138
0.032, 0.314828
0.033, 0.324501
0.034, 0.334171
0.035, 0.343825
0.036, 0.353475
0.037, 0.363109
0.038, 0.37274
0.039, 0.382354
0.04, 0.391966
0.041, 0.401561
0.042, 0.411153
0.043, 0.420728
0.044, 0.4303
0.045, 0.439855
0.046, 0.449408
0.047, 0.458944
0.048, 0.468477
0.049, 0.477993
0.05, 0.487507
0.051, 0.497003
0.052, 0.506497
0.053, 0.515974
0.054, 0.525449
0.055, 0.534906
0.056, 0.544361
0.057, 0.553799
0.058, 0.563234
0.059, 0.572652
0.06, 0.582068
0.061, 0.591466
0.062, 0.600862
0.063, 0.610241
0.064, 0.619617
0.065, 0.628977
0.066, 0.638334
0.067, 0.647673
0.068, 0.65701
0.069, 0.666331
0.07, 0.675648
0.071, 0.684949
0.072, 0.694247
0.073, 0.703528
0.074, 0.712806
0.075, 0.722067
0.076, 0.731326
0.077, 0.740568
0.078, 0.749807
0.079, 0.759029
0.08, 0.768249
0.081, 0.777451
0.082, 0.786651
0.083, 0.795834
0.084, 0.805015
0.085, 0.814178
0.086, 0.823339
0.087, 0.832483
0.088, 0.841624
0.089, 0.850748
0.09, 0.85987
0.091, 0.868974
0.092, 0.878076
0.093, 0.887161
0.094, 0.896243
0.095, 0.905309
0.096, 0.914372
0.097, 0.923417
0.098, 0.93246
0.099, 0.941487
0.1, 0.95051
0.101, 0.959517
0.102, 0.968521
0.103, 0.977508
0.104, 0.986492
0.105, 0.995459
0.106, 1.00442
0.107, 1.01337
0.108, 1.02232
0.109, 1.03125
0.11, 1.04017
0.111, 1.04908
0.112, 1.05799
0.113, 1.06687
0.114, 1.07576
0.115, 1.08463
0.116, 1.0935
0.117, 1.10235
0.118, 1.11119
0.119, 1.12002
0.12, 1.12885
0.121, 1.13766
0.122, 1.14647
0.123, 1.15526
0.124, 1.16405
0.125, 1.17282
0.126, 1.18159
0.127, 1.19034
0.128, 1.19909
0.129, 1.20782
0.13, 1.21655
0.131, 1.22526
0.132, 1.23397
0.133, 1.24267
0.134, 1.25136
0.135, 1.26003
0.136, 1.2687
0.137, 1.27736
0.138, 1.28601
0.139, 1.29464
0.14, 1.30327
0.141, 1.31189
0.142, 1.3205
0.143, 1.32909
0.144, 1.33769
0.145, 1.34626
0.146, 1.35483
0.147, 1.36339
0.148, 1.37194
0.149, 1.38048
0.15, 1.38901
0.151, 1.39753
0.152, 1.40604
0.153, 1.41454
0.154, 1.42303
0.155, 1.43151
0.156, 1.43999
0.157, 1.44844
0.158, 1.4569
0.159, 1.46534
0.16, 1.47377
0.161, 1.48219
0.162, 1.49061
0.163, 1.49901
0.164, 1.5074
0.165, 1.51578
0.166, 1.52416
0.167, 1.53252
0.168, 1.54088
0.169, 1.54922
0.17, 1.55755
0.171, 1.56587
0.172, 1.57419
0.173, 1.58249
0.174, 1.59079
0.175, 1.59907
0.176, 1.60735
0.177, 1.61561
0.178, 1.62387
0.179, 1.63211
0.18, 1.64035
0.181, 1.64858
0.182, 1.6568
0.183, 1.665
0.184, 1.6732
0.185, 1.68138
0.186, 1.68956
0.187, 1.69773
0.188, 1.70589
0.189, 1.71403
0.19, 1.72217
0.191, 1.7303
0.192, 1.73842
0.193, 1.74653
0.194, 1.75463
0.195, 1.76271
0.196, 1.7708
0.197, 1.77886
0.198, 1.78693
0.199, 1.79497
0.2, 1.80302
0.201, 1.81104
0.202, 1.81907
0.203, 1.82707
0.204, 1.83508
0.205, 1.84306
0.206, 1.85105
0.207, 1.85902
