Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.001,-0.00534976,0.992867,-0.00266691,-5.34E-06,0.000992824,0.499997,-6.37E-09,-5.42E-06,-5.34E-06,-2.10E-09,-0.00534977,-0.00534978
0.002,0.00511252,0.977722,0.00267816,-2.25E-07,0.00197055,0.5,-4.95E-08,-3.29E-07,-2.00E-07,-4.02E-05,0.00513772,0.0050975
0.003,0.00767055,0.974313,-0.00371282,7.45E-06,0.00294486,0.499996,-8.97E-08,7.32E-06,7.49E-06,-4.02E-05,0.00769067,0.00765045
0.004,-0.00589135,0.95623,0.00457014,1.55E-06,0.00390109,0.500001,-1.30E-07,1.41E-06,1.62E-06,-4.02E-05,-0.00587135,-0.00591159
0.005,-0.00715642,0.954543,-0.00354313,-5.60E-06,0.00485563,0.499997,-1.70E-07,-5.77E-06,-5.52E-06,-4.02E-05,-0.0071363,-0.00717654
0.006,0.00506971,0.938241,0.00295898,-5.33E-07,0.00579387,0.5,-2.10E-07,-7.16E-07,-4.26E-07,-4.02E-05,0.00509087,0.00505064
0.007,0.00744179,0.935079,-0.00367858,6.91E-06,0.00672895,0.499997,-2.51E-07,6.71E-06,7.04E-06,-4.02E-05,0.00746191,0.00742167
0.008,-0.00579025,0.917435,0.00416453,1.12E-06,0.00764639,0.500001,-2.91E-07,8.95E-07,1.27E-06,-4.03E-05,-0.00577029,-0.00581056
0.009,-0.00730495,0.915416,-0.00361591,-6.19E-06,0.0085618,0.499997,-3.31E-07,-6.43E-06,-6.02E-06,-4.03E-05,-0.00728482,-0.00732509
0.01,0.00528581,0.898628,0.00337221,-9.00E-07,0.00946043,0.500001,-3.72E-07,-1.16E-06,-7.13E-07,-4.03E-05,0.00530637,0.00526611
0.011,0.00736336,0.895858,-0.00365786,6.46E-06,0.0103563,0.499997,-4.12E-07,6.18E-06,6.67E-06,-4.03E-05,0.00738349,0.00734323
0.012,-0.00563589,0.878525,0.00387487,8.27E-07,0.0112348,0.500001,-4.52E-07,5.23E-07,1.05E-06,-4.04E-05,-0.00561597,-0.00565628
0.013,-0.00735161,0.876238,-0.00363759,-6.52E-06,0.012111,0.499997,-4.93E-07,-6.85E-06,-6.28E-06,-4.04E-05,-0.00733145,-0.00737176
0.014,0.00540595,0.859227,0.00357291,-1.12E-06,0.0129703,0.500001,-5.33E-07,-1.46E-06,-8.50E-07,-4.04E-05,0.00542642,0.00538612
0.015,0.00733958,0.856649,-0.00364901,6.22E-06,0.0138269,0.499997,-5.73E-07,5.86E-06,6.51E-06,-4.04E-05,0.00735973,0.00731943
0.016,-0.00555989,0.839449,0.00375067,6.61E-07,0.0146664,0.500001,-6.14E-07,2.77E-07,9.69E-07,-4.05E-05,-0.00553997,-0.00558034
0.017,-0.00736466,0.837043,-0.00364305,-6.70E-06,0.0155034,0.499997,-6.54E-07,-7.11E-06,-6.38E-06,-4.05E-05,-0.00734447,-0.00738485
0.018,0.00545351,0.819952,0.00364826,-1.25E-06,0.0163234,0.500001,-6.95E-07,-1.67E-06,-9.01E-07,-4.05E-05,0.00547398,0.00543363
0.019,0.00733268,0.817446,-0.00364626,6.08E-06,0.0171408,0.499997,-7.36E-07,5.64E-06,6.45E-06,-4.06E-05,0.00735285,0.0073125
0.02,-0.00553182,0.800293,0.00370679,5.51E-07,0.0179411,0.500001,-7.76E-07,8.59E-08,9.40E-07,-4.07E-05,-0.00551188,-0.00555232
0.021,-0.00736846,0.797844,-0.00364444,-6.82E-06,0.018739,0.499997,-8.17E-07,-7.30E-06,-6.41E-06,-4.07E-05,-0.00734824,-0.00738869
0.022,0.00546982,0.780726,0.00367369,-1.35E-06,0.0195197,0.500001,-8.58E-07,-1.85E-06,-9.18E-07,-4.07E-05,0.00549032,0.00544989
0.023,0.00733059,0.778245,-0.00364537,5.98E-06,0.0202979,0.499997,-8.98E-07,5.46E-06,6.43E-06,-4.07E-05,0.00735079,0.00731037
0.024,-0.00552247,0.761108,0.00369242,4.60E-07,0.021059,0.500001,-9.39E-07,-8.56E-08,9.30E-07,-4.09E-05,-0.00550249,-0.00554302
0.025,-0.00736965,0.758645,-0.00364476,-6.91E-06,0.0218177,0.499997,-9.80E-07,-7.48E-06,-6.42E-06,-4.09E-05,-0.00734938,-0.00738993
0.026,0.00547507,0.741518,0.00368197,-1.43E-06,0.0225592,0.500001,-1.02E-06,-2.02E-06,-9.23E-07,-4.09E-05,0.00549561,0.0054551
0.027,0.00732991,0.739045,-0.003645,5.90E-06,0.0232982,0.499997,-1.06E-06,5.29E-06,6.43E-06,-4.09E-05,0.00735016,0.00730965
0.028,-0.00551948,0.721912,0.00368789,3.76E-07,0.0240202,0.500001,-1.10E-06,-2.51E-07,9.27E-07,-4.11E-05,-0.00549945,-0.00554008
0.029,-0.00737006,0.719445,-0.00364475,-6.99E-06,0.0247396,0.499997,-1.14E-06,-7.64E-06,-6.42E-06,-4.11E-05,-0.00734974,-0.00739039
0.03,0.0054767,0.702315,0.00368469,-1.52E-06,0.0254419,0.500001,-1.19E-06,-2.18E-06,-9.25E-07,-4.12E-05,0.00549729,0.00545668
0.031,0.00732966,0.699845,-0.00364478,5.81E-06,0.0261418,0.499997,-1.23E-06,5.12E-06,6.42E-06,-4.12E-05,0.00734995,0.00730935
0.032,-0.00551855,0.682713,0.00368654,2.94E-07,0.0268245,0.500001,-1.27E-06,-4.14E-07,9.26E-07,-4.14E-05,-0.00549847,-0.00553922
0.033,-0.00737024,0.680245,-0.00364464,-7.08E-06,0.0275047,0.499997,-1.31E-06,-7.81E-06,-6.42E-06,-4.14E-05,-0.00734986,-0.00739063
0.034,0.00547716,0.663114,0.00368567,-1.60E-06,0.0281678,0.500001,-1.35E-06,-2.35E-06,-9.26E-07,-4.15E-05,0.0054978,0.00545708
0.035,0.00732953,0.660645,-0.00364459,5.73E-06,0.0288285,0.499997,-1.39E-06,4.96E-06,6.42E-06,-4.15E-05,0.00734988,0.00730917
0.036,-0.00551829,0.643514,0.00368621,2.12E-07,0.029472,0.500001,-1.43E-06,-5.78E-07,9.26E-07,-4.17E-05,-0.00549814,-0.00553902
0.037,-0.00737034,0.641044,-0.00364448,-7.16E-06,0.030113,0.499998,-1.48E-06,-7.97E-06,-6.42E-06,-4.17E-05,-0.00734989,-0.00739079
0.038,0.00547727,0.623914,0.0036861,-1.68E-06,0.0307369,0.500001,-1.52E-06,-2.51E-06,-9.26E-07,-4.18E-05,0.00549797,0.00545713
0.039,0.00732944,0.621444,-0.00364441,5.65E-06,0.0313584,0.499998,-1.56E-06,4.80E-06,6.42E-06,-4.18E-05,0.00734986,0.00730902
0.04,-0.00551826,0.604314,0.00368623,1.30E-07,0.0319627,0.500001,-1.60E-06,-7.42E-07,9.26E-07,-4.21E-05,-0.00549805,-0.00553907
0.041,-0.00737043,0.601844,-0.00364431,-7.24E-06,0.0325645,0.499998,-1.64E-06,-8.13E-06,-6.42E-06,-4.21E-05,-0.00734991,-0.00739096
0.042,0.00547726,0.584714,0.00368639,-1.76E-06,0.0331493,0.500001,-1.69E-06,-2.68E-06,-9.26E-07,-4.22E-05,0.00549804,0.00545705
0.043,0.00732936,0.582244,-0.00364422,5.57E-06,0.0337315,0.499998,-1.73E-06,4.63E-06,6.42E-06,-4.22E-05,0.00734984,0.00730887
0.044,-0.00551831,0.565114,0.00368637,4.81E-08,0.0342966,0.500001,-1.77E-06,-9.06E-07,9.26E-07,-4.25E-05,-0.00549801,-0.0055392
0.045,-0.00737052,0.562644,-0.00364411,-7.32E-06,0.0348593,0.499998,-1.81E-06,-8.30E-06,-6.42E-06,-4.25E-05,-0.00734992,-0.00739113
0.046,0.00547721,0.545513,0.00368664,-1.85E-06,0.0354048,0.500001,-1.86E-06,-2.84E-06,-9.26E-07,-4.26E-05,0.00549806,0.00545692
0.047,0.00732928,0.543044,-0.00364402,5.48E-06,0.0359478,0.499998,-1.90E-06,4.47E-06,6.42E-06,-4.26E-05,0.00734984,0.0073087
0.048,-0.00551839,0.525913,0.00368657,-3.43E-08,0.0364737,0.500001,-1.94E-06,-1.07E-06,9.26E-07,-4.29E-05,-0.005498,-0.00553936
0.049,-0.00737061,0.523444,-0.0036439,-7.40E-06,0.0369972,0.499998,-1.98E-06,-8.46E-06,-6.42E-06,-4.30E-05,-0.00734992,-0.00739131
0.05,0.00547713,0.506313,0.00368688,-1.93E-06,0.0375035,0.500001,-2.03E-06,-3.01E-06,-9.26E-07,-4.31E-05,0.00549807,0.00545676
0.051,0.00732919,0.503844,-0.00364379,5.40E-06,0.0380073,0.499998,-2.07E-06,4.30E-06,6.42E-06,-4.31E-05,0.00734983,0.00730853
0.052,-0.00551848,0.486713,0.00368679,-1.17E-07,0.038494,0.500002,-2.11E-06,-1.24E-06,9.26E-07,-4.34E-05,-0.005498,-0.00553954
0.053,-0.00737071,0.484244,-0.00364366,-7.49E-06,0.0389783,0.499998,-2.16E-06,-8.63E-06,-6.42E-06,-4.34E-05,-0.00734993,-0.00739151
