sim_time, unit_box_Custom?world_linear_acceleration/y
0.001, 992.867
0.002, -15.1451
0.003, -3.40902
0.004, -18.083
0.005, -1.68673
0.006, -16.3021
0.007, -3.16243
0.008, -17.6431
0.009, -2.01956
0.01, -16.7881
0.011, -2.76993
0.012, -17.3327
0.013, -2.28754
0.014, -17.0105
0.015, -2.57808
0.016, -17.1997
0.017, -2.40628
0.018, -17.0913
0.019, -2.50547
0.02, -17.1531
0.021, -2.44877
0.022, -17.1181
0.023, -2.48094
0.024, -17.1378
0.025, -2.46282
0.026, -17.1267
0.027, -2.47303
0.028, -17.1329
0.029, -2.46735
0.03, -17.1294
0.031, -2.47053
0.032, -17.1313
0.033, -2.46882
0.034, -17.1303
0.035, -2.46975
0.036, -17.1308
0.037, -2.46931
0.038, -17.1306
0.039, -2.46948
0.04, -17.1306
0.041, -2.46946
0.042, -17.1307
0.043, -2.46939
0.044, -17.1306
0.045, -2.46951
0.046, -17.1307
0.047, -2.46935
0.048, -17.1306
0.049, -2.46954
0.05, -17.1308
0.051, -2.46933
0.052, -17.1306
0.053, -2.46955
0.054, -17.1308
0.055, -2.46931
0.056, -17.1306
0.057, -2.46955
0.058, -17.1308
0.059, -2.4693
0.06, -17.1306
0.061, -2.46956
0.062, -17.1309
0.063, -2.46929
0.064, -17.1306
0.065, -2.46957
0.066, -17.1309
0.067, -2.46927
0.068, -17.1306
0.069, -2.46957
0.07, -17.1309
0.071, -2.46926
0.072, -17.1306
0.073, -2.46958
0.074, -17.1309
0.075, -2.46925
0.076, -17.1306
0.077, -2.46959
0.078, -17.1309
0.079, -2.46923
0.08, -17.1306
0.081, -2.46959
0.082, -17.131
0.083, -2.46922
0.084, -17.1306
0.085, -2.4696
0.086, -17.131
0.087, -2.46921
0.088, -17.1306
0.089, -2.46961
0.09, -17.131
0.091, -2.46919
0.092, -17.1306
0.093, -2.46961
0.094, -17.1309
0.095, -2.46938
0.096, -17.1302
0.097, -2.47037
0.098, -17.13
0.099, -2.47067
0.1, -17.1282
0.101, -2.47288
0.102, -14.3411
0.103, -1.00085
0.104, 3.39913
0.105, 1.60105
0.106, -6.98539
0.107, 2.67636
0.108, 1.62007
0.109, -0.765251
0.11, -0.0571168
0.111, 0
0.112, 0.0223588
0.113, -0.00630321
0.114, 2.09604
0.115, -4.19081
0.116, -2.24443
0.117, 8.67363
0.118, 0.423744
0.119, -9.50779
0.12, -0.112894
0.121, 9.71368
0.122, 0.0361818
0.123, -9.76448
0.124, -0.0172513
0.125, 9.77701
0.126, 0.01258
0.127, -9.7801
0.128, -0.0114272
0.129, 9.78087
0.13, 0.0111428
0.131, -9.78106
0.132, -0.0110725
0.133, 9.7811
0.134, 0.0110553
0.135, -9.78111
0.136, -0.0110509
0.137, 9.78112
0.138, 0.01105
0.139, -9.78112
0.14, -0.0110496
0.141, 9.78112
0.142, 0.0110496
0.143, -9.78112
0.144, -0.0110495
0.145, 9.78112
0.146, 0.0110496
0.147, -9.78112
0.148, -0.0110495
0.149, 9.78112
0.15, 0.0110496
0.151, -9.78112
0.152, -0.0110495
0.153, 9.78112
0.154, 0.0110496
0.155, -9.78112
0.156, -0.0110495
0.157, 9.78112
0.158, 0.0110496
0.159, -9.78112
0.16, -0.0110495
0.161, 9.78112
0.162, 0.0110496
0.163, -9.78112
0.164, -0.0110495
0.165, 9.78112
0.166, 0.0110496
0.167, -9.78112
0.168, -0.0110495
0.169, 9.78112
0.17, 0.0110496
0.171, -9.78112
0.172, -0.0110495
0.173, 9.78112
0.174, 0.0110496
0.175, -9.78112
0.176, -0.0110495
0.177, 9.78112
0.178, 0.0110496
0.179, -9.78112
0.18, -0.0110495
0.181, 9.78112
0.182, 0.0110496
0.183, -9.78112
0.184, -0.0110495
0.185, 9.78112
0.186, 0.0110496
0.187, -9.78112
0.188, -0.0110495
0.189, 9.78112
0.19, 0.0110496
0.191, -9.78112
0.192, -0.0110495
0.193, 9.78112
0.194, 0.0110496
0.195, -9.78112
0.196, -0.0110495
0.197, 9.78112
0.198, 0.0110496
0.199, -9.78112
0.2, -0.0110495
0.201, 9.78112
0.202, 0.0110496
0.203, -9.78112
0.204, -0.0110495
0.205, 9.78112
0.206, 0.0110496
0.207, -9.78112
0.208, -0.0110495
0.209, 9.78112
0.21, 0.0110496
0.211, -9.78112
0.212, -0.0110495
0.213, 9.78112
0.214, 0.0110496
0.215, -9.78112
0.216, -0.0110495
0.217, 9.78112
0.218, 0.0110496
0.219, -9.78112
0.22, -0.0110495
0.221, 9.78112
0.222, 0.0110496
0.223, -9.78112
0.224, -0.0110495
0.225, 9.78112
0.226, 0.0110496
0.227, -9.78112
0.228, -0.0110495
0.229, 9.78112
0.23, 0.0110496
0.231, -9.78112
0.232, -0.0110495
0.233, 9.78112
0.234, 0.0110496
0.235, -9.78112
0.236, -0.0110495
0.237, 9.78112
0.238, 0.0110496
0.239, -9.78112
0.24, -0.0110495
0.241, 9.78112
0.242, 0.0110496
0.243, -9.78112
0.244, -0.0110495
0.245, 9.78112
0.246, 0.0110496
0.247, -9.78112
0.248, -0.0110495
0.249, 9.78112
0.25, 0.0110496
0.251, -9.78112
0.252, -0.0110495
0.253, 9.78112
0.254, 0.0110496
0.255, -9.78112
0.256, -0.0110495
0.257, 9.78112
0.258, 0.0110496
0.259, -9.78112
0.26, -0.0110495
0.261, 9.78112
0.262, 0.0110496
0.263, -9.78112
0.264, -0.0110495
0.265, 9.78112
0.266, 0.0110496
0.267, -9.78112
0.268, -0.0110495
0.269, 9.78112
0.27, 0.0110496
0.271, -9.78112
0.272, -0.0110495
0.273, 9.78112
0.274, 0.0110496
0.275, -9.78112
0.276, -0.0110495
0.277, 9.78112
0.278, 0.0110496
0.279, -9.78112
0.28, -0.0110495
0.281, 9.78112
0.282, 0.0110496
0.283, -9.78112
0.284, -0.0110495
0.285, 9.78112
0.286, 0.0110496
0.287, -9.78112
0.288, -0.0110495
0.289, 9.78112
0.29, 0.0110496
0.291, -9.78112
0.292, -0.0110495
0.293, 9.78112
0.294, 0.0110496
0.295, -9.78112
0.296, -0.0110495
0.297, 9.78112
0.298, 0.0110496
0.299, -9.78112
0.3, -0.0110495
0.301, 9.78112
0.302, 0.0110496
0.303, -9.78112
0.304, -0.0110495
0.305, 9.78112
0.306, 0.0110496
0.307, -9.78112
0.308, -0.0110495
0.309, 9.78112
0.31, 0.0110496
0.311, -9.78112
0.312, -0.0110495
0.313, 9.78112
0.314, 0.0110496
0.315, -9.78112
0.316, -0.0110495
0.317, 9.78112
0.318, 0.0110496
0.319, -9.78112
0.32, -0.0110495
0.321, 9.78112
0.322, 0.0110496
0.323, -9.78112
0.324, -0.0110495
0.325, 9.78112
0.326, 0.0110496
0.327, -9.78112
0.328, -0.0110495
0.329, 9.78112
0.33, 0.0110496
0.331, -9.78112
0.332, -0.0110495
0.333, 9.78112
0.334, 0.0110496
0.335, -9.78112
0.336, -0.0110495
0.337, 9.78112
0.338, 0.0110496
0.339, -9.78112
0.34, -0.0110495
0.341, 9.78112
0.342, 0.0110496
0.343, -9.78112
0.344, -0.0110495
0.345, 9.78112
0.346, 0.0110496
0.347, -9.78112
0.348, -0.0110495
0.349, 9.78112
0.35, 0.0110496
0.351, -9.78112
0.352, -0.0110495
0.353, 9.78112
0.354, 0.0110496
0.355, -9.78112
0.356, -0.0110495
0.357, 9.78112
0.358, 0.0110496
0.359, -9.78112
0.36, -0.0110495
0.361, 9.78112
0.362, 0.0110496
0.363, -9.78112
0.364, -0.0110495
0.365, 9.78112
0.366, 0.0110496
0.367, -9.78112
0.368, -0.0110495
0.369, 9.78112
0.37, 0.0110496
0.371, -9.78112
0.372, -0.0110495
0.373, 9.78112
0.374, 0.0110496
0.375, -9.78112
0.376, -0.0110495
0.377, 9.78112
0.378, 0.0110496
0.379, -9.78112
