sim_time, unit_box_Custom?world_linear_acceleration/z
0.001, -2.66691
0.002, 5.34507
0.003, -6.39098
0.004, 8.28295
0.005, -8.11327
0.006, 6.50212
0.007, -6.63757
0.008, 7.84312
0.009, -7.78044
0.01, 6.98812
0.011, -7.03007
0.012, 7.53273
0.013, -7.51246
0.014, 7.2105
0.015, -7.22192
0.016, 7.39968
0.017, -7.39372
0.018, 7.29131
0.019, -7.29453
0.02, 7.35305
0.021, -7.35123
0.022, 7.31813
0.023, -7.31906
0.024, 7.33779
0.025, -7.33718
0.026, 7.32673
0.027, -7.32697
0.028, 7.3329
0.029, -7.33265
0.03, 7.32945
0.031, -7.32947
0.032, 7.33132
0.033, -7.33118
0.034, 7.3303
0.035, -7.33025
0.036, 7.3308
0.037, -7.33069
0.038, 7.33058
0.039, -7.33052
0.04, 7.33064
0.041, -7.33054
0.042, 7.3307
0.043, -7.33061
0.044, 7.3306
0.045, -7.33049
0.046, 7.33075
0.047, -7.33065
0.048, 7.33058
0.049, -7.33046
0.05, 7.33078
0.051, -7.33067
0.052, 7.33058
0.053, -7.33045
0.054, 7.33081
0.055, -7.33069
0.056, 7.33058
0.057, -7.33045
0.058, 7.33083
0.059, -7.3307
0.06, 7.33059
0.061, -7.33044
0.062, 7.33085
0.063, -7.33071
0.064, 7.33059
0.065, -7.33043
0.066, 7.33088
0.067, -7.33073
0.068, 7.3306
0.069, -7.33043
0.07, 7.3309
0.071, -7.33074
0.072, 7.3306
0.073, -7.33042
0.074, 7.33092
0.075, -7.33075
0.076, 7.33061
0.077, -7.33041
0.078, 7.33095
0.079, -7.33077
0.08, 7.33061
0.081, -7.33041
0.082, 7.33097
0.083, -7.33078
0.084, 7.33062
0.085, -7.3304
0.086, 7.33099
0.087, -7.33079
0.088, 7.33062
0.089, -7.33039
0.09, 7.33102
0.091, -7.33081
0.092, 7.33063
0.093, -7.33039
0.094, 7.33095
0.095, -7.33062
0.096, 7.33021
0.097, -7.32963
0.098, 7.32998
0.099, -7.32933
0.1, 7.32822
0.101, -7.32712
0.102, 5.61893
0.103, -8.13801
0.104, 11.2414
0.105, -7.13132
0.106, 4.09289
0.107, -5.33907
0.108, 6.5855
0.109, -8.28666
0.11, 9.98763
0.111, -9.8
0.112, 8.55667
0.113, -0.929576
0.114, -6.30662
0.115, 5.20593
0.116, -6.05921
0.117, 8.67813
0.118, -9.09376
0.119, 9.50927
0.12, -9.61184
0.121, 9.71439
0.122, -9.7397
0.123, 9.765
0.124, -9.77125
0.125, 9.77749
0.126, -9.77903
0.127, 9.78058
0.128, -9.78096
0.129, 9.78134
0.13, -9.78143
0.131, 9.78152
0.132, -9.78155
0.133, 9.78157
0.134, -9.78158
0.135, 9.78158
0.136, -9.78158
0.137, 9.78158
0.138, -9.78158
0.139, 9.78158
0.14, -9.78158
0.141, 9.78159
0.142, -9.78159
0.143, 9.78159
0.144, -9.78159
0.145, 9.78159
0.146, -9.78159
0.147, 9.78159
0.148, -9.78159
0.149, 9.78159
0.15, -9.78159
0.151, 9.78159
0.152, -9.78159
0.153, 9.78159
0.154, -9.78159
0.155, 9.78159
0.156, -9.78159
0.157, 9.78159
0.158, -9.78159
0.159, 9.78159
0.16, -9.78159
0.161, 9.78159
0.162, -9.78159
0.163, 9.78159
0.164, -9.78159
0.165, 9.78159
0.166, -9.78159
0.167, 9.78159
0.168, -9.78159
0.169, 9.78159
0.17, -9.78159
0.171, 9.78159
0.172, -9.78159
0.173, 9.78159
0.174, -9.78159
0.175, 9.78159
0.176, -9.78159
0.177, 9.78159
0.178, -9.78159
0.179, 9.78159
0.18, -9.78159
0.181, 9.78159
0.182, -9.78159
0.183, 9.78159
0.184, -9.78159
0.185, 9.78159
0.186, -9.78159
0.187, 9.78159
0.188, -9.78159
0.189, 9.78159
0.19, -9.78159
0.191, 9.78159
0.192, -9.78159
0.193, 9.78159
0.194, -9.78159
0.195, 9.78159
0.196, -9.78159
0.197, 9.78159
0.198, -9.78159
0.199, 9.78159
0.2, -9.78159
0.201, 9.78159
0.202, -9.78159
0.203, 9.78159
0.204, -9.78159
0.205, 9.78159
0.206, -9.78159
0.207, 9.78159
0.208, -9.78159
0.209, 9.78159
0.21, -9.78159
0.211, 9.78159
0.212, -9.78159
0.213, 9.78159
0.214, -9.78159
0.215, 9.78159
0.216, -9.78159
0.217, 9.78159
0.218, -9.78159
0.219, 9.78159
0.22, -9.78159
0.221, 9.78159
0.222, -9.78159
0.223, 9.78159
0.224, -9.78159
0.225, 9.78159
0.226, -9.78159
0.227, 9.78159
0.228, -9.78159
0.229, 9.78159
0.23, -9.78159
0.231, 9.78159
0.232, -9.78159
0.233, 9.78159
0.234, -9.78159
0.235, 9.78159
0.236, -9.78159
0.237, 9.78159
0.238, -9.78159
0.239, 9.78159
0.24, -9.78159
0.241, 9.78159
0.242, -9.78159
0.243, 9.78159
0.244, -9.78159
0.245, 9.78159
0.246, -9.78159
0.247, 9.78159
