sim_time, unit_box_Custom?world_pose/orientation/roll
0.001, -6.36738e-09
0.002, -4.94747e-08
0.003, -8.96639e-08
0.004, -1.29925e-07
0.005, -1.70146e-07
0.006, -2.10405e-07
0.007, -2.50626e-07
0.008, -2.90935e-07
0.009, -3.31207e-07
0.01, -3.71533e-07
0.011, -4.11822e-07
0.012, -4.52217e-07
0.013, -4.9258e-07
0.014, -5.3301e-07
0.015, -5.73405e-07
0.016, -6.13926e-07
0.017, -6.54418e-07
0.018, -6.94989e-07
0.019, -7.35526e-07
0.02, -7.76211e-07
0.021, -8.16871e-07
0.022, -8.57622e-07
0.023, -8.98339e-07
0.024, -9.39227e-07
0.025, -9.80094e-07
0.026, -1.02106e-06
0.027, -1.062e-06
0.028, -1.10313e-06
0.029, -1.14424e-06
0.03, -1.18546e-06
0.031, -1.22665e-06
0.032, -1.26806e-06
0.033, -1.30946e-06
0.034, -1.35098e-06
0.035, -1.39247e-06
0.036, -1.43419e-06
0.037, -1.47591e-06
0.038, -1.51776e-06
0.039, -1.55959e-06
0.04, -1.60167e-06
0.041, -1.64375e-06
0.042, -1.68598e-06
0.043, -1.72818e-06
0.044, -1.77066e-06
0.045, -1.81314e-06
0.046, -1.85578e-06
0.047, -1.89839e-06
0.048, -1.94131e-06
0.049, -1.98424e-06
0.05, -2.02732e-06
0.051, -2.07039e-06
0.052, -2.11379e-06
0.053, -2.1572e-06
0.054, -2.20078e-06
0.055, -2.24434e-06
0.056, -2.28826e-06
0.057, -2.33219e-06
0.058, -2.3763e-06
0.059, -2.4204e-06
0.06, -2.46488e-06
0.061, -2.50937e-06
0.062, -2.55406e-06
0.063, -2.59874e-06
0.064, -2.64382e-06
0.065, -2.68892e-06
0.066, -2.73423e-06
0.067, -2.77952e-06
0.068, -2.82525e-06
0.069, -2.87099e-06
0.07, -2.91696e-06
0.071, -2.96292e-06
0.072, -3.00933e-06
0.073, -3.05577e-06
0.074, -3.10244e-06
0.075, -3.1491e-06
0.076, -3.19625e-06
0.077, -3.24342e-06
0.078, -3.29084e-06
0.079, -3.33825e-06
0.08, -3.38617e-06
0.081, -3.43412e-06
0.082, -3.48234e-06
0.083, -3.53054e-06
0.084, -3.57928e-06
0.085, -3.62806e-06
0.086, -3.67711e-06
0.087, -3.72615e-06
0.088, -3.77576e-06
0.089, -3.82541e-06
0.09, -3.87534e-06
0.091, -3.92527e-06
0.092, -3.97579e-06
0.093, -4.02635e-06
0.094, -4.07722e-06
0.095, -4.12808e-06
0.096, -4.17956e-06
0.097, -4.23109e-06
0.098, -4.28293e-06
0.099, -4.33477e-06
0.1, -4.38727e-06
0.101, -4.4398e-06
0.102, -1.25921e-06
0.103, 3.90476e-06
0.104, 7.04223e-09
0.105, -6.98496e-06
0.106, -6.34268e-09
0.107, 1.61859e-06
0.108, 5.25111e-09
0.109, -5.27117e-08
0.11, -6.67161e-09
0.111, 2.46872e-08
0.112, 8.53255e-09
0.113, 5.80722e-09
0.114, -4.18885e-06
0.115, -5.87415e-11
0.116, 8.67778e-06
0.117, 8.18005e-09
0.118, -9.50889e-06
0.119, -1.03544e-08
0.12, 9.71395e-06
0.121, 1.08699e-08
0.122, -9.76455e-06
0.123, -1.09971e-08
0.124, 9.77703e-06
0.125, 1.10284e-08
0.126, -9.78012e-06
0.127, -1.10362e-08
0.128, 9.78088e-06
0.129, 1.10381e-08
0.13, -9.78106e-06
0.131, -1.10386e-08
0.132, 9.78111e-06
0.133, 1.10386e-08
0.134, -9.78112e-06
0.135, -1.10387e-08
0.136, 9.78112e-06
0.137, 1.10387e-08
0.138, -9.78113e-06
0.139, -1.10388e-08
0.14, 9.78113e-06
0.141, 1.10387e-08
0.142, -9.78113e-06
0.143, -1.10388e-08
0.144, 9.78113e-06
0.145, 1.10387e-08
0.146, -9.78113e-06
0.147, -1.10388e-08
0.148, 9.78113e-06
0.149, 1.10387e-08
0.15, -9.78113e-06
0.151, -1.10388e-08
0.152, 9.78113e-06
0.153, 1.10387e-08
0.154, -9.78113e-06
0.155, -1.10388e-08
0.156, 9.78113e-06
0.157, 1.10387e-08
0.158, -9.78113e-06
0.159, -1.10388e-08
0.16, 9.78113e-06
0.161, 1.10387e-08
0.162, -9.78113e-06
0.163, -1.10388e-08
0.164, 9.78113e-06
0.165, 1.10387e-08
0.166, -9.78113e-06
0.167, -1.10388e-08
0.168, 9.78113e-06
0.169, 1.10387e-08
0.17, -9.78113e-06
0.171, -1.10388e-08
0.172, 9.78113e-06
0.173, 1.10387e-08
0.174, -9.78113e-06
0.175, -1.10388e-08
0.176, 9.78113e-06
0.177, 1.10387e-08
0.178, -9.78113e-06
0.179, -1.10388e-08
0.18, 9.78113e-06
0.181, 1.10387e-08
0.182, -9.78113e-06
0.183, -1.10388e-08
0.184, 9.78113e-06
0.185, 1.10387e-08
0.186, -9.78113e-06
0.187, -1.10388e-08
0.188, 9.78113e-06
0.189, 1.10387e-08
0.19, -9.78113e-06
0.191, -1.10388e-08
0.192, 9.78113e-06
0.193, 1.10387e-08
0.194, -9.78113e-06
0.195, -1.10388e-08
0.196, 9.78113e-06
0.197, 1.10387e-08
0.198, -9.78113e-06
0.199, -1.10388e-08
0.2, 9.78113e-06
0.201, 1.10387e-08
0.202, -9.78113e-06
0.203, -1.10388e-08
0.204, 9.78113e-06
0.205, 1.10387e-08
0.206, -9.78113e-06
0.207, -1.10388e-08
0.208, 9.78113e-06
0.209, 1.10387e-08
0.21, -9.78113e-06
0.211, -1.10388e-08
0.212, 9.78113e-06
0.213, 1.10387e-08
0.214, -9.78113e-06
0.215, -1.10388e-08
0.216, 9.78113e-06
0.217, 1.10387e-08
0.218, -9.78113e-06
0.219, -1.10388e-08
0.22, 9.78113e-06
0.221, 1.10387e-08
0.222, -9.78113e-06
0.223, -1.10388e-08
0.224, 9.78113e-06
0.225, 1.10387e-08
0.226, -9.78113e-06
0.227, -1.10388e-08
0.228, 9.78113e-06
0.229, 1.10387e-08
0.23, -9.78113e-06
0.231, -1.10388e-08
0.232, 9.78113e-06
0.233, 1.10387e-08
0.234, -9.78113e-06
0.235, -1.10388e-08
0.236, 9.78113e-06
0.237, 1.10387e-08
0.238, -9.78113e-06
0.239, -1.10388e-08
0.24, 9.78113e-06
0.241, 1.10387e-08
0.242, -9.78113e-06
0.243, -1.10388e-08
0.244, 9.78113e-06
0.245, 1.10387e-08
0.246, -9.78113e-06
0.247, -1.10388e-08
0.248, 9.78113e-06
0.249, 1.10387e-08
0.25, -9.78113e-06
0.251, -1.10388e-08
0.252, 9.78113e-06
0.253, 1.10387e-08
0.254, -9.78113e-06
0.255, -1.10388e-08
0.256, 9.78113e-06
0.257, 1.10387e-08
0.258, -9.78113e-06
0.259, -1.10388e-08
0.26, 9.78113e-06
0.261, 1.10387e-08
0.262, -9.78113e-06
0.263, -1.10388e-08
0.264, 9.78113e-06
0.265, 1.10387e-08
0.266, -9.78113e-06
0.267, -1.10388e-08
0.268, 9.78113e-06
0.269, 1.10387e-08
0.27, -9.78113e-06
0.271, -1.10388e-08
0.272, 9.78113e-06
0.273, 1.10387e-08
0.274, -9.78113e-06
0.275, -1.10388e-08
0.276, 9.78113e-06
0.277, 1.10387e-08
0.278, -9.78113e-06
0.279, -1.10388e-08
0.28, 9.78113e-06
0.281, 1.10387e-08
0.282, -9.78113e-06
0.283, -1.10388e-08
0.284, 9.78113e-06
0.285, 1.10387e-08
0.286, -9.78113e-06
0.287, -1.10388e-08
0.288, 9.78113e-06
0.289, 1.10387e-08
0.29, -9.78113e-06
0.291, -1.10388e-08
0.292, 9.78113e-06
0.293, 1.10387e-08
0.294, -9.78113e-06
0.295, -1.10388e-08
0.296, 9.78113e-06
0.297, 1.10387e-08
0.298, -9.78113e-06
0.299, -1.10388e-08
0.3, 9.78113e-06
0.301, 1.10387e-08
0.302, -9.78113e-06
0.303, -1.10388e-08
0.304, 9.78113e-06
0.305, 1.10387e-08
0.306, -9.78113e-06
0.307, -1.10388e-08
0.308, 9.78113e-06
0.309, 1.10387e-08
0.31, -9.78113e-06
0.311, -1.10388e-08
0.312, 9.78113e-06
0.313, 1.10387e-08
0.314, -9.78113e-06
0.315, -1.10388e-08
0.316, 9.78113e-06
0.317, 1.10387e-08
0.318, -9.78113e-06
0.319, -1.10388e-08
0.32, 9.78113e-06
0.321, 1.10387e-08
0.322, -9.78113e-06
0.323, -1.10388e-08
0.324, 9.78113e-06
0.325, 1.10387e-08
0.326, -9.78113e-06
0.327, -1.10388e-08
0.328, 9.78113e-06
0.329, 1.10387e-08
0.33, -9.78113e-06
0.331, -1.10388e-08
0.332, 9.78113e-06
0.333, 1.10387e-08
0.334, -9.78113e-06
0.335, -1.10388e-08
0.336, 9.78113e-06
0.337, 1.10387e-08
0.338, -9.78113e-06
0.339, -1.10388e-08
0.34, 9.78113e-06
0.341, 1.10387e-08
0.342, -9.78113e-06
0.343, -1.10388e-08
0.344, 9.78113e-06
0.345, 1.10387e-08
0.346, -9.78113e-06
0.347, -1.10388e-08
0.348, 9.78113e-06
0.349, 1.10387e-08
0.35, -9.78113e-06
0.351, -1.10388e-08
0.352, 9.78113e-06
0.353, 1.10387e-08
0.354, -9.78113e-06
0.355, -1.10388e-08
0.356, 9.78113e-06
0.357, 1.10387e-08
0.358, -9.78113e-06
0.359, -1.10388e-08
0.36, 9.78113e-06
0.361, 1.10387e-08
0.362, -9.78113e-06
0.363, -1.10388e-08
0.364, 9.78113e-06
0.365, 1.10387e-08
0.366, -9.78113e-06
0.367, -1.10388e-08
0.368, 9.78113e-06
0.369, 1.10387e-08
0.37, -9.78113e-06
0.371, -1.10388e-08
0.372, 9.78113e-06
0.373, 1.10387e-08
0.374, -9.78113e-06
0.375, -1.10388e-08
0.376, 9.78113e-06
0.377, 1.10387e-08
0.378, -9.78113e-06
0.379, -1.10388e-08
0.38, 9.78113e-06
0.381, 1.10387e-08
0.382, -9.78113e-06
0.383, -1.10388e-08
0.384, 9.78113e-06
0.385, 1.10387e-08
0.386, -9.78113e-06
0.387, -1.10388e-08
0.388, 9.78113e-06
0.389, 1.10387e-08
0.39, -9.78113e-06
0.391, -1.10388e-08
0.392, 9.78113e-06
0.393, 1.10387e-08
0.394, -9.78113e-06
0.395, -1.10388e-08
0.396, 9.78113e-06
0.397, 1.10387e-08
0.398, -9.78113e-06
0.399, -1.10388e-08
0.4, 9.78113e-06
0.401, 1.10387e-08
0.402, -9.78113e-06
0.403, -1.10388e-08
0.404, 9.78113e-06
0.405, 1.10387e-08
0.406, -9.78113e-06
0.407, -1.10388e-08
0.408, 9.78113e-06
0.409, 1.10387e-08
0.41, -9.78113e-06
0.411, -1.10388e-08
0.412, 9.78113e-06
0.413, 1.10387e-08
0.414, -9.78113e-06
0.415, -1.10388e-08
0.416, 9.78113e-06
0.417, 1.10387e-08
0.418, -9.78113e-06
0.419, -1.10388e-08
0.42, 9.78113e-06
0.421, 1.10387e-08
0.422, -9.78113e-06
0.423, -1.10388e-08
0.424, 9.78113e-06
0.425, 1.10387e-08
0.426, -9.78113e-06
0.427, -1.10388e-08
0.428, 9.78113e-06
0.429, 1.10387e-08
0.43, -9.78113e-06
0.431, -1.10388e-08
0.432, 9.78113e-06
0.433, 1.10387e-08
0.434, -9.78113e-06
0.435, -1.10388e-08
0.436, 9.78113e-06
0.437, 1.10387e-08
0.438, -9.78113e-06
0.439, -1.10388e-08
0.44, 9.78113e-06
0.441, 1.10387e-08
0.442, -9.78113e-06
0.443, -1.10388e-08
0.444, 9.78113e-06
0.445, 1.10387e-08
0.446, -9.78113e-06
0.447, -1.10388e-08
0.448, 9.78113e-06
0.449, 1.10387e-08
0.45, -9.78113e-06
0.451, -1.10388e-08
0.452, 9.78113e-06
0.453, 1.10387e-08
0.454, -9.78113e-06
0.455, -1.10388e-08
0.456, 9.78113e-06
0.457, 1.10387e-08
0.458, -9.78113e-06
0.459, -1.10388e-08
0.46, 9.78113e-06
0.461, 1.10387e-08
0.462, -9.78113e-06
0.463, -1.10388e-08
0.464, 9.78113e-06
0.465, 1.10387e-08
0.466, -9.78113e-06
0.467, -1.10388e-08
0.468, 9.78113e-06
0.469, 1.10387e-08
0.47, -9.78113e-06
0.471, -1.10388e-08
0.472, 9.78113e-06
0.473, 1.10387e-08
0.474, -9.78113e-06
0.475, -1.10388e-08
0.476, 9.78113e-06
0.477, 1.10387e-08
0.478, -9.78113e-06
0.479, -1.10388e-08
0.48, 9.78113e-06
0.481, 1.10387e-08
0.482, -9.78113e-06
0.483, -1.10388e-08
0.484, 9.78113e-06
0.485, 1.10387e-08
0.486, -9.78113e-06
0.487, -1.10388e-08
0.488, 9.78113e-06
0.489, 1.10387e-08
0.49, -9.78113e-06
0.491, -1.10388e-08
0.492, 9.78113e-06
0.493, 1.10387e-08
0.494, -9.78113e-06
0.495, -1.10388e-08
0.496, 9.78113e-06
0.497, 1.10387e-08
0.498, -9.78113e-06
0.499, -1.10388e-08
0.5, 9.78113e-06
0.501, 1.10387e-08
0.502, -9.78113e-06
0.503, -1.10388e-08
0.504, 9.78113e-06
0.505, 1.10387e-08
0.506, -9.78113e-06
0.507, -1.10388e-08
0.508, 9.78113e-06
0.509, 1.10387e-08
0.51, -9.78113e-06
0.511, -1.10388e-08
0.512, 9.78113e-06
0.513, 1.10387e-08
0.514, -9.78113e-06
0.515, -1.10388e-08
0.516, 9.78113e-06
0.517, 1.10387e-08
0.518, -9.78113e-06
0.519, -1.10388e-08
0.52, 9.78113e-06
0.521, 1.10387e-08
0.522, -9.78113e-06
0.523, -1.10388e-08
0.524, 9.78113e-06
0.525, 1.10387e-08
0.526, -9.78113e-06
0.527, -1.10388e-08
0.528, 9.78113e-06
0.529, 1.10387e-08
0.53, -9.78113e-06
0.531, -1.10388e-08
0.532, 9.78113e-06
0.533, 1.10387e-08
0.534, -9.78113e-06
0.535, -1.10388e-08
0.536, 9.78113e-06
0.537, 1.10387e-08
0.538, -9.78113e-06
0.539, -1.10388e-08
0.54, 9.78113e-06
0.541, 1.10387e-08
0.542, -9.78113e-06
0.543, -1.10388e-08
0.544, 9.78113e-06
0.545, 1.10387e-08
0.546, -9.78113e-06
0.547, -1.10388e-08
0.548, 9.78113e-06
0.549, 1.10387e-08
0.55, -9.78113e-06
0.551, -1.10388e-08
0.552, 9.78113e-06
0.553, 1.10387e-08
0.554, -9.78113e-06
0.555, -1.10388e-08
0.556, 9.78113e-06
0.557, 1.10387e-08
0.558, -9.78113e-06
0.559, -1.10388e-08
0.56, 9.78113e-06
0.561, 1.10387e-08
0.562, -9.78113e-06
0.563, -1.10388e-08
0.564, 9.78113e-06
0.565, 1.10387e-08
0.566, -9.78113e-06
0.567, -1.10388e-08
0.568, 9.78113e-06
0.569, 1.10387e-08
0.57, -9.78113e-06
0.571, -1.10388e-08
0.572, 9.78113e-06
0.573, 1.10387e-08
0.574, -9.78113e-06
0.575, -1.10388e-08
0.576, 9.78113e-06
0.577, 1.10387e-08
0.578, -9.78113e-06
0.579, -1.10388e-08
0.58, 9.78113e-06
0.581, 1.10387e-08
0.582, -9.78113e-06
0.583, -1.10388e-08
0.584, 9.78113e-06
0.585, 1.10387e-08
0.586, -9.78113e-06
0.587, -1.10388e-08
0.588, 9.78113e-06
0.589, 1.10387e-08
0.59, -9.78113e-06
