sim_time, unit_box_Custom?world_pose/orientation/yaw
0.001, -5.42478e-06
0.002, -3.28775e-07
0.003, 7.32167e-06
0.004, 1.41004e-06
0.005, -5.76649e-06
0.006, -7.15618e-07
0.007, 6.70606e-06
0.008, 8.95447e-07
0.009, -6.42964e-06
0.01, -1.16342e-06
0.011, 6.17981e-06
0.012, 5.23458e-07
0.013, -6.84831e-06
0.014, -1.46209e-06
0.015, 5.85734e-06
0.016, 2.76927e-07
0.017, -7.10792e-06
0.018, -1.67421e-06
0.019, 5.63829e-06
0.02, 8.58891e-08
0.021, -7.30281e-06
0.022, -1.85283e-06
0.023, 5.45755e-06
0.024, -8.55607e-08
0.025, -7.47549e-06
0.026, -2.0203e-06
0.027, 5.28936e-06
0.028, -2.50812e-07
0.029, -7.6412e-06
0.03, -2.18444e-06
0.031, 5.12491e-06
0.032, -4.14388e-07
0.033, -7.80502e-06
0.034, -2.34785e-06
0.035, 4.96133e-06
0.036, -5.77781e-07
0.037, -7.96858e-06
0.038, -2.51136e-06
0.039, 4.79765e-06
0.04, -7.41501e-07
0.041, -8.13246e-06
0.042, -2.67533e-06
0.043, 4.63354e-06
0.044, -9.05741e-07
0.045, -8.29687e-06
0.046, -2.83987e-06
0.047, 4.46884e-06
0.048, -1.07061e-06
0.049, -8.46192e-06
0.05, -3.00507e-06
0.051, 4.30346e-06
0.052, -1.23617e-06
0.053, -8.62767e-06
0.054, -3.171e-06
0.055, 4.13734e-06
0.056, -1.40249e-06
0.057, -8.79421e-06
0.058, -3.33773e-06
0.059, 3.97042e-06
0.06, -1.56963e-06
0.061, -8.96157e-06
0.062, -3.5053e-06
0.063, 3.80263e-06
0.064, -1.73765e-06
0.065, -9.12983e-06
0.066, -3.67378e-06
0.067, 3.63391e-06
0.068, -1.90662e-06
0.069, -9.29905e-06
0.07, -3.84324e-06
0.071, 3.46422e-06
0.072, -2.07658e-06
0.073, -9.46928e-06
0.074, -4.01372e-06
0.075, 3.29347e-06
0.076, -2.2476e-06
0.077, -9.64059e-06
0.078, -4.18529e-06
0.079, 3.12163e-06
0.08, -2.41974e-06
0.081, -9.81303e-06
0.082, -4.35801e-06
0.083, 2.94861e-06
0.084, -2.59306e-06
0.085, -9.98666e-06
0.086, -4.53194e-06
0.087, 2.77438e-06
0.088, -2.76762e-06
0.089, -1.01616e-05
0.09, -4.70715e-06
0.091, 2.59885e-06
0.092, -2.94348e-06
0.093, -1.03378e-05
0.094, -4.88376e-06
0.095, 2.42198e-06
0.096, -3.12032e-06
0.097, -1.05151e-05
0.098, -5.06236e-06
0.099, 2.24309e-06
0.1, -3.29807e-06
0.101, -1.06936e-05
0.102, -8.54021e-06
0.103, -6.38557e-06
0.104, -6.38557e-06
0.105, -6.38573e-06
0.106, -6.39331e-06
0.107, -6.3941e-06
0.108, -6.39409e-06
0.109, -6.40407e-06
0.11, -6.40405e-06
0.111, -6.40403e-06
0.112, -6.4022e-06
0.113, -6.40345e-06
0.114, -6.40454e-06
0.115, -6.40454e-06
0.116, -6.40323e-06
0.117, -6.40324e-06
0.118, -6.40331e-06
0.119, -6.40329e-06
0.12, -6.40325e-06
0.121, -6.40328e-06
0.122, -6.4033e-06
0.123, -6.40328e-06
0.124, -6.40326e-06
0.125, -6.40328e-06
0.126, -6.4033e-06
0.127, -6.40328e-06
0.128, -6.40326e-06
0.129, -6.40328e-06
0.13, -6.4033e-06
0.131, -6.40328e-06
0.132, -6.40326e-06
0.133, -6.40328e-06
0.134, -6.4033e-06
0.135, -6.40328e-06
0.136, -6.40326e-06
0.137, -6.40328e-06
0.138, -6.4033e-06
0.139, -6.40328e-06
0.14, -6.40326e-06
0.141, -6.40328e-06
0.142, -6.4033e-06
0.143, -6.40328e-06
0.144, -6.40326e-06
0.145, -6.40328e-06
0.146, -6.4033e-06
0.147, -6.40328e-06
0.148, -6.40326e-06
0.149, -6.40328e-06
0.15, -6.4033e-06
0.151, -6.40328e-06
0.152, -6.40326e-06
0.153, -6.40328e-06
0.154, -6.4033e-06
0.155, -6.40328e-06
0.156, -6.40326e-06
0.157, -6.40328e-06
0.158, -6.4033e-06
0.159, -6.40328e-06
0.16, -6.40326e-06
0.161, -6.40328e-06
0.162, -6.4033e-06
0.163, -6.40328e-06
0.164, -6.40326e-06
0.165, -6.40328e-06
0.166, -6.4033e-06
0.167, -6.40328e-06
0.168, -6.40326e-06
0.169, -6.40328e-06
0.17, -6.4033e-06
0.171, -6.40328e-06
0.172, -6.40326e-06
0.173, -6.40328e-06
0.174, -6.4033e-06
0.175, -6.40328e-06
0.176, -6.40326e-06
0.177, -6.40328e-06
0.178, -6.4033e-06
0.179, -6.40328e-06
0.18, -6.40326e-06
0.181, -6.40328e-06
0.182, -6.4033e-06
0.183, -6.40328e-06
0.184, -6.40326e-06
0.185, -6.40328e-06
0.186, -6.4033e-06
0.187, -6.40328e-06
0.188, -6.40326e-06
0.189, -6.40328e-06
0.19, -6.4033e-06
0.191, -6.40328e-06
0.192, -6.40326e-06
0.193, -6.40328e-06
0.194, -6.4033e-06
0.195, -6.40328e-06
0.196, -6.40326e-06
0.197, -6.40328e-06
0.198, -6.4033e-06
0.199, -6.40328e-06
0.2, -6.40326e-06
0.201, -6.40328e-06
0.202, -6.4033e-06
0.203, -6.40328e-06
0.204, -6.40326e-06
0.205, -6.40328e-06
0.206, -6.4033e-06
0.207, -6.40328e-06
0.208, -6.40326e-06
0.209, -6.40328e-06
0.21, -6.4033e-06
0.211, -6.40328e-06
0.212, -6.40326e-06
0.213, -6.40328e-06
0.214, -6.4033e-06
0.215, -6.40328e-06
0.216, -6.40326e-06
