Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity,X Force Applied,Y Force Applied,Z Force Applied
0.025404,0.544455,82.73632,1.088034,-0.005402,1.366699,0.033653,-0.003601,-0.004944,-0.019473,0.299741,0.256402,0.136067,0.0,100000.0,0.0
0.042071,0.253402,68.16832,-0.545625,-0.002136,2.487793,0.037182,-0.000641,-0.009888,-0.024869,-0.151278,-0.553396,0.077509,0.0,100000.0,0.0
0.058738,-0.277901,51.368313,0.075924,-0.004364,3.31543,0.047203,0.022142,-0.018097,-0.026426,-1.328997,-0.754277,-0.054168,0.0,100000.0,0.0
0.075405,-0.941329,34.068169,1.196508,-0.014191,3.839722,0.066204,0.073121,-0.032013,-0.023011,-3.066248,-0.830213,-0.336649,0.0,100000.0,0.0
0.092072,-1.262832,16.210003,2.868786,-0.03302,4.046387,0.102386,0.15917,-0.057465,-0.018278,-5.242573,-0.626926,-0.728892,0.0,100000.0,0.0
0.108739,-0.804638,2.846822,1.626335,-0.043671,4.068542,0.128498,0.193063,-0.068542,-0.010286,-2.362181,-0.476144,-0.485785,0.0,100000.0,0.0
0.125406,-0.28238,-3.894888,-3.976507,-0.048828,4.078491,0.068333,0.107792,-0.072357,-0.008729,4.423755,-0.305765,-0.009872,0.0,100000.0,0.0
0.142073,-0.099301,-4.422171,-3.833691,-0.044708,4.068787,0.01432,0.027091,-0.068878,-0.001496,4.898435,-0.191318,0.062443,0.0,100000.0,0.0
0.15874,0.031894,-1.667746,-0.953077,-0.041656,4.065369,0.00177,-0.008881,-0.067139,0.001216,1.739101,-0.081703,0.068291,0.0,100000.0,0.0
0.175407,0.009815,0.024425,-0.244535,-0.042145,4.066223,-0.000484,-0.011536,-0.067474,0.000731,-0.087457,-0.018788,0.017781,0.0,100000.0,0.0
0.192074,-0.006898,0.375956,-0.212294,-0.043182,4.067749,-0.00034,-0.004883,-0.068176,0.000137,-0.416079,0.018575,-0.011451,0.0,100000.0,0.0
0.208741,-0.007564,0.214876,-0.080627,-0.043701,4.068359,-0.000023,-0.000336,-0.068481,-0.000061,-0.226096,0.012171,-0.009915,0.0,100000.0,0.0
0.225408,-0.002444,0.043526,-0.002674,-0.043701,4.068359,-0.000023,-0.000336,-0.068481,-0.000061,-0.042249,0.003437,-0.003069,0.0,100000.0,0.0
0.242075,0.001988,-0.019335,-0.01874,-0.043701,4.068237,0.00005,0.00057,-0.068451,-0.000034,0.02165,0.002149,0.000318,0.0,100000.0,0.0
0.258741,0.002541,-0.021332,-0.013184,-0.043701,4.068237,0.00005,0.00057,-0.068451,-0.000034,0.022453,0.001264,0.000855,0.0,100000.0,0.0
0.275408,0.000448,-0.008161,-0.004053,-0.043701,4.068237,0.00005,0.00057,-0.068451,-0.000034,0.008316,-0.000231,0.000396,0.0,100000.0,0.0
0.292075,-0.000072,-0.000545,-0.000725,-0.043701,4.068237,0.00005,0.00057,-0.068451,-0.000034,0.000331,-0.000229,0.000096,0.0,100000.0,0.0
0.308742,-0.000161,0.001282,-0.000898,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,-0.00148,-0.000083,-0.000029,0.0,100000.0,0.0
0.325409,-0.000098,0.001828,-0.000301,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,-0.001728,0.000151,-0.000104,0.0,100000.0,0.0
0.342076,0.000011,0.000061,-0.000208,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,-0.000157,0.000046,0.000036,0.0,100000.0,0.0
0.358743,-0.000543,-0.000097,-0.000206,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.000006,-0.000536,-0.000041,0.0,100000.0,0.0
0.37541,-0.000377,-0.000092,-0.000071,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.000014,-0.000377,-0.000004,0.0,100000.0,0.0
0.392077,-0.000084,-0.000717,-0.00001,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.000618,-0.000123,0.000076,0.0,100000.0,0.0
0.408744,-0.000183,-0.000214,-0.000109,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.000174,-0.000193,0.000002,0.0,100000.0,0.0
0.425411,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.442078,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.458745,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.475412,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.492079,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.508746,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.525413,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.542079,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.558746,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.575413,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.59208,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
0.608747,0.0,0.0,0.0,-0.04361,4.068115,-0.000004,-0.000031,-0.06842,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
