Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.001,-1.08E-17,10,2.70E-11,-9.80E-14,0.01,0.5,2.81E-19,-1.76E-21,2.00E-18,-3.97E-15,-2.14E-17,1.05E-18
0.002,-4.87E-16,10,2.70E-11,-9.80E-14,0.02,0.5,7.47E-19,-1.33E-21,1.04E-18,4.52E-16,-9.74E-16,4.29E-19
0.003,-5.37E-18,10,2.70E-11,-9.80E-14,0.03,0.5,7.46E-19,-8.95E-22,1.04E-18,-1.42E-17,-1.07E-17,4.29E-19
0.004,-4.64E-18,10,2.70E-11,-9.80E-14,0.04,0.5,7.45E-19,-4.62E-22,1.04E-18,-1.54E-17,-9.26E-18,4.29E-19
0.005,-3.90E-18,10,2.70E-11,-9.80E-14,0.05,0.5,7.43E-19,-2.89E-23,1.04E-18,-1.67E-17,-7.78E-18,4.29E-19
0.006,-6.36E-18,10,2.70E-11,-9.80E-14,0.06,0.5,7.44E-19,4.04E-22,1.04E-18,-1.06E-17,-1.27E-17,4.30E-19
0.007,-4.92E-18,10,2.70E-11,-9.80E-14,0.07,0.5,7.44E-19,8.37E-22,1.04E-18,-1.37E-17,-9.81E-18,4.29E-19
0.008,-5.69E-18,10,2.70E-11,-9.80E-14,0.08,0.5,7.45E-19,1.27E-21,1.04E-18,-1.36E-17,-1.14E-17,4.29E-19
0.009,-4.95E-18,10,2.70E-11,-9.80E-14,0.09,0.5,7.46E-19,1.70E-21,1.04E-18,-1.23E-17,-9.89E-18,4.29E-19
0.01,-4.22E-18,10,2.70E-11,-9.80E-14,0.1,0.5,7.44E-19,2.14E-21,1.04E-18,-1.27E-17,-8.42E-18,4.29E-19
0.011,-6.33E-18,10,2.70E-11,-9.80E-14,0.11,0.5,7.48E-19,2.57E-21,1.04E-18,-6.84E-18,-1.26E-17,4.29E-19
0.012,-3.64E-18,10,2.70E-11,-9.80E-14,0.12,0.5,7.47E-19,3.00E-21,1.04E-18,-1.70E-17,-7.25E-18,4.29E-19
0.013,-6.54E-18,10,2.70E-11,-9.80E-14,0.13,0.5,7.44E-19,3.43E-21,1.04E-18,-1.57E-17,-1.31E-17,4.30E-19
0.014,-5.27E-18,10,2.70E-11,-9.80E-14,0.14,0.5,7.44E-19,3.87E-21,1.04E-18,-1.17E-17,-1.05E-17,4.29E-19
0.015,-5.78E-18,10,2.70E-11,-9.80E-14,0.15,0.5,7.50E-19,4.30E-21,1.04E-18,-1.12E-17,-1.15E-17,4.29E-19
0.016,-7.00E-18,10,2.70E-11,-9.80E-14,0.16,0.5,7.45E-19,4.73E-21,1.04E-18,-1.69E-17,-1.40E-17,4.30E-19
0.017,-4.66E-18,10,2.70E-11,-9.80E-14,0.17,0.5,7.47E-19,5.16E-21,1.04E-18,-1.20E-17,-9.31E-18,4.29E-19
0.018,-5.35E-18,10,2.70E-11,-9.80E-14,0.18,0.5,7.43E-19,5.60E-21,1.04E-18,-1.68E-17,-1.07E-17,4.30E-19
