sim_time, unit_box_Custom?world_linear_velocity/x
0.001, -1.07906e-17
0.002, -4.87146e-16
0.003, -5.37235e-18
0.004, -4.63659e-18
0.005, -3.90084e-18
0.006, -6.36253e-18
0.007, -4.91624e-18
0.008, -5.69039e-18
0.009, -4.95463e-18
0.01, -4.21888e-18
0.011, -6.3253e-18
0.012, -3.63554e-18
0.013, -6.54132e-18
0.014, -5.27266e-18
0.015, -5.78034e-18
0.016, -6.99859e-18
0.017, -4.66409e-18
0.018, -5.34942e-18
0.019, -6.74528e-18
0.02, -5.47662e-18
0.021, -6.25077e-18
0.022, -4.09393e-18
0.023, -6.73325e-18
0.024, -2.97768e-18
0.025, -4.55119e-18
0.026, -5.76942e-18
0.027, -6.36594e-18
0.028, -3.94263e-18
0.029, -7.20368e-18
0.03, -5.66856e-18
0.031, -4.93281e-18
0.032, -4.81878e-18
0.033, -3.72775e-18
0.034, -5.74535e-18
0.035, -5.89778e-18
0.036, -5.0732e-18
0.037, -4.33744e-18
0.038, -6.62149e-18
0.039, -4.99756e-18
0.04, -4.88353e-18
0.041, -5.74649e-18
0.042, -5.18838e-18
0.043, -4.80789e-18
0.044, -5.75967e-18
0.045, -5.20156e-18
0.046, -4.11053e-18
0.047, -6.74985e-18
0.048, -4.85946e-18
0.049, -3.76844e-18
0.05, -6.76304e-18
0.051, -4.51737e-18
0.052, -5.46916e-18
0.053, -5.88803e-18
0.054, -6.57337e-18
0.055, -4.59417e-18
0.056, -5.54594e-18
0.057, -5.69836e-18
0.058, -5.31788e-18
0.059, -5.20384e-18
0.06, -5.71153e-18
0.061, -5.95274e-18
0.062, -4.7729e-18
0.063, -4.74769e-18
0.064, -5.52184e-18
0.065, -4.78609e-18
0.066, -4.13915e-18
0.067, -7.13375e-18
0.068, -4.53281e-18
0.069, -4.86287e-18
0.07, -4.83764e-18
0.071, -5.70061e-18
0.072, -6.47475e-18
0.073, -5.11727e-18
0.074, -5.3585e-18
0.075, -6.39909e-18
0.076, -4.33107e-18
0.077, -7.05921e-18
0.078, -3.65891e-18
0.079, -4.78833e-18
0.08, -4.31902e-18
0.081, -6.86952e-18
0.082, -3.91332e-18
0.083, -6.28617e-18
0.084, -4.57342e-18
0.085, -5.88048e-18
0.086, -7.18753e-18
0.087, -4.5866e-18
0.088, -5.44957e-18
0.089, -5.33553e-18
0.09, -5.22151e-18
0.091, -3.95283e-18
0.092, -6.41452e-18
0.093, -4.08002e-18
0.094, -6.98581e-18
0.095, -5.9836e-18
0.096, -5.86957e-18
0.097, -5.48908e-18
0.098, -5.90796e-18
0.099, -4.72809e-18
0.1, -3.90352e-18
0.101, -6.98693e-18
0.102, -5.09653e-18
0.103, -5.07133e-18
0.104, -4.77966e-18
0.105, -5.99789e-18
0.106, -6.77205e-18
0.107, -3.28294e-18
0.108, -6.1887e-18
0.109, -6.60758e-18
0.11, -3.20729e-18
0.111, -6.46833e-18
0.112, -3.86739e-18
0.113, -7.21725e-18
0.114, -5.23805e-18
0.115, -5.92338e-18
0.116, -6.60871e-18
0.117, -4.80714e-18
0.118, -5.84774e-18
0.119, -5.82254e-18
0.12, -4.82033e-18
0.121, -4.43984e-18
0.122, -6.81272e-18
0.123, -2.70187e-18
0.124, -5.43001e-18
0.125, -6.29297e-18
0.126, -4.66902e-18
0.127, -4.64379e-18
0.128, -6.03965e-18
0.129, -7.3467e-18
0.13, -5.10105e-18
0.131, -4.72056e-18
0.132, -4.87298e-18
0.133, -6.09121e-18
0.134, -5.71073e-18
0.135, -3.73153e-18
0.136, -5.21622e-18
0.137, -5.1022e-18
0.138, -4.54407e-18
0.139, -5.85111e-18
0.14, -7.3358e-18
0.141, -4.55723e-18
0.142, -3.9991e-18
0.143, -7.34897e-18
0.144, -5.10332e-18
0.145, -4.1011e-18
0.146, -7.80624e-18
0.147, -6.53758e-18
0.148, -3.67019e-18
0.149, -5.33252e-18
0.15, -5.57375e-18
0.151, -5.72618e-18
0.152, -6.85559e-18
0.153, -3.9882e-18
0.154, -5.82815e-18
0.155, -5.35885e-18
0.156, -5.86654e-18
0.157, -6.64067e-18
0.158, -4.12856e-18
0.159, -6.50143e-18
0.16, -4.34459e-18
0.161, -6.62864e-18
0.162, -4.02771e-18
0.163, -6.22293e-18
0.164, -5.93128e-18
0.165, -5.19552e-18
0.166, -4.63739e-18
0.167, -5.50035e-18
0.168, -6.54095e-18
0.169, -4.11765e-18
0.17, -6.66816e-18
0.171, -3.71196e-18
0.172, -6.17365e-18
0.173, -6.23725e-18
0.174, -2.4817e-18
0.175, -6.80855e-18
0.176, -5.18461e-18
0.177, -6.1364e-18
0.178, -6.28882e-18
0.179, -3.59908e-18
0.18, -5.43904e-18
0.181, -5.85791e-18
0.182, -5.38862e-18
0.183, -4.38641e-18
0.184, -7.29219e-18
0.185, -5.49062e-18
0.186, -4.66604e-18
0.187, -4.4632e-18
0.188, -4.17154e-18
0.189, -7.25496e-18
0.19, -5.36456e-18
0.191, -6.1387e-18
0.192, -6.37994e-18
0.193, -3.60139e-18
0.194, -7.39533e-18
0.195, -4.7944e-18
0.196, -4.858e-18
0.197, -5.98742e-18
0.198, -6.58393e-18
0.199, -5.31526e-18
0.2, -4.31305e-18
0.201, -5.26483e-18
0.202, -5.15079e-18
0.203, -4.05975e-18
0.204, -6.78789e-18
0.205, -4.45341e-18
0.206, -4.42821e-18
0.207, -7.60044e-18
0.208, -5.17714e-18
0.209, -5.15194e-18
0.21, -4.77144e-18
0.211, -4.74624e-18
0.212, -6.14209e-18
0.213, -6.64979e-18
0.214, -3.7824e-18
0.215, -6.06644e-18
0.216, -6.04123e-18
0.217, -4.41728e-18
0.218, -5.81314e-18
0.219, -5.07738e-18
0.22, -3.98636e-18
0.221, -6.98096e-18
0.222, -4.02476e-18
0.223, -6.66407e-18
0.224, -4.41841e-18
0.225, -5.99191e-18
0.226, -5.9667e-18
0.227, -5.0533e-18
0.228, -3.16291e-18
0.229, -6.06867e-18
0.23, -6.04347e-18
0.231, -6.01825e-18
0.232, -3.68378e-18
0.233, -5.43492e-18
0.234, -5.05442e-18
0.235, -4.31867e-18
0.236, -6.86916e-18
0.237, -4.88996e-18
0.238, -6.72991e-18
0.239, -3.86254e-18
0.24, -6.6795e-18
0.241, -4.16738e-18
0.242, -5.65207e-18
0.243, -4.82749e-18
0.244, -4.26936e-18
0.245, -6.37576e-18
0.246, -3.77483e-18
0.247, -5.88124e-18
0.248, -5.50076e-18
0.249, -5.12027e-18
0.25, -4.56217e-18
0.251, -4.00404e-18
0.252, -7.70918e-18
0.253, -6.44052e-18
0.254, -3.83959e-18
0.255, -5.85718e-18
0.256, -5.4767e-18
0.257, -4.65212e-18
0.258, -4.6269e-18
0.259, -5.13459e-18
0.26, -4.31002e-18
0.261, -6.41644e-18
0.262, -3.81551e-18
0.263, -6.45482e-18
0.264, -4.56441e-18
0.265, -4.00627e-18
0.266, -7.7114e-18
0.267, -5.02164e-18
0.268, -5.97342e-18
0.269, -5.23767e-18
0.27, -4.946e-18
0.271, -5.72013e-18
0.272, -5.25084e-18
0.273, -5.1368e-18
0.274, -5.2004e-18
0.275, -6.50745e-18
0.276, -4.43942e-18
0.277, -8.411e-18
0.278, -3.85607e-18
0.279, -6.40656e-18
0.28, -4.07207e-18
0.281, -7.24429e-18
0.282, -4.90982e-18
0.283, -4.35169e-18
0.284, -7.34629e-18
0.285, -4.65652e-18
0.286, -5.6083e-18
0.287, -5.40545e-18
0.288, -5.38024e-18
0.289, -4.64448e-18
0.29, -4.61927e-18
0.291, -4.8605e-18
0.292, -5.27937e-18
0.293, -6.76407e-18
0.294, -4.34076e-18
0.295, -7.86827e-18
0.296, -5.17851e-18
0.297, -3.73221e-18
0.298, -4.15109e-18
0.299, -6.43513e-18
0.3, -4.10064e-18
0.301, -6.29586e-18
0.302, -4.67192e-18
0.303, -5.53489e-18
0.304, -6.93075e-18
0.305, -5.3068e-18
0.306, -4.92632e-18
0.307, -4.72348e-18
0.308, -6.03053e-18
0.309, -6.98232e-18
0.31, -4.82546e-18
0.311, -4.44497e-18
0.312, -6.37376e-18
0.313, -2.6182e-18
0.314, -6.05689e-18
0.315, -5.32113e-18
0.316, -4.94063e-18
0.317, -4.20488e-18
0.318, -7.64356e-18
