sim_time, unit_box_Custom?world_pose/orientation/pitch
0.001, 2.00264e-18
0.002, 1.03795e-18
0.003, 1.03697e-18
0.004, 1.03747e-18
0.005, 1.03944e-18
0.006, 1.03862e-18
0.007, 1.03945e-18
0.008, 1.03802e-18
0.009, 1.03789e-18
0.01, 1.03993e-18
0.011, 1.03759e-18
0.012, 1.04062e-18
0.013, 1.03873e-18
0.014, 1.04009e-18
0.015, 1.04061e-18
0.016, 1.03834e-18
0.017, 1.03932e-18
0.018, 1.04177e-18
0.019, 1.03876e-18
0.02, 1.03883e-18
0.021, 1.03734e-18
0.022, 1.03964e-18
0.023, 1.03576e-18
0.024, 1.03976e-18
0.025, 1.04043e-18
0.026, 1.03884e-18
0.027, 1.03837e-18
0.028, 1.04097e-18
0.029, 1.03598e-18
0.03, 1.0369e-18
0.031, 1.03681e-18
0.032, 1.03854e-18
0.033, 1.03997e-18
0.034, 1.03754e-18
0.035, 1.03676e-18
0.036, 1.03781e-18
0.037, 1.03926e-18
0.038, 1.03828e-18
0.039, 1.03877e-18
0.04, 1.03966e-18
0.041, 1.03794e-18
0.042, 1.03734e-18
0.043, 1.03892e-18
0.044, 1.03859e-18
0.045, 1.03743e-18
0.046, 1.0388e-18
0.047, 1.03596e-18
0.048, 1.03655e-18
0.049, 1.03985e-18
0.05, 1.03734e-18
0.051, 1.04021e-18
0.052, 1.04047e-18
0.053, 1.04006e-18
0.054, 1.0374e-18
0.055, 1.04047e-18
0.056, 1.03969e-18
0.057, 1.03735e-18
0.058, 1.03773e-18
0.059, 1.03887e-18
0.06, 1.03865e-18
0.061, 1.03705e-18
0.062, 1.03852e-18
0.063, 1.03915e-18
0.064, 1.03806e-18
0.065, 1.03755e-18
0.066, 1.04028e-18
0.067, 1.03739e-18
0.068, 1.03969e-18
0.069, 1.03939e-18
0.07, 1.04019e-18
0.071, 1.03999e-18
0.072, 1.03788e-18
0.073, 1.03937e-18
0.074, 1.03985e-18
0.075, 1.03789e-18
0.076, 1.03829e-18
0.077, 1.03483e-18
0.078, 1.03693e-18
0.079, 1.0373e-18
0.08, 1.03879e-18
0.081, 1.03625e-18
0.082, 1.03908e-18
0.083, 1.03841e-18
0.084, 1.04099e-18
0.085, 1.04078e-18
0.086, 1.03742e-18
0.087, 1.0398e-18
0.088, 1.03867e-18
0.089, 1.03866e-18
0.09, 1.03853e-18
0.091, 1.04022e-18
0.092, 1.03822e-18
0.093, 1.04126e-18
0.094, 1.03777e-18
0.095, 1.03771e-18
0.096, 1.03734e-18
0.097, 1.03702e-18
0.098, 1.03693e-18
0.099, 1.03672e-18
0.1, 1.03957e-18
0.101, 1.03786e-18
0.102, 1.03833e-18
0.103, 1.03902e-18
0.104, 1.04012e-18
0.105, 1.03897e-18
0.106, 1.03537e-18
0.107, 1.03982e-18
0.108, 1.03882e-18
0.109, 1.03573e-18
0.11, 1.04087e-18
0.111, 1.03735e-18
0.112, 1.04063e-18
0.113, 1.03899e-18
0.114, 1.03882e-18
0.115, 1.04012e-18
0.116, 1.03827e-18
0.117, 1.03861e-18
0.118, 1.03793e-18
0.119, 1.03641e-18
0.12, 1.0369e-18
0.121, 1.03868e-18
0.122, 1.03589e-18
0.123, 1.03991e-18
0.124, 1.04131e-18
0.125, 1.03814e-18
0.126, 1.03893e-18
0.127, 1.04119e-18
0.128, 1.04048e-18
0.129, 1.03681e-18
0.13, 1.03638e-18
0.131, 1.03848e-18
0.132, 1.0394e-18
0.133, 1.03699e-18
0.134, 1.03623e-18
0.135, 1.03712e-18
0.136, 1.03788e-18
0.137, 1.0378e-18
0.138, 1.04009e-18
0.139, 1.04135e-18
0.14, 1.03681e-18
0.141, 1.03818e-18
0.142, 1.04102e-18
0.143, 1.03734e-18
0.144, 1.03691e-18
0.145, 1.04025e-18
0.146, 1.03814e-18
0.147, 1.03608e-18
0.148, 1.0394e-18
0.149, 1.03922e-18
0.15, 1.03927e-18
0.151, 1.03937e-18
0.152, 1.03827e-18
0.153, 1.03971e-18
0.154, 1.03765e-18
0.155, 1.03813e-18
0.156, 1.03794e-18
0.157, 1.03692e-18
0.158, 1.03915e-18
0.159, 1.03698e-18
0.16, 1.03878e-18
0.161, 1.03689e-18
0.162, 1.03985e-18
0.163, 1.03842e-18
0.164, 1.03775e-18
0.165, 1.03785e-18
0.166, 1.03994e-18
0.167, 1.04014e-18
0.168, 1.03825e-18
0.169, 1.0405e-18
0.17, 1.03836e-18
0.171, 1.03964e-18
0.172, 1.03813e-18
0.173, 1.03667e-18
0.174, 1.03988e-18
0.175, 1.03835e-18
0.176, 1.03988e-18
0.177, 1.03916e-18
0.178, 1.03582e-18
0.179, 1.03964e-18
0.18, 1.03889e-18
0.181, 1.0373e-18
0.182, 1.03701e-18
0.183, 1.03961e-18
0.184, 1.03622e-18
0.185, 1.03749e-18
0.186, 1.03811e-18
0.187, 1.0386e-18
0.188, 1.04146e-18
0.189, 1.03743e-18
0.19, 1.03914e-18
0.191, 1.03823e-18
0.192, 1.03684e-18
0.193, 1.04137e-18
0.194, 1.03777e-18
0.195, 1.03795e-18
0.196, 1.03925e-18
0.197, 1.03901e-18
0.198, 1.0381e-18
0.199, 1.03724e-18
0.2, 1.03786e-18
0.201, 1.03781e-18
0.202, 1.03746e-18
0.203, 1.03947e-18
0.204, 1.03673e-18
0.205, 1.03919e-18
0.206, 1.04118e-18
0.207, 1.03717e-18
0.208, 1.03783e-18
0.209, 1.03766e-18
0.21, 1.03877e-18
0.211, 1.04012e-18
0.212, 1.03921e-18
0.213, 1.03621e-18
0.214, 1.03931e-18
0.215, 1.0389e-18
0.216, 1.03553e-18
0.217, 1.03682e-18
0.218, 1.03657e-18
0.219, 1.03707e-18
0.22, 1.03994e-18
0.221, 1.03699e-18
0.222, 1.03961e-18
0.223, 1.03587e-18
0.224, 1.04001e-18
0.225, 1.0378e-18
0.226, 1.03599e-18
0.227, 1.03708e-18
0.228, 1.04141e-18
0.229, 1.04011e-18
0.23, 1.03816e-18
0.231, 1.03483e-18
0.232, 1.03723e-18
0.233, 1.03702e-18
0.234, 1.03793e-18
0.235, 1.03942e-18
0.236, 1.03705e-18
0.237, 1.03953e-18
0.238, 1.03673e-18
0.239, 1.03985e-18
0.24, 1.03591e-18
0.241, 1.03752e-18
0.242, 1.0367e-18
0.243, 1.03771e-18
0.244, 1.04001e-18
0.245, 1.03774e-18
0.246, 1.03996e-18
0.247, 1.03744e-18
0.248, 1.03746e-18
0.249, 1.03788e-18
0.25, 1.03799e-18
0.251, 1.04082e-18
0.252, 1.03891e-18
0.253, 1.03793e-18
0.254, 1.03914e-18
0.255, 1.03773e-18
0.256, 1.03708e-18
0.257, 1.03844e-18
0.258, 1.03789e-18
0.259, 1.03899e-18
0.26, 1.03961e-18
0.261, 1.03709e-18
0.262, 1.04118e-18
0.263, 1.03787e-18
0.264, 1.03904e-18
0.265, 1.0424e-18
0.266, 1.03746e-18
0.267, 1.0379e-18
0.268, 1.03715e-18
0.269, 1.03645e-18
0.27, 1.03793e-18
0.271, 1.03875e-18
0.272, 1.03962e-18
0.273, 1.04018e-18
0.274, 1.04026e-18
0.275, 1.03827e-18
0.276, 1.04147e-18
0.277, 1.03673e-18
0.278, 1.03932e-18
0.279, 1.03788e-18
0.28, 1.04164e-18
0.281, 1.03675e-18
0.282, 1.03848e-18
0.283, 1.04061e-18
0.284, 1.03729e-18
0.285, 1.03846e-18
0.286, 1.03844e-18
0.287, 1.03953e-18
0.288, 1.03819e-18
0.289, 1.03939e-18
0.29, 1.03885e-18
0.291, 1.04033e-18
0.292, 1.04061e-18
0.293, 1.0381e-18
0.294, 1.0399e-18
0.295, 1.03518e-18
0.296, 1.0353e-18
0.297, 1.03708e-18
0.298, 1.03979e-18
0.299, 1.03812e-18
0.3, 1.04022e-18
0.301, 1.03865e-18
0.302, 1.03996e-18
0.303, 1.04026e-18
0.304, 1.03777e-18
0.305, 1.03729e-18
0.306, 1.0381e-18
0.307, 1.04056e-18
0.308, 1.04004e-18
0.309, 1.03674e-18
0.31, 1.03704e-18
0.311, 1.03917e-18
0.312, 1.0369e-18
0.313, 1.03984e-18
0.314, 1.03714e-18
0.315, 1.03716e-18
0.316, 1.0383e-18
0.317, 1.04002e-18
0.318, 1.03592e-18
0.319, 1.03827e-18
0.32, 1.03712e-18
0.321, 1.03798e-18
0.322, 1.03871e-18
0.323, 1.03558e-18
0.324, 1.04013e-18
0.325, 1.03675e-18
0.326, 1.0375e-18
0.327, 1.03954e-18
0.328, 1.03844e-18
0.329, 1.03597e-18
0.33, 1.03852e-18
0.331, 1.03828e-18
0.332, 1.03774e-18
0.333, 1.03813e-18
0.334, 1.03662e-18
0.335, 1.03818e-18
0.336, 1.03961e-18
0.337, 1.04021e-18
0.338, 1.03819e-18
0.339, 1.04013e-18
0.34, 1.0391e-18
0.341, 1.04008e-18
0.342, 1.04039e-18
0.343, 1.03827e-18
0.344, 1.04011e-18
0.345, 1.04039e-18
0.346, 1.0354e-18
0.347, 1.03846e-18
0.348, 1.03712e-18
0.349, 1.03566e-18
0.35, 1.0401e-18
0.351, 1.03572e-18
0.352, 1.03796e-18
0.353, 1.03777e-18
0.354, 1.03922e-18
0.355, 1.03788e-18
