sim_time, unit_box_Custom?world_pose/orientation/roll
0.001, 2.80768e-19
0.002, 7.46851e-19
0.003, 7.45834e-19
0.004, 7.45305e-19
0.005, 7.43488e-19
0.006, 7.44199e-19
0.007, 7.44103e-19
0.008, 7.44939e-19
0.009, 7.45819e-19
0.01, 7.43635e-19
0.011, 7.47711e-19
0.012, 7.46947e-19
0.013, 7.43929e-19
0.014, 7.43622e-19
0.015, 7.49576e-19
0.016, 7.4536e-19
0.017, 7.46961e-19
0.018, 7.42833e-19
0.019, 7.45854e-19
0.02, 7.4359e-19
0.021, 7.44923e-19
0.022, 7.44524e-19
0.023, 7.45945e-19
0.024, 7.4519e-19
0.025, 7.45367e-19
0.026, 7.44075e-19
0.027, 7.43308e-19
0.028, 7.44363e-19
0.029, 7.46349e-19
0.03, 7.45978e-19
0.031, 7.44356e-19
0.032, 7.46776e-19
0.033, 7.47019e-19
0.034, 7.45973e-19
0.035, 7.44972e-19
0.036, 7.489e-19
0.037, 7.49763e-19
0.038, 7.44009e-19
0.039, 7.45223e-19
0.04, 7.43411e-19
0.041, 7.46972e-19
0.042, 7.48356e-19
0.043, 7.46051e-19
0.044, 7.42939e-19
0.045, 7.44312e-19
0.046, 7.47061e-19
0.047, 7.44345e-19
0.048, 7.4704e-19
0.049, 7.49778e-19
0.05, 7.46343e-19
0.051, 7.46949e-19
0.052, 7.48487e-19
0.053, 7.4511e-19
0.054, 7.43108e-19
0.055, 7.46035e-19
0.056, 7.4582e-19
0.057, 7.46983e-19
0.058, 7.48191e-19
0.059, 7.45371e-19
0.06, 7.4197e-19
0.061, 7.46463e-19
0.062, 7.44819e-19
0.063, 7.44108e-19
0.064, 7.43886e-19
0.065, 7.44859e-19
0.066, 7.43619e-19
0.067, 7.42421e-19
0.068, 7.43858e-19
0.069, 7.47822e-19
0.07, 7.46982e-19
0.071, 7.46005e-19
0.072, 7.46812e-19
0.073, 7.44998e-19
0.074, 7.48038e-19
0.075, 7.44278e-19
0.076, 7.42377e-19
0.077, 7.45404e-19
0.078, 7.45811e-19
0.079, 7.44305e-19
0.08, 7.45365e-19
0.081, 7.43767e-19
0.082, 7.48429e-19
0.083, 7.4292e-19
0.084, 7.47596e-19
0.085, 7.44321e-19
0.086, 7.44199e-19
0.087, 7.43602e-19
