sim_time, unit_box_Custom?world_angular_acceleration/x
0.001, 6.13767e-12
0.002, -4.15599e-12
0.003, 2.79682e-13
0.004, -6.31144e-15
0.005, 5.28445e-16
0.006, 7.79071e-15
0.007, -6.57702e-15
0.008, 4.23805e-15
0.009, -1.42648e-15
0.01, 6.85296e-16
0.011, -4.35658e-15
0.012, 6.0144e-15
0.013, -5.2447e-15
0.014, 1.23808e-15
0.015, 6.56711e-15
0.016, -9.97285e-15
0.017, 4.08111e-15
0.018, 6.3016e-15
0.019, -5.97564e-15
0.02, 4.79078e-15
0.021, -8.0878e-15
0.022, 6.30155e-15
0.023, -2.75872e-15
0.024, -2.02423e-16
0.025, -6.46961e-16
0.026, 1.23805e-15
0.027, 1.1298e-15
0.028, -5.08789e-15
0.029, 3.90262e-15
0.03, -3.02425e-15
0.031, -3.20281e-15
0.032, 6.56712e-15
0.033, 1.57348e-15
0.034, -1.24793e-15
0.035, -2.13612e-15
0.036, -2.02894e-16
0.037, 6.12303e-15
0.038, -9.86416e-15
0.039, 4.34668e-15
0.04, 2.12626e-15
0.041, -5.24472e-15
0.042, 3.35201e-15
0.043, 1.23809e-15
0.044, 3.79606e-15
0.045, -6.57702e-15
0.046, 3.49922e-16
0.047, 3.49907e-16
0.048, 1.23809e-15
0.049, 2.12623e-15
0.05, -6.46956e-16
0.051, -1.69201e-15
0.052, 3.19298e-15
0.053, -3.31149e-15
0.054, 1.68217e-15
0.055, -1.4265e-15
0.056, 4.3467e-15
0.057, -9.08426e-15
0.058, 5.4134e-15
0.059, 4.68253e-15
0.06, -8.97599e-15
0.061, 4.23843e-15
0.062, 6.30159e-15
0.063, -1.04169e-14
0.064, 3.45854e-15
0.065, 7.9395e-16
0.066, -4.53509e-15
0.067, 1.00116e-14
0.068, -3.46838e-15
0.069, -3.91247e-15
0.07, 3.34983e-15
0.071, -4.09099e-15
0.072, -1.4265e-15
0.073, 5.23489e-15
0.074, -2.75878e-15
0.075, 1.4166e-15
0.076, 3.19294e-15
0.077, -3.20283e-15
0.078, 3.19297e-15
