sim_time, unit_box_Custom?world_angular_acceleration/y
0.001, -2.08774e-12
0.002, 8.79937e-13
0.003, -9.65637e-13
0.004, 4.60939e-15
0.005, -7.11459e-15
0.006, 7.2739e-15
0.007, -3.56185e-15
0.008, 3.7212e-15
0.009, -4.45002e-15
0.01, 3.54355e-15
0.011, -2.31841e-15
0.012, 3.46134e-16
0.013, 1.68482e-16
0.014, 5.23743e-16
0.015, 1.41195e-15
0.016, 5.23779e-16
0.017, -3.56187e-15
0.018, 1.94485e-15
0.019, 1.05664e-15
0.02, -9.14418e-18
0.021, -6.04875e-15
0.022, 4.07648e-15
0.023, 1.58959e-15
0.024, -3.73952e-15
0.025, 2.83301e-15
0.026, -3.38423e-15
0.027, 2.47776e-15
0.028, -1.60787e-15
0.029, 4.78701e-15
0.03, -6.40404e-15
0.031, 6.91863e-15
0.032, -3.56187e-15
0.033, 3.46145e-16
0.034, -7.19693e-16
0.035, -1.43023e-15
0.036, 5.67516e-15
0.037, -3.38421e-15
0.038, 7.01373e-16
0.039, -3.56183e-15
0.04, 3.72116e-15
0.041, -1.96313e-15
0.042, 8.79039e-16
0.043, 2.12246e-15
0.044, -2.67371e-15
0.045, -7.1967e-16
0.046, -2.85134e-15
0.047, 5.67521e-15
0.048, 1.7672e-15
0.049, -5.1606e-15
0.05, 3.01066e-15
0.051, -1.60787e-15
0.052, -2.14079e-15
0.053, 3.1883e-15
0.054, -7.19701e-16
0.055, -1.60786e-15
0.056, 4.787e-15
0.057, -6.2264e-15
0.058, 3.01065e-15
0.059, 7.01403e-16
0.06, -1.07495e-15
0.061, 3.46113e-16
0.062, 5.23763e-16
0.063, 3.46121e-16
0.064, 1.23428e-15
0.065, -3.91714e-15
0.066, 8.79019e-16
0.067, 1.68514e-16
0.068, 1.68487e-16
0.069, 1.05666e-15
0.07, -1.60788e-15
0.071, 5.23754e-16
0.072, -1.60787e-15
0.073, 6.03045e-15
0.074, -4.62767e-15
0.075, 1.41194e-15
0.076, -3.64425e-16
0.077, 1.05667e-15
0.078, -3.64438e-16
0.079, -4.62768e-15
0.08, 2.30013e-15
0.081, 3.7212e-15
0.082, -6.75931e-15
0.083, 7.98445e-15
0.084, -3.02896e-15
0.085, 8.79017e-16
0.086, -1.60786e-15
0.087, 7.01392e-16
0.088, -7.19694e-16
0.089, -2.67372e-15
0.09, 4.07647e-15
0.091, -2.14077e-15
0.092, -1.96314e-15
0.093, 4.25411e-15
0.094, -1.86789e-16
0.095, -3.38421e-15
0.096, 2.83301e-15
0.097, -2.8513e-15
0.098, 3.36593e-15
0.099, -1.78551e-15
0.1, -7.19683e-16
0.101, 2.83302e-15
0.102, -1.96314e-15
0.103, -3.20661e-15
0.104, 4.2541e-15
0.105, 5.23762e-16
0.106, -9.15666e-18
0.107, -3.2066e-15
0.108, 3.72121e-15
0.109, -2.85134e-15
0.11, -2.67368e-15
0.111, 7.27394e-15
0.112, -5.1606e-15
0.113, 4.2541e-15
0.114, -6.04877e-15
0.115, 5.49755e-15
0.116, 3.46139e-16
0.117, -9.16743e-18
0.118, -3.56184e-15
0.119, 2.83302e-15
0.12, 5.23736e-16
0.121, -2.85132e-15
0.122, -9.16388e-18
0.123, 1.76721e-15
0.124, 7.0139e-16
0.125, -1.86774e-16
0.126, -2.67368e-15
0.127, -5.42056e-16
0.128, 5.85282e-15
0.129, -6.22641e-15
0.13, 4.43177e-15
0.131, -7.11459e-15
0.132, 7.98446e-15
0.133, 1.68478e-16
0.134, -3.56189e-15
0.135, -1.60787e-15
0.136, 5.31993e-15
0.137, -6.58167e-15
0.138, 1.05665e-15
0.139, 1.94486e-15
0.14, 1.6849e-16
0.141, -1.96313e-15
0.142, 5.1423e-15
0.143, -7.29223e-15
0.144, 4.07649e-15
0.145, -3.64421e-16
0.146, 1.2343e-15
0.147, -9.18912e-18
0.148, 5.23772e-16
0.149, -9.15666e-18
0.15, -1.60788e-15
0.151, -5.16058e-15
0.152, 1.04713e-14
0.153, -4.62767e-15
0.154, 1.23429e-15
0.155, -1.60786e-15
0.156, -2.6737e-15
0.157, 3.7212e-15
0.158, -1.96313e-15
0.159, 3.46104e-16
0.16, -1.96312e-15
0.161, 5.14229e-15
0.162, -5.87111e-15
0.163, 6.91865e-15
0.164, -4.80531e-15
0.165, -7.19696e-16
0.166, 4.43173e-15
0.167, -4.80532e-15
0.168, 3.36594e-15
0.169, -1.96315e-15
0.17, -1.25261e-15
0.171, 4.43176e-15
0.172, -4.09477e-15
0.173, 3.36594e-15
0.174, -1.96313e-15
0.175, 5.23758e-16
0.176, -7.19686e-16
0.177, 2.47775e-15
0.178, -2.1408e-15
0.179, -2.85132e-15
0.18, 5.67521e-15
0.181, -4.62767e-15
0.182, 4.07646e-15
0.183, -7.19684e-16
0.184, -3.2066e-15
0.185, 1.7672e-15
0.186, -4.09477e-15
0.187, 5.49757e-15
0.188, 5.23751e-16
0.189, -2.49605e-15
0.19, -9.13284e-18
