sim_time, unit_box_Custom?world_angular_acceleration/z
0.001, 1.04371e-15
0.002, -6.22859e-16
0.003, -4.98115e-19
0.004, 3.69446e-19
0.005, -1.90469e-19
0.006, 8.82735e-20
0.007, 7.69503e-20
0.008, 7.67834e-21
0.009, 1.97641e-19
0.01, -4.06431e-19
0.011, 1.50628e-19
0.012, 3.80313e-19
0.013, -1.81704e-19
0.014, -2.54568e-19
0.015, -5.65809e-20
0.016, 2.62346e-19
0.017, -2.13212e-19
0.018, 7.92947e-20
0.019, -1.51789e-19
0.02, 2.39264e-19
0.021, -4.11759e-20
0.022, 1.53373e-19
0.023, 1.98977e-19
0.024, -5.95005e-19
0.025, -6.18958e-20
0.026, -7.94257e-20
0.027, 2.68574e-19
0.028, -4.04634e-20
0.029, 3.55875e-20
0.03, 3.3762e-19
0.031, -1.58047e-19
0.032, -6.61946e-20
0.033, -8.39808e-21
0.034, -2.7243e-19
0.035, 2.52533e-19
0.036, -2.89464e-19
0.037, 4.89909e-19
0.038, -3.21832e-19
0.039, 1.79854e-19
0.04, -3.58789e-19
0.041, 4.08013e-20
0.042, 2.71833e-19
0.043, -1.44798e-19
0.044, -8.02213e-20
0.045, 3.23823e-19
0.046, -5.2318e-19
0.047, 4.414e-19
0.048, 3.29253e-20
0.049, -4.10632e-19
0.05, 4.84622e-19
0.051, 1.03958e-19
0.052, -2.54402e-19
0.053, 3.50367e-19
0.054, -4.46399e-19
0.055, -7.63495e-21
0.056, 8.36048e-21
0.057, 1.03517e-20
0.058, -8.16368e-20
0.059, 4.69954e-20
0.06, 1.93367e-19
0.061, -1.87102e-19
0.062, 2.66254e-19
0.063, 8.2311e-20
0.064, -1.75829e-19
0.065, -3.06466e-19
0.066, 1.17319e-19
0.067, 4.10612e-19
0.068, -8.12095e-20
0.069, -1.84038e-19
0.07, 6.27605e-20
0.071, -2.31634e-20
0.072, -1.58888e-19
0.073, 2.32747e-20
0.074, -1.02101e-19
0.075, 2.53742e-19
0.076, -1.31646e-19
0.077, 1.70165e-19
0.078, -5.61983e-19
0.079, -7.98736e-20
0.08, 3.50404e-19
0.081, 6.98896e-20
0.082, 1.47245e-19
0.083, 1.48959e-19
0.084, -1.62301e-19
0.085, -1.51549e-19
0.086, 1.79032e-19
0.087, 4.25513e-20
0.088, 1.90788e-20
0.089, -5.88763e-19
0.09, 3.13458e-19
0.091, -8.68048e-20
0.092, -9.323e-21
0.093, 1.62497e-19
0.094, -2.45079e-20
0.095, 1.95174e-19
0.096, -4.21201e-19
0.097, 3.1202e-19
0.098, 7.83749e-21
0.099, -5.21923e-20
0.1, 1.70359e-19
0.101, -1.11026e-19
0.102, 1.34726e-19
0.103, -2.27303e-19
0.104, 1.15527e-19
0.105, 2.47077e-20
0.106, 6.41627e-20
0.107, -2.06482e-19
0.108, 2.10858e-19
0.109, -1.2413e-19
0.11, -1.85796e-19
0.111, 3.06246e-19
0.112, -1.14261e-19
0.113, -6.30049e-20
0.114, 8.14647e-20
0.115, 1.04744e-19
0.116, 2.34278e-19
0.117, -2.43916e-19
0.118, 1.76688e-19
0.119, -2.25681e-19
0.12, 1.40161e-19
0.121, 1.00399e-20
0.122, -2.16311e-19
0.123, 9.39076e-20
0.124, 2.01911e-20
0.125, 1.09339e-19
0.126, 1.59341e-20
0.127, -1.18879e-19
0.128, 6.97031e-21
0.129, -2.35797e-19
0.13, 3.99754e-19
0.131, -3.94421e-19
0.132, 3.11947e-19
0.133, 4.19681e-20
0.134, -2.42638e-19
0.135, 4.997e-20
0.136, 6.22387e-20
