sim_time, unit_box_Custom?world_angular_velocity/x
0.001, 3.89035e-15
0.002, -2.65639e-16
0.003, 1.40429e-17
0.004, 7.73147e-18
0.005, 8.25992e-18
0.006, 1.60506e-17
0.007, 9.47361e-18
0.008, 1.37117e-17
0.009, 1.22852e-17
0.01, 1.29705e-17
0.011, 8.61391e-18
0.012, 1.46283e-17
0.013, 9.38361e-18
0.014, 1.06217e-17
0.015, 1.71888e-17
0.016, 7.21596e-18
0.017, 1.12971e-17
0.018, 1.75987e-17
0.019, 1.1623e-17
0.02, 1.64138e-17
0.021, 8.32601e-18
0.022, 1.46276e-17
0.023, 1.18688e-17
0.024, 1.16664e-17
0.025, 1.10195e-17
0.026, 1.22575e-17
0.027, 1.33873e-17
0.028, 8.29943e-18
0.029, 1.2202e-17
0.03, 9.1778e-18
0.031, 5.97499e-18
0.032, 1.25421e-17
0.033, 1.41156e-17
0.034, 1.28677e-17
0.035, 1.07315e-17
0.036, 1.05286e-17
0.037, 1.66517e-17
0.038, 6.78751e-18
0.039, 1.11342e-17
0.04, 1.32605e-17
0.041, 8.01573e-18
0.042, 1.13677e-17
0.043, 1.26058e-17
0.044, 1.64019e-17
0.045, 9.82487e-18
0.046, 1.01748e-17
0.047, 1.05247e-17
0.048, 1.17628e-17
0.049, 1.3889e-17
0.05, 1.32421e-17
0.051, 1.15501e-17
0.052, 1.4743e-17
0.053, 1.14315e-17
0.054, 1.31137e-17
0.055, 1.16872e-17
0.056, 1.60339e-17
0.057, 6.94965e-18
0.058, 1.23631e-17
0.059, 1.70456e-17
0.06, 8.06959e-18
0.061, 1.2308e-17
0.062, 1.86096e-17
0.063, 8.19271e-18
0.064, 1.16512e-17
0.065, 1.24452e-17
0.066, 7.9101e-18
0.067, 1.79217e-17
0.068, 1.44533e-17
0.069, 1.05409e-17
0.07, 1.38907e-17
0.071, 9.79969e-18
0.072, 8.37319e-18
0.073, 1.36081e-17
0.074, 1.08493e-17
0.075, 1.22659e-17
0.076, 1.54588e-17
0.077, 1.2256e-17
0.078, 1.5449e-17
0.079, 1.33129e-17
0.08, 5.56049e-18
0.081, 1.70126e-17
0.082, 1.46979e-17
0.083, 1.41597e-17
0.084, 7.29551e-18
0.085, 1.11981e-17
0.086, 1.46567e-17
0.087, 1.25206e-17
0.088, 9.31778e-18
0.089, 1.36645e-17
0.09, 1.44585e-17
0.091, 1.24792e-17
0.092, 1.07872e-17
0.093, 1.22038e-17
0.094, 1.61064e-17
0.095, 8.19708e-18
0.096, 1.3876e-17
0.097, 1.08518e-17
0.098, 1.20898e-17
0.099, 1.33279e-17
0.1, 8.3487e-18
0.101, 9.7653e-18
0.102, 1.18915e-17
0.103, 1.35737e-17
0.104, 1.3214e-17
0.105, 1.13434e-17
0.106, 1.61342e-17
0.107, 1.1155e-17
0.108, 1.18403e-17
0.109, 1.79634e-17
0.11, 1.12079e-17
0.111, 1.1005e-17
0.112, 1.1799e-17
0.113, 1.08166e-17
0.114, 1.22333e-17
0.115, 9.91862e-18
0.116, 1.11567e-17
0.117, 1.59475e-17
0.118, 1.31887e-17
0.119, 9.54181e-18
0.12, 1.16681e-17
0.121, 1.46825e-17
0.122, 1.54765e-17
0.123, 9.60914e-18
0.124, 1.21795e-17
0.125, 1.84811e-17
0.126, 1.21696e-17
0.127, 1.51841e-17
0.128, 1.08275e-17
0.129, 1.16215e-17
0.13, 1.24155e-17
0.131, 1.29439e-17
0.132, 1.24057e-17
0.133, 1.09793e-17
0.134, 7.77645e-18
0.135, 1.1679e-17
0.136, 9.80847e-18
0.137, 1.01584e-17
0.138, 8.73195e-18
0.139, 1.30786e-17
0.14, 9.32302e-18
0.141, 1.14493e-17
0.142, 1.0911e-17
0.143, 1.52577e-17
0.144, 1.60516e-17
0.145, 7.51976e-18
0.146, 1.54191e-17
0.147, 1.26605e-17
0.148, 1.07899e-17
0.149, 1.55807e-17
0.15, 1.6266e-17
0.151, 6.58033e-18
0.152, 1.53679e-17
0.153, 8.61238e-18
0.154, 1.20709e-17
0.155, 9.31218e-18
0.156, 8.66518e-18
0.157, 1.8341e-17
0.158, 1.30962e-17
0.159, 1.47783e-17
0.16, 1.69046e-17
0.161, 1.0149e-17
0.162, 1.36075e-17
0.163, 1.04047e-17
0.164, 1.2975e-17
0.165, 9.77224e-18
0.166, 1.42975e-17
0.167, 1.59796e-17
0.168, 8.78001e-18
0.169, 1.62353e-17
0.17, 8.0406e-18
0.171, 1.3454e-17
0.172, 9.80705e-18
0.173, 1.10451e-17
0.174, 1.31713e-17
0.175, 1.17448e-17
0.176, 1.3427e-17
0.177, 1.45568e-17
0.178, 1.03572e-17
0.179, 1.07071e-17
0.18, 1.09483e-17
0.181, 1.60749e-17
0.182, 8.87526e-18
0.183, 1.8551e-17
0.184, 1.35719e-17
0.185, 8.59267e-18
0.186, 1.57824e-17
0.187, 1.16914e-17
0.188, 1.29295e-17
0.189, 1.18384e-17
0.19, 1.84056e-17
0.191, 8.98551e-18
0.192, 1.11118e-17
0.193, 1.1353e-17
0.194, 1.48115e-17
0.195, 1.07205e-17
0.196, 9.6299e-18
0.197, 8.2034e-18
0.198, 1.56587e-17
0.199, 1.6344e-17
0.2, 7.36809e-18
0.201, 1.12707e-17
0.202, 1.33969e-17
0.203, 9.30593e-18
0.204, 1.18763e-17
0.205, 1.31143e-17
0.206, 4.58243e-18
0.207, 1.42582e-17
0.208, 1.07899e-17
0.209, 1.02516e-17
0.21, 9.26923e-18
0.211, 1.18396e-17
0.212, 1.26336e-17
0.213, 8.54258e-18
0.214, 1.59979e-17
0.215, 8.35418e-18
0.216, 1.66977e-17
0.217, 1.08303e-17
0.218, 1.53555e-17
0.219, 1.29326e-17
0.22, 7.95344e-18
0.221, 1.27442e-17
0.222, 9.54139e-18
0.223, 1.43322e-17
0.224, 1.48606e-17
0.225, 1.21019e-17
