sim_time, unit_box_Custom?world_angular_velocity/y
0.001, 9.38133e-17
0.002, 9.7375e-16
0.003, 8.11332e-18
0.004, 1.27227e-17
0.005, 5.60812e-18
0.006, 1.2882e-17
0.007, 9.32017e-18
0.008, 1.30414e-17
0.009, 8.59135e-18
0.01, 1.21349e-17
0.011, 9.8165e-18
0.012, 1.01626e-17
0.013, 1.03311e-17
0.014, 1.08549e-17
0.015, 1.22668e-17
0.016, 1.27906e-17
0.017, 9.22871e-18
0.018, 1.11736e-17
0.019, 1.22302e-17
0.02, 1.22211e-17
0.021, 6.1723e-18
0.022, 1.02488e-17
0.023, 1.18384e-17
0.024, 8.09884e-18
0.025, 1.09318e-17
0.026, 7.54762e-18
0.027, 1.00254e-17
0.028, 8.41751e-18
0.029, 1.32045e-17
0.03, 6.80048e-18
0.031, 1.37191e-17
0.032, 1.01572e-17
0.033, 1.05034e-17
0.034, 9.78369e-18
0.035, 8.35346e-18
0.036, 1.40286e-17
0.037, 1.06444e-17
0.038, 1.13458e-17
0.039, 7.78396e-18
0.04, 1.15051e-17
0.041, 9.54198e-18
0.042, 1.0421e-17
0.043, 1.25435e-17
0.044, 9.86977e-18
0.045, 9.1501e-18
0.046, 6.29876e-18
0.047, 1.1974e-17
0.048, 1.37412e-17
0.049, 8.58058e-18
0.05, 1.15912e-17
0.051, 9.98337e-18
0.052, 7.84257e-18
0.053, 1.10309e-17
0.054, 1.03112e-17
0.055, 8.70331e-18
0.056, 1.34903e-17
0.057, 7.26392e-18
0.058, 1.02746e-17
0.059, 1.0976e-17
0.06, 9.90102e-18
0.061, 1.02471e-17
0.062, 1.07709e-17
0.063, 1.1117e-17
0.064, 1.23513e-17
0.065, 8.43416e-18
0.066, 9.31318e-18
0.067, 9.4817e-18
0.068, 9.65018e-18
0.069, 1.07068e-17
0.07, 9.09896e-18
0.071, 9.62272e-18
0.072, 8.01485e-18
0.073, 1.40453e-17
0.074, 9.41763e-18
0.075, 1.08296e-17
0.076, 1.04652e-17
0.077, 1.15218e-17
0.078, 1.11574e-17
0.079, 6.52971e-18
0.08, 8.82984e-18
0.081, 1.2551e-17
0.082, 5.79173e-18
0.083, 1.37762e-17
0.084, 1.07472e-17
0.085, 1.16262e-17
0.086, 1.00184e-17
0.087, 1.07198e-17
0.088, 1.00001e-17
0.089, 7.32636e-18
0.09, 1.14028e-17
0.091, 9.26207e-18
0.092, 7.29893e-18
0.093, 1.1553e-17
0.094, 1.13663e-17
0.095, 7.98204e-18
0.096, 1.08151e-17
0.097, 7.96375e-18
0.098, 1.13297e-17
0.099, 9.54418e-18
0.1, 8.82449e-18
0.101, 1.16575e-17
0.102, 9.69437e-18
0.103, 6.48777e-18
0.104, 1.07419e-17
0.105, 1.12656e-17
0.106, 1.12565e-17
0.107, 8.04988e-18
0.108, 1.17711e-17
0.109, 8.91974e-18
0.11, 6.24606e-18
0.111, 1.352e-17
0.112, 8.3594e-18
0.113, 1.26135e-17
0.114, 6.56474e-18
0.115, 1.20623e-17
0.116, 1.24084e-17
0.117, 1.23993e-17
0.118, 8.83742e-18
0.119, 1.16704e-17
0.12, 1.21942e-17
0.121, 9.34286e-18
0.122, 9.33369e-18
0.123, 1.11009e-17
0.124, 1.18023e-17
0.125, 1.16155e-17
0.126, 8.94184e-18
0.127, 8.39979e-18
0.128, 1.42526e-17
