sim_time, unit_box_Custom?world_angular_velocity/z
0.001, 1.0525e-18
0.002, 4.29642e-19
0.003, 4.29144e-19
0.004, 4.29513e-19
0.005, 4.29323e-19
0.006, 4.29411e-19
0.007, 4.29488e-19
0.008, 4.29495e-19
0.009, 4.29693e-19
0.01, 4.29287e-19
0.011, 4.29437e-19
0.012, 4.29818e-19
0.013, 4.29636e-19
0.014, 4.29381e-19
0.015, 4.29325e-19
0.016, 4.29587e-19
0.017, 4.29374e-19
0.018, 4.29453e-19
0.019, 4.29301e-19
0.02, 4.29541e-19
0.021, 4.29499e-19
0.022, 4.29653e-19
0.023, 4.29852e-19
0.024, 4.29257e-19
0.025, 4.29195e-19
0.026, 4.29115e-19
0.027, 4.29384e-19
0.028, 4.29344e-19
0.029, 4.29379e-19
0.03, 4.29717e-19
0.031, 4.29559e-19
0.032, 4.29493e-19
0.033, 4.29484e-19
0.034, 4.29212e-19
0.035, 4.29464e-19
0.036, 4.29175e-19
0.037, 4.29665e-19
0.038, 4.29343e-19
0.039, 4.29523e-19
0.04, 4.29164e-19
0.041, 4.29205e-19
0.042, 4.29477e-19
0.043, 4.29332e-19
0.044, 4.29252e-19
0.045, 4.29575e-19
0.046, 4.29052e-19
0.047, 4.29494e-19
0.048, 4.29526e-19
0.049, 4.29116e-19
0.05, 4.296e-19
0.051, 4.29704e-19
0.052, 4.2945e-19
0.053, 4.298e-19
0.054, 4.29354e-19
0.055, 4.29346e-19
0.056, 4.29355e-19
0.057, 4.29365e-19
0.058, 4.29283e-19
0.059, 4.2933e-19
0.06, 4.29524e-19
0.061, 4.29337e-19
0.062, 4.29603e-19
0.063, 4.29685e-19
0.064, 4.29509e-19
0.065, 4.29203e-19
0.066, 4.2932e-19
0.067, 4.29731e-19
0.068, 4.2965e-19
0.069, 4.29466e-19
0.07, 4.29528e-19
0.071, 4.29505e-19
0.072, 4.29346e-19
0.073, 4.2937e-19
0.074, 4.29268e-19
0.075, 4.29521e-19
0.076, 4.2939e-19
0.077, 4.2956e-19
0.078, 4.28998e-19
0.079, 4.28918e-19
0.08, 4.29268e-19
0.081, 4.29338e-19
0.082, 4.29485e-19
0.083, 4.29634e-19
0.084, 4.29472e-19
0.085, 4.29321e-19
0.086, 4.295e-19
0.087, 4.29542e-19
0.088, 4.29561e-19
0.089, 4.28972e-19
0.09, 4.29286e-19
0.091, 4.29199e-19
0.092, 4.2919e-19
0.093, 4.29352e-19
0.094, 4.29328e-19
0.095, 4.29523e-19
0.096, 4.29102e-19
0.097, 4.29414e-19
0.098, 4.29422e-19
0.099, 4.29369e-19
0.1, 4.2954e-19
0.101, 4.29429e-19
0.102, 4.29564e-19
0.103, 4.29336e-19
0.104, 4.29452e-19
0.105, 4.29476e-19
0.106, 4.29541e-19
0.107, 4.29334e-19
0.108, 4.29545e-19
0.109, 4.29421e-19
0.11, 4.29235e-19
0.111, 4.29541e-19
0.112, 4.29427e-19
0.113, 4.29364e-19
0.114, 4.29446e-19
0.115, 4.2955e-19
0.116, 4.29785e-19
0.117, 4.29541e-19
0.118, 4.29717e-19
0.119, 4.29492e-19
0.12, 4.29632e-19
0.121, 4.29642e-19
0.122, 4.29426e-19
0.123, 4.29519e-19
0.124, 4.2954e-19
0.125, 4.29649e-19
0.126, 4.29665e-19
0.127, 4.29546e-19
0.128, 4.29553e-19
0.129, 4.29317e-19
0.13, 4.29717e-19
0.131, 4.29323e-19
0.132, 4.29634e-19
0.133, 4.29676e-19
0.134, 4.29434e-19
0.135, 4.29484e-19
0.136, 4.29546e-19
0.137, 4.29141e-19
0.138, 4.29223e-19
0.139, 4.29292e-19
0.14, 4.29392e-19
0.141, 4.2932e-19
0.142, 4.2972e-19
0.143, 4.29229e-19
0.144, 4.29659e-19
0.145, 4.29768e-19
0.146, 4.29765e-19
0.147, 4.29222e-19
0.148, 4.29476e-19
0.149, 4.29541e-19
0.15, 4.29485e-19
0.151, 4.29392e-19
0.152, 4.29548e-19
0.153, 4.29656e-19
0.154, 4.29509e-19
0.155, 4.29512e-19
0.156, 4.29435e-19
0.157, 4.29421e-19
0.158, 4.2961e-19
0.159, 4.29208e-19
0.16, 4.2932e-19
0.161, 4.2925e-19
0.162, 4.29349e-19
0.163, 4.29559e-19
0.164, 4.29504e-19
0.165, 4.29561e-19
0.166, 4.29519e-19
0.167, 4.29595e-19
0.168, 4.29478e-19
0.169, 4.29418e-19
0.17, 4.2944e-19
0.171, 4.29564e-19
0.172, 4.29297e-19
0.173, 4.29538e-19
0.174, 4.2932e-19
0.175, 4.29518e-19
0.176, 4.29354e-19
0.177, 4.29384e-19
0.178, 4.29041e-19
0.179, 4.29052e-19
0.18, 4.29535e-19
0.181, 4.29551e-19
0.182, 4.29263e-19
0.183, 4.295e-19
0.184, 4.29334e-19
0.185, 4.29186e-19
0.186, 4.2921e-19
0.187, 4.2948e-19
0.188, 4.29381e-19
0.189, 4.29373e-19
0.19, 4.29587e-19
0.191, 4.29459e-19
0.192, 4.29555e-19
0.193, 4.2957e-19
0.194, 4.29509e-19
0.195, 4.295e-19
0.196, 4.29437e-19
0.197, 4.2927e-19
0.198, 4.29191e-19
0.199, 4.29485e-19
0.2, 4.29317e-19
0.201, 4.29379e-19
0.202, 4.29334e-19
0.203, 4.29573e-19
0.204, 4.29504e-19
0.205, 4.29422e-19
0.206, 4.2973e-19
0.207, 4.29286e-19
0.208, 4.29217e-19
0.209, 4.29427e-19
0.21, 4.29503e-19
0.211, 4.29529e-19
0.212, 4.29717e-19
0.213, 4.2924e-19
0.214, 4.29453e-19
0.215, 4.29167e-19
0.216, 4.29582e-19
0.217, 4.29155e-19
0.218, 4.2968e-19
0.219, 4.29546e-19
0.22, 4.29301e-19
0.221, 4.29311e-19
0.222, 4.29592e-19
