sim_time, unit_box_Custom?world_linear_acceleration/x
0.001, -1.04373e-12
0.002, 4.39871e-13
0.003, -4.82818e-13
0.004, 2.30468e-15
0.005, -3.55728e-15
0.006, 3.63695e-15
0.007, -1.78093e-15
0.008, 1.8606e-15
0.009, -2.22502e-15
0.01, 1.77179e-15
0.011, -1.15921e-15
0.012, 1.73059e-16
0.013, 8.42416e-17
0.014, 2.61879e-16
0.015, 7.0598e-16
0.016, 2.61878e-16
0.017, -1.78093e-15
0.018, 9.72412e-16
0.019, 5.28335e-16
0.02, -4.57903e-18
0.021, -3.02438e-15
0.022, 2.03824e-15
0.023, 7.9478e-16
0.024, -1.86974e-15
0.025, 1.41651e-15
0.026, -1.69211e-15
0.027, 1.23887e-15
0.028, -8.0394e-16
0.029, 2.39351e-15
0.03, -3.20203e-15
0.031, 3.45932e-15
0.032, -1.78092e-15
0.033, 1.73063e-16
0.034, -3.59839e-16
0.035, -7.15118e-16
0.036, 2.8376e-15
0.037, -1.69212e-15
0.038, 3.50696e-16
0.039, -1.78093e-15
0.04, 1.8606e-15
0.041, -9.81578e-16
0.042, 4.39511e-16
0.043, 1.06124e-15
0.044, -1.33685e-15
0.045, -3.59848e-16
0.046, -1.42566e-15
0.047, 2.83759e-15
0.048, 8.83605e-16
0.049, -2.58029e-15
0.05, 1.50532e-15
0.051, -8.03942e-16
0.052, -1.07039e-15
0.053, 1.59414e-15
0.054, -3.59837e-16
0.055, -8.03929e-16
0.056, 2.3935e-15
0.057, -3.1132e-15
0.058, 1.50533e-15
0.059, 3.50698e-16
0.06, -5.3749e-16
0.061, 1.73069e-16
0.062, 2.61872e-16
0.063, 1.73058e-16
0.064, 6.1715e-16
0.065, -1.95856e-15
0.066, 4.39515e-16
0.067, 8.42388e-17
0.068, 8.42394e-17
0.069, 5.2834e-16
0.07, -8.03946e-16
0.071, 2.61882e-16
0.072, -8.03927e-16
0.073, 3.01523e-15
0.074, -2.31383e-15
0.075, 7.05965e-16
0.076, -1.82207e-16
0.077, 5.28333e-16
0.078, -1.82206e-16
0.079, -2.31384e-15
0.08, 1.15005e-15
0.081, 1.8606e-15
0.082, -3.37965e-15
0.083, 3.99222e-15
0.084, -1.51448e-15
0.085, 4.39519e-16
0.086, -8.03946e-16
0.087, 3.50696e-16
0.088, -3.59847e-16
0.089, -1.33684e-15
0.09, 2.03823e-15
0.091, -1.07039e-15
0.092, -9.81567e-16
0.093, 2.12705e-15
0.094, -9.33934e-17
0.095, -1.69211e-15
0.096, 1.41652e-15
0.097, -1.42566e-15
0.098, 1.68297e-15
0.099, -8.9275e-16
0.1, -3.59849e-16
0.101, 1.41651e-15
0.102, -9.81577e-16
0.103, -1.60329e-15
0.104, 2.12705e-15
0.105, 2.61878e-16
0.106, -4.575e-18
0.107, -1.6033e-15
0.108, 1.8606e-15
0.109, -1.42566e-15
0.11, -1.33684e-15
0.111, 3.63696e-15
0.112, -2.5803e-15
0.113, 2.12705e-15
0.114, -3.02438e-15
0.115, 2.74877e-15
0.116, 1.73057e-16
0.117, -4.57174e-18
0.118, -1.78094e-15
0.119, 1.41652e-15
0.12, 2.61868e-16
0.121, -1.42566e-15
0.122, -4.57285e-18
0.123, 8.83602e-16
0.124, 3.50691e-16
0.125, -9.33912e-17
0.126, -1.33684e-15
0.127, -2.71024e-16
0.128, 2.92641e-15
0.129, -3.1132e-15
0.13, 2.21587e-15
0.131, -3.55728e-15
0.132, 3.99222e-15
0.133, 8.42332e-17
0.134, -1.78093e-15
0.135, -8.03938e-16
0.136, 2.65996e-15
0.137, -3.29083e-15
0.138, 5.28325e-16
0.139, 9.72429e-16
0.14, 8.42456e-17
0.141, -9.81566e-16
0.142, 2.57114e-15
0.143, -3.6461e-15
0.144, 2.03823e-15
0.145, -1.8221e-16
0.146, 6.17155e-16
0.147, -4.57757e-18
0.148, 2.61874e-16
0.149, -4.575e-18
0.15, -8.03943e-16
0.151, -2.58029e-15
0.152, 5.23567e-15
0.153, -2.31384e-15
0.154, 6.1715e-16
0.155, -8.03935e-16
0.156, -1.33684e-15
0.157, 1.8606e-15
0.158, -9.81569e-16
0.159, 1.73066e-16
0.16, -9.8157e-16
0.161, 2.57115e-15
0.162, -2.93556e-15
0.163, 3.45931e-15
0.164, -2.40266e-15
0.165, -3.59847e-16
0.166, 2.21587e-15
0.167, -2.40265e-15
0.168, 1.68297e-15
0.169, -9.81577e-16
0.17, -6.26297e-16
0.171, 2.21587e-15
0.172, -2.04738e-15
0.173, 1.68297e-15
0.174, -9.81567e-16
0.175, 2.61879e-16
0.176, -3.59842e-16
0.177, 1.23888e-15
0.178, -1.07039e-15
0.179, -1.42567e-15
0.18, 2.83759e-15
0.181, -2.31384e-15
0.182, 2.03824e-15
0.183, -3.59851e-16
0.184, -1.6033e-15
0.185, 8.83602e-16
0.186, -2.04738e-15
0.187, 2.74878e-15
0.188, 2.61877e-16
0.189, -1.24802e-15
0.19, -4.57289e-18
0.191, -9.33897e-17
0.192, 6.17146e-16
0.193, 3.50702e-16
0.194, 6.17147e-16
0.195, -3.82375e-15
0.196, 5.05804e-15
0.197, -3.11319e-15
0.198, 8.83601e-16
0.199, -8.03945e-16
0.2, -2.71035e-16
0.201, 2.39351e-15
0.202, -4.35665e-15
0.203, 4.08104e-15
0.204, -2.40266e-15
0.205, 1.68297e-15
0.206, 8.83602e-16
0.207, -3.02438e-15
0.208, 1.15005e-15
0.209, -4.48665e-16
0.21, 2.48232e-15
0.211, -2.31384e-15
0.212, 2.21587e-15
0.213, -2.84673e-15
0.214, 1.41651e-15
0.215, -6.26299e-16
0.216, 4.39508e-16
0.217, 8.42518e-17
0.218, -9.81582e-16
0.219, 2.39351e-15
0.22, -2.58029e-15
0.221, 2.30469e-15
0.222, -7.15121e-16
0.223, -4.5731e-18
0.224, -1.78093e-15
0.225, 2.12705e-15
0.226, -1.07039e-15
0.227, 2.61884e-16
0.228, 2.61877e-16
0.229, -9.81566e-16
0.23, 1.77179e-15
0.231, -9.33892e-17
0.232, -4.48663e-16
0.233, -3.59846e-16
0.234, -1.78093e-15
0.235, 2.03824e-15
0.236, 5.2834e-16
0.237, -4.58209e-18
0.238, -1.15921e-15
0.239, 2.61869e-16
0.24, 1.73067e-16
0.241, -7.15117e-16
0.242, 8.83608e-16
0.243, 8.83605e-16
0.244, -1.07038e-15
0.245, 5.28332e-16
0.246, -5.37481e-16
0.247, 4.39512e-16
0.248, -8.03932e-16
0.249, 2.61868e-16
0.25, 1.73066e-16
0.251, -1.33684e-15
0.252, 2.8376e-15
0.253, -2.49148e-15
0.254, 2.74878e-15
0.255, -2.40266e-15
0.256, -7.1512e-16
0.257, 3.8146e-15
0.258, -2.84676e-15
0.259, -1.1592e-15
0.26, 2.21587e-15
0.261, -4.57873e-18
0.262, -2.13621e-15
0.263, 1.15006e-15
0.264, -5.37474e-16
0.265, 3.3705e-15
0.266, -3.82373e-15
0.267, 1.68297e-15
0.268, -8.03939e-16
0.269, 2.61881e-16
0.27, 6.17146e-16
0.271, 2.61875e-16
0.272, 2.61871e-16
0.273, -8.92749e-16
0.274, -2.71029e-16
0.275, -8.92748e-16
0.276, 2.57113e-15
0.277, -3.73492e-15
0.278, 2.65996e-15
0.279, -6.26302e-16
0.28, 4.39516e-16
0.281, 3.50689e-16
0.282, -1.24803e-15
0.283, 2.61879e-16
0.284, 2.61879e-16
0.285, 1.06124e-15
0.286, -4.57091e-18
0.287, -8.0395e-16
0.288, -3.59847e-16
0.289, -9.81565e-16
0.29, 2.92642e-15
0.291, -2.93557e-15
0.292, 1.3277e-15
0.293, 4.39509e-16
0.294, -1.24802e-15
0.295, -8.03937e-16
0.296, 3.54815e-15
0.297, -1.95857e-15
0.298, 4.39521e-16
0.299, -5.37484e-16
0.3, -1.33685e-15
0.301, 2.21587e-15
0.302, -1.86975e-15
0.303, 8.83609e-16
0.304, -1.69211e-15
0.305, 2.74877e-15
0.306, -3.59842e-16
0.307, -1.42566e-15
0.308, 1.86059e-15
0.309, -9.81563e-16
0.31, -3.59851e-16
0.311, 2.6187e-16
0.312, -2.71024e-16
0.313, -9.33964e-17
0.314, -4.48662e-16
0.315, 2.48232e-15
0.316, -2.31384e-15
0.317, 1.59414e-15
0.318, -4.48661e-16
0.319, -5.3749e-16
0.32, -8.03931e-16
0.321, 3.19286e-15
0.322, -3.11319e-15
0.323, 1.23888e-15
0.324, 8.42439e-17
0.325, -9.81566e-16
0.326, -2.71036e-16
0.327, 6.17149e-16
0.328, -3.59838e-16
0.329, 2.61875e-16
0.33, 7.94779e-16
0.331, -1.78092e-15
0.332, 2.3935e-15
0.333, -2.93557e-15
0.334, 2.21587e-15
0.335, -2.7103e-16
0.336, -9.81565e-16
0.337, 1.77178e-15
0.338, -1.42566e-15
0.339, -1.69211e-15
0.34, 1.68296e-15
0.341, 8.83602e-16
0.342, 4.39517e-16
0.343, 7.05963e-16
0.344, -3.46847e-15
0.345, 1.68296e-15
0.346, -2.71026e-16
0.347, 8.83599e-16
0.348, 2.61879e-16
0.349, -7.15117e-16
0.35, -3.59841e-16
0.351, 7.05964e-16
0.352, -5.3749e-16
0.353, -4.48658e-16
0.354, 1.32769e-15
0.355, -9.33835e-17
0.356, -8.92751e-16
0.357, -9.81569e-16
0.358, 2.30469e-15
0.359, 2.61855e-16
0.36, -2.75792e-15
0.361, 2.57114e-15
0.362, -1.33684e-15
0.363, 2.61877e-16
0.364, -4.48662e-16
0.365, 8.42448e-17
0.366, -9.33958e-17
0.367, 1.23887e-15
0.368, 4.39513e-16
0.369, -3.55729e-15
0.37, 3.81458e-15
0.371, -1.86974e-15
0.372, -7.15118e-16
0.373, 2.03823e-15
0.374, -7.15117e-16
0.375, -1.15922e-15
0.376, 2.57113e-15
0.377, -2.75793e-15
0.378, 2.21587e-15
0.379, -2.5803e-15
0.38, 1.59415e-15
0.381, -1.82218e-16
0.382, -9.81564e-16
0.383, 1.8606e-15
0.384, -1.86974e-15
0.385, 1.50532e-15
0.386, -9.81561e-16
0.387, -2.71025e-16
0.388, 1.94942e-15
0.389, -3.20202e-15
0.39, 3.37049e-15
0.391, -8.03933e-16
0.392, 8.42416e-17
0.393, -1.60329e-15
0.394, 1.68295e-15
0.395, -7.15108e-16
0.396, 2.61873e-16
0.397, -6.263e-16
0.398, -1.07039e-15
0.399, 2.92641e-15
0.4, -2.58028e-15
0.401, 1.15005e-15
0.402, -9.81571e-16
0.403, 1.94942e-15
0.404, -9.81573e-16
0.405, -1.78093e-15
0.406, 2.48233e-15
0.407, -1.33685e-15
0.408, 3.50706e-16
0.409, -9.3398e-17
0.41, 5.28336e-16
0.411, 3.50701e-16
0.412, -9.33948e-17
0.413, -1.82207e-16
0.414, -4.57036e-18
0.415, -4.48664e-16
0.416, -3.5984e-16
0.417, -8.9275e-16
0.418, 3.19287e-15
0.419, -2.5803e-15
0.42, 2.21588e-15
0.421, -2.31384e-15
0.422, 2.74878e-15
0.423, -3.73493e-15
0.424, 3.10404e-15
0.425, -4.56995e-18
0.426, -2.31384e-15
0.427, 2.48232e-15
0.428, -2.04739e-15
0.429, 1.77178e-15
0.43, -3.59842e-16
0.431, -1.07039e-15
0.432, -8.03931e-16
0.433, 1.50532e-15
0.434, -1.24802e-15
0.435, 1.15005e-15
0.436, -5.37486e-16
0.437, -7.1511e-16
0.438, 2.03824e-15
0.439, -1.51448e-15
0.44, -8.92751e-16
0.441, 2.57114e-15
0.442, -1.42567e-15
0.443, -9.33978e-17
0.444, 8.83604e-16
0.445, 4.39513e-16
0.446, -4.57728e-18
0.447, -1.69211e-15
0.448, -3.59842e-16
0.449, 8.83604e-16
0.45, -7.15115e-16
0.451, 2.12706e-15
0.452, -2.58029e-15
0.453, 1.77178e-15
0.454, -3.59842e-16
0.455, 5.28332e-16
0.456, -3.59853e-16
0.457, -9.81574e-16
0.458, 7.05968e-16
0.459, 2.61881e-16
0.46, 2.61879e-16
0.461, -3.59842e-16
0.462, -1.07039e-15
