sim_time, unit_box_Custom?world_linear_acceleration/z
0.001, -1.13687e-13
0.002, 2.0286e-12
0.003, 3.41061e-13
0.004, 3.55271e-15
0.005, 0
0.006, -7.10543e-15
0.007, 7.10543e-15
0.008, -3.55271e-15
0.009, 1.77636e-15
0.01, 0
0.011, 3.55271e-15
0.012, -3.55271e-15
0.013, 1.77636e-15
0.014, 0
0.015, -5.32907e-15
0.016, 3.55271e-15
0.017, -1.77636e-15
0.018, -1.77636e-15
0.019, 3.55271e-15
0.02, 0
0.021, 3.55271e-15
0.022, -5.32907e-15
0.023, 1.77636e-15
0.024, 0
0.025, -1.77636e-15
0.026, 3.55271e-15
0.027, 0
0.028, 0
0.029, -3.55271e-15
0.03, 3.55271e-15
0.031, -1.77636e-15
0.032, -3.55271e-15
0.033, 1.77636e-15
0.034, 1.77636e-15
0.035, 0
0.036, -3.55271e-15
0.037, 3.55271e-15
0.038, -1.77636e-15
0.039, 1.77636e-15
0.04, -3.55271e-15
0.041, 3.55271e-15
0.042, 0
0.043, -3.55271e-15
0.044, 3.55271e-15
0.045, 0
0.046, 0
0.047, -1.77636e-15
0.048, 0
0.049, 0
0.05, 3.55271e-15
0.051, 0
0.052, -3.55271e-15
0.053, 1.77636e-15
0.054, -1.77636e-15
0.055, 0
0.056, 0
0.057, 1.77636e-15
0.058, -3.55271e-15
0.059, 1.77636e-15
0.06, 1.77636e-15
0.061, -3.55271e-15
0.062, 1.77636e-15
0.063, 3.55271e-15
0.064, 0
0.065, 1.77636e-15
0.066, -3.55271e-15
0.067, -1.77636e-15
0.068, 3.55271e-15
0.069, -3.55271e-15
0.07, 1.77636e-15
0.071, 0
0.072, 0
0.073, -3.55271e-15
0.074, 3.55271e-15
0.075, -1.77636e-15
0.076, 0
0.077, 3.55271e-15
0.078, -3.55271e-15
0.079, 3.55271e-15
0.08, -1.77636e-15
0.081, -3.55271e-15
0.082, 3.55271e-15
0.083, -3.55271e-15
0.084, 3.55271e-15
0.085, -3.55271e-15
0.086, 1.77636e-15
0.087, 1.77636e-15
0.088, 1.77636e-15
0.089, -1.77636e-15
0.09, -1.77636e-15
0.091, 0
0.092, 0
0.093, -1.77636e-15
0.094, 3.55271e-15
0.095, 3.55271e-15
0.096, -7.10543e-15
0.097, 3.55271e-15
0.098, -1.77636e-15
0.099, 3.55271e-15
0.1, 0
0.101, 0
0.102, -1.77636e-15
0.103, -1.77636e-15
0.104, 0
0.105, 1.77636e-15
0.106, 0
0.107, 1.77636e-15
0.108, -3.55271e-15
0.109, 1.77636e-15
0.11, 0
0.111, 0
0.112, 0
0.113, 0
0.114, 1.77636e-15
0.115, 0
0.116, -1.77636e-15
0.117, 0
0.118, 1.77636e-15
0.119, 0
0.12, 0
0.121, -3.55271e-15
0.122, 1.77636e-15
0.123, 0
0.124, -3.55271e-15
0.125, 3.55271e-15
0.126, 3.55271e-15
0.127, -3.55271e-15
0.128, -1.77636e-15
0.129, 3.55271e-15
0.13, -1.77636e-15
0.131, 0
0.132, -3.55271e-15
0.133, 3.55271e-15
0.134, 0
0.135, 1.77636e-15
0.136, -3.55271e-15
0.137, 0
0.138, 0
0.139, 1.77636e-15
0.14, 0
0.141, 0
0.142, -1.77636e-15
0.143, 0
0.144, 3.55271e-15
0.145, -1.77636e-15
0.146, -3.55271e-15
0.147, 1.77636e-15
0.148, 1.77636e-15
0.149, 0
0.15, 1.77636e-15
0.151, 0
0.152, -3.55271e-15
0.153, 3.55271e-15
0.154, 0
0.155, 1.77636e-15
0.156, -1.77636e-15
0.157, -3.55271e-15
0.158, 3.55271e-15
0.159, -3.55271e-15
0.16, 0
0.161, 1.77636e-15
0.162, 0
0.163, -1.77636e-15
0.164, 1.77636e-15
0.165, 1.77636e-15
0.166, -3.55271e-15
0.167, 3.55271e-15
0.168, -1.77636e-15
0.169, 0
0.17, 1.77636e-15
0.171, -5.32907e-15
0.172, 3.55271e-15
0.173, 0
0.174, 0
0.175, 0
0.176, -1.77636e-15
0.177, 0
0.178, 1.77636e-15
0.179, 0
