sim_time, unit_box_Custom?world_pose/orientation/yaw
0.001, -3.3363e-22
0.002, 9.91951e-23
0.003, 5.31662e-22
0.004, 9.64608e-22
0.005, 1.39737e-21
0.006, 1.83029e-21
0.007, 2.26306e-21
0.008, 2.69616e-21
0.009, 3.12918e-21
0.01, 3.56231e-21
0.011, 3.99506e-21
0.012, 4.42782e-21
0.013, 4.86047e-21
0.014, 5.29334e-21
0.015, 5.7261e-21
0.016, 6.15846e-21
0.017, 6.59139e-21
0.018, 7.02447e-21
0.019, 7.45742e-21
0.02, 7.8905e-21
0.021, 8.32334e-21
0.022, 8.75621e-21
0.023, 9.18913e-21
0.024, 9.62202e-21
0.025, 1.00551e-20
0.026, 1.0488e-20
0.027, 1.09209e-20
0.028, 1.13538e-20
0.029, 1.17866e-20
0.03, 1.22192e-20
0.031, 1.26518e-20
0.032, 1.30847e-20
0.033, 1.35174e-20
0.034, 1.39502e-20
0.035, 1.43831e-20
0.036, 1.48158e-20
0.037, 1.52488e-20
0.038, 1.56821e-20
0.039, 1.61147e-20
0.04, 1.65478e-20
0.041, 1.69802e-20
0.042, 1.74128e-20
0.043, 1.78455e-20
0.044, 1.82788e-20
0.045, 1.87119e-20
0.046, 1.91445e-20
0.047, 1.95774e-20
0.048, 2.00104e-20
0.049, 2.04435e-20
0.05, 2.08765e-20
0.051, 2.13094e-20
0.052, 2.17424e-20
0.053, 2.21751e-20
0.054, 2.26079e-20
0.055, 2.30409e-20
0.056, 2.34737e-20
0.057, 2.39065e-20
0.058, 2.43395e-20
0.059, 2.47722e-20
0.06, 2.52049e-20
0.061, 2.56378e-20
0.062, 2.60707e-20
0.063, 2.65036e-20
0.064, 2.69366e-20
0.065, 2.73693e-20
0.066, 2.78023e-20
0.067, 2.82353e-20
0.068, 2.86682e-20
0.069, 2.91011e-20
0.07, 2.95341e-20
0.071, 2.9967e-20
0.072, 3.04e-20
0.073, 3.08325e-20
0.074, 3.12655e-20
0.075, 3.16984e-20
0.076, 3.21315e-20
0.077, 3.25642e-20
0.078, 3.29975e-20
0.079, 3.343e-20
0.08, 3.38628e-20
0.081, 3.42959e-20
0.082, 3.47287e-20
0.083, 3.51615e-20
0.084, 3.55943e-20
0.085, 3.60272e-20
0.086, 3.64602e-20
0.087, 3.68932e-20
0.088, 3.7326e-20
0.089, 3.7759e-20
0.09, 3.81919e-20
0.091, 3.86248e-20
0.092, 3.90576e-20
0.093, 3.94905e-20
0.094, 3.99233e-20
0.095, 4.03563e-20
0.096, 4.07893e-20
0.097, 4.12221e-20
0.098, 4.16551e-20
0.099, 4.2088e-20
0.1, 4.25211e-20
0.101, 4.2954e-20
0.102, 4.3387e-20
0.103, 4.38201e-20
0.104, 4.42527e-20
0.105, 4.46856e-20
0.106, 4.51187e-20
0.107, 4.55517e-20
0.108, 4.59848e-20
0.109, 4.64179e-20
0.11, 4.68509e-20
0.111, 4.7284e-20
0.112, 4.77169e-20
0.113, 4.81501e-20
0.114, 4.85828e-20
0.115, 4.90155e-20
0.116, 4.94485e-20
0.117, 4.98816e-20
0.118, 5.03142e-20
0.119, 5.0747e-20
0.12, 5.11798e-20
0.121, 5.16128e-20
0.122, 5.20455e-20
0.123, 5.24785e-20
0.124, 5.29111e-20
0.125, 5.33441e-20
0.126, 5.3777e-20
0.127, 5.42099e-20
0.128, 5.46431e-20
0.129, 5.50762e-20
0.13, 5.55091e-20
0.131, 5.59418e-20
0.132, 5.63746e-20
0.133, 5.68074e-20
0.134, 5.72405e-20
0.135, 5.76734e-20
0.136, 5.81064e-20
0.137, 5.85393e-20
0.138, 5.89724e-20
0.139, 5.94053e-20
0.14, 5.98383e-20
0.141, 6.02709e-20
0.142, 6.07039e-20
0.143, 6.11368e-20
0.144, 6.15697e-20
0.145, 6.20027e-20
0.146, 6.24355e-20
0.147, 6.28684e-20
0.148, 6.33013e-20
0.149, 6.37343e-20
0.15, 6.41673e-20
0.151, 6.45999e-20
0.152, 6.50329e-20
0.153, 6.54654e-20
0.154, 6.58984e-20
0.155, 6.63314e-20
0.156, 6.67646e-20
0.157, 6.71978e-20
0.158, 6.76306e-20
0.159, 6.80639e-20
0.16, 6.84965e-20
0.161, 6.89296e-20
0.162, 6.93625e-20
0.163, 6.97951e-20
0.164, 7.02281e-20
0.165, 7.06609e-20
0.166, 7.10941e-20
0.167, 7.15268e-20
0.168, 7.19595e-20
0.169, 7.23924e-20
0.17, 7.28252e-20
0.171, 7.32579e-20
0.172, 7.36909e-20
0.173, 7.4124e-20
0.174, 7.45566e-20
0.175, 7.49896e-20
0.176, 7.54224e-20
0.177, 7.58552e-20
0.178, 7.6288e-20
0.179, 7.67207e-20
0.18, 7.71536e-20
0.181, 7.75866e-20
0.182, 7.80195e-20
0.183, 7.84524e-20
0.184, 7.88854e-20
0.185, 7.93187e-20
0.186, 7.97513e-20
0.187, 8.01841e-20
0.188, 8.06169e-20
