sim_time, unit_box_Custom?world_pose/position/x
0.001, -9.80006e-14
0.002, -9.80001e-14
0.003, -9.80001e-14
0.004, -9.80001e-14
0.005, -9.80001e-14
0.006, -9.80001e-14
0.007, -9.80001e-14
0.008, -9.80001e-14
0.009, -9.80001e-14
0.01, -9.80001e-14
0.011, -9.80001e-14
0.012, -9.80001e-14
0.013, -9.80001e-14
0.014, -9.80001e-14
0.015, -9.80001e-14
0.016, -9.80001e-14
0.017, -9.80001e-14
0.018, -9.80001e-14
0.019, -9.80001e-14
0.02, -9.80001e-14
0.021, -9.80001e-14
0.022, -9.80001e-14
0.023, -9.80001e-14
0.024, -9.80001e-14
0.025, -9.80001e-14
0.026, -9.80001e-14
0.027, -9.80001e-14
0.028, -9.80001e-14
0.029, -9.80001e-14
0.03, -9.80001e-14
0.031, -9.80001e-14
0.032, -9.80001e-14
0.033, -9.80001e-14
0.034, -9.80001e-14
0.035, -9.80001e-14
0.036, -9.80001e-14
0.037, -9.80001e-14
0.038, -9.80001e-14
0.039, -9.80001e-14
0.04, -9.80001e-14
0.041, -9.80001e-14
0.042, -9.80001e-14
0.043, -9.80001e-14
0.044, -9.80001e-14
0.045, -9.80001e-14
0.046, -9.80001e-14
0.047, -9.80001e-14
0.048, -9.80001e-14
0.049, -9.80001e-14
0.05, -9.80001e-14
0.051, -9.80001e-14
0.052, -9.80001e-14
0.053, -9.80001e-14
0.054, -9.80001e-14
0.055, -9.80001e-14
0.056, -9.80001e-14
0.057, -9.80001e-14
0.058, -9.80001e-14
0.059, -9.80001e-14
0.06, -9.80001e-14
0.061, -9.80001e-14
0.062, -9.80001e-14
0.063, -9.80001e-14
0.064, -9.80001e-14
0.065, -9.80001e-14
0.066, -9.80001e-14
0.067, -9.80001e-14
0.068, -9.80001e-14
0.069, -9.80001e-14
0.07, -9.80001e-14
0.071, -9.80001e-14
0.072, -9.80001e-14
0.073, -9.80001e-14
0.074, -9.80001e-14
0.075, -9.80001e-14
0.076, -9.80001e-14
0.077, -9.80001e-14
0.078, -9.80001e-14
0.079, -9.80001e-14
0.08, -9.80001e-14
0.081, -9.80001e-14
0.082, -9.80001e-14
0.083, -9.80001e-14
0.084, -9.80001e-14
0.085, -9.80001e-14
0.086, -9.80001e-14
0.087, -9.80001e-14
0.088, -9.80001e-14
0.089, -9.80001e-14
0.09, -9.80001e-14
0.091, -9.80001e-14
0.092, -9.80001e-14
0.093, -9.80001e-14
0.094, -9.80001e-14
0.095, -9.80001e-14
0.096, -9.80001e-14
0.097, -9.80001e-14
0.098, -9.80001e-14
0.099, -9.80001e-14
0.1, -9.80001e-14
0.101, -9.80001e-14
0.102, -9.80001e-14
0.103, -9.80001e-14
0.104, -9.80001e-14
0.105, -9.80001e-14
0.106, -9.80001e-14
0.107, -9.80001e-14
0.108, -9.80001e-14
0.109, -9.80001e-14
0.11, -9.80001e-14
0.111, -9.80001e-14
0.112, -9.80001e-14
0.113, -9.80001e-14
