Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity,X Force Applied,Y Force Applied,Z Force Applied,X Angular Acceleration,Y Angular Acceleration,Z Angular Acceleration,X Linear Acceleration,Y Linear Acceleration,Z Linear Acceleration
0.001,-1.92E-06,0.0101972,2.83E-06,-1.92E-09,1.02E-05,0.5,-7.70E-10,-2.79E-09,-2.81E-09,-7.70E-07,-2.81E-06,-2.79E-06,0,20,0,-0.000769648,-0.00281285,-0.00278757,-0.00191712,10.1972,0.0028306
0.002,-1.92E-06,0.0301972,-0.00979717,-3.83E-09,4.04E-05,0.49999,-1.54E-09,-5.58E-09,-5.63E-09,-7.70E-07,-2.81E-06,-2.79E-06,0,20,0,-1.99E-27,-4.96E-28,4.96E-28,0,20,-9.8
0.003,3.95E-06,0.0208016,0.00979836,1.18E-10,6.12E-05,0.5,-4.43E-09,1.90E-10,1.65E-10,-2.89E-06,5.79E-06,5.77E-06,0,20,0,-0.00211902,0.00860401,0.00855263,0.0058689,-9.39553,19.5955
0.004,3.95E-06,0.0408016,-1.64E-06,4.07E-09,0.000101998,0.5,-7.32E-09,5.95E-09,5.96E-09,-2.89E-06,5.79E-06,5.77E-06,0,20,0,-7.94E-27,-3.97E-27,-1.21E-50,0,20,-9.8
0.005,2.84E-06,0.0509929,7.11E-06,6.91E-09,0.000152991,0.5,-1.02E-08,8.78E-09,8.81E-09,-2.89E-06,2.85E-06,2.82E-06,0,20,0,-4.31E-11,-0.00294229,-0.00294229,-0.00111596,10.1913,0.00874947
0.006,-1.02E-07,0.0611986,1.40E-06,6.80E-09,0.000214189,0.5,-1.31E-08,8.66E-09,8.72E-09,-2.89E-06,-8.85E-08,-1.15E-07,0,20,0,-6.01E-11,-0.00293741,-0.00293741,-0.00293741,10.2057,-0.00570763
0.007,-3.04E-06,0.0714001,-6.91E-08,3.76E-09,0.000285589,0.5,-1.60E-08,5.61E-09,5.69E-09,-2.89E-06,-3.03E-06,-3.05E-06,0,20,0,-7.71E-11,-0.00293868,-0.00293868,-0.00293868,10.2015,-0.00146938
0.008,-5.98E-06,0.0816015,-1.54E-06,-2.22E-09,0.000367191,0.5,-1.89E-08,-3.82E-10,-2.76E-10,-2.89E-06,-5.97E-06,-5.99E-06,0,20,0,-9.42E-11,-0.00293868,-0.00293868,-0.00293868,10.2015,-0.00146933
0.009,-3.58E-06,0.091802,-1.97E-06,-5.80E-09,0.000458993,0.5,-2.18E-08,-3.98E-09,-3.85E-09,-2.89E-06,-3.57E-06,-3.60E-06,0,20,0,-1.11E-10,0.00239624,0.00239624,0.00239623,10.2004,-0.000426991
0.01,-1.12E-06,0.102,4.13E-07,-6.92E-09,0.000560992,0.5,-2.46E-08,-5.12E-09,-4.96E-09,-2.89E-06,-1.11E-06,-1.14E-06,0,20,0,-1.28E-10,0.00245862,0.00245862,0.00245862,10.1976,0.00237801
0.011,1.26E-06,0.112197,2.63E-06,-5.66E-09,0.00067319,0.5,-2.75E-08,-3.86E-09,-3.68E-09,-2.89E-06,1.28E-06,1.25E-06,0,20,0,-1.45E-10,0.00238762,0.00238762,0.00238762,10.1978,0.00221708
0.012,3.46E-06,0.122395,4.67E-06,-2.20E-09,0.000795585,0.5,-3.04E-08,-4.20E-10,-2.09E-10,-2.89E-06,3.47E-06,3.45E-06,0,20,0,-1.62E-10,0.00219463,0.00219463,0.00219463,10.198,0.00203788
0.013,5.35E-06,0.132594,6.43E-06,3.15E-09,0.000928179,0.5,-3.33E-08,4.92E-09,5.16E-09,-2.89E-06,5.37E-06,5.34E-06,0,20,0,-1.79E-10,0.00189621,0.00189621,0.00189621,10.1982,0.00176078
0.014,5.35E-06,0.152594,-0.00979357,8.51E-09,0.00108077,0.49999,-3.62E-08,1.03E-08,1.05E-08,-2.89E-06,5.37E-06,5.34E-06,0,20,0,7.94E-27,7.94E-27,-1.99E-27,0,20,-9.8
0.015,-1.68E-06,0.143217,0.00978345,6.83E-09,0.00122399,0.5,-3.91E-08,8.57E-09,8.86E-09,-2.89E-06,-1.67E-06,-1.69E-06,0,20,0,-6.40E-10,-0.00703496,-0.00703496,-0.00703495,-9.37702,19.577
0.016,-1.69E-06,0.163187,1.32E-05,5.14E-09,0.00138718,0.5,-4.20E-08,6.87E-09,7.18E-09,-2.89E-06,-1.68E-06,-1.70E-06,0,20,0,-7.01E-13,-8.94E-06,-8.94E-06,-8.94E-06,19.9702,-9.7702
0.017,-4.62E-06,0.173401,-8.81E-07,5.13E-10,0.00156058,0.5,-4.49E-08,2.23E-09,2.57E-09,-2.89E-06,-4.61E-06,-4.64E-06,0,20,0,-2.47E-10,-0.00293488,-0.00293488,-0.00293488,10.2141,-0.0141303
0.018,-7.56E-06,0.183602,-2.33E-06,-7.05E-09,0.00174418,0.5,-4.78E-08,-5.35E-09,-4.98E-09,-2.89E-06,-7.55E-06,-7.58E-06,0,20,0,-2.65E-10,-0.00293868,-0.00293868,-0.00293868,10.2014,-0.00144986
0.019,-4.84E-06,0.193805,-5.15E-06,-1.19E-08,0.00193798,0.5,-5.06E-08,-1.02E-08,-9.80E-09,-2.89E-06,-4.82E-06,-4.85E-06,0,20,0,-2.80E-10,0.00272683,0.00272683,0.00272683,10.2028,-0.00281467
