Time,Y Velocity,Y Position
0.001,0.01019,5.09E-06
0.002,0.02038,2.04E-05
0.003,0.03057,4.59E-05
0.004,0.04076,8.15E-05
0.005,0.05095,0.000127375
0.006,0.06114,0.00018342
0.007,0.07133,0.000249655
0.008,0.08152,0.00032608
0.009,0.09171,0.000412695
0.01,0.1019,0.0005095
0.011,0.11209,0.000616495
0.012,0.12228,0.00073368
0.013,0.13247,0.000861055
0.014,0.14266,0.00099862
0.015,0.15285,0.001146375
0.016,0.16304,0.00130432
0.017,0.17323,0.001472455
0.018,0.18342,0.00165078
0.019,0.19361,0.001839295
0.02,0.2038,0.002038
0.021,0.21399,0.002246895
0.022,0.22418,0.00246598
0.023,0.23437,0.002695255
0.024,0.24456,0.00293472
0.025,0.25475,0.003184375
0.026,0.26494,0.00344422
0.027,0.27513,0.003714255
0.028,0.28532,0.00399448
0.029,0.29551,0.004284895
0.03,0.3057,0.0045855
0.031,0.31589,0.004896295
0.032,0.32608,0.00521728
0.033,0.33627,0.005548455
0.034,0.34646,0.00588982
0.035,0.35665,0.006241375
0.036,0.36684,0.00660312
0.037,0.37703,0.006975055
0.038,0.38722,0.00735718
0.039,0.39741,0.007749495
0.04,0.4076,0.008152
0.041,0.41779,0.008564695
0.042,0.42798,0.00898758
0.043,0.43817,0.009420655
0.044,0.44836,0.00986392
0.045,0.45855,0.010317375
0.046,0.46874,0.01078102
0.047,0.47893,0.011254855
0.048,0.48912,0.01173888
0.049,0.49931,0.012233095
0.05,0.5095,0.0127375
0.051,0.51969,0.013252095
0.052,0.52988,0.01377688
0.053,0.54007,0.014311855
0.054,0.55026,0.01485702
0.055,0.56045,0.015412375
0.056,0.57064,0.01597792
0.057,0.58083,0.016553655
0.058,0.59102,0.01713958
0.059,0.60121,0.017735695
0.06,0.6114,0.018342
0.061,0.62159,0.018958495
0.062,0.63178,0.01958518
0.063,0.64197,0.020222055
0.064,0.65216,0.02086912
0.065,0.66235,0.021526375
0.066,0.67254,0.02219382
0.067,0.68273,0.022871455
0.068,0.69292,0.02355928
0.069,0.70311,0.024257295
0.07,0.7133,0.0249655
0.071,0.72349,0.025683895
0.072,0.73368,0.02641248
0.073,0.74387,0.027151255
0.074,0.75406,0.02790022
0.075,0.76425,0.028659375
0.076,0.77444,0.02942872
0.077,0.78463,0.030208255
0.078,0.79482,0.03099798
0.079,0.80501,0.031797895
0.08,0.8152,0.032608
0.081,0.82539,0.033428295
0.082,0.83558,0.03425878
0.083,0.84577,0.035099455
0.084,0.85596,0.03595032
0.085,0.86615,0.036811375
0.086,0.87634,0.03768262
0.087,0.88653,0.038564055
0.088,0.89672,0.03945568
0.089,0.90691,0.040357495
0.09,0.9171,0.0412695
0.091,0.92729,0.042191695
0.092,0.93748,0.04312408
0.093,0.94767,0.044066655
0.094,0.95786,0.04501942
0.095,0.96805,0.045982375
0.096,0.97824,0.04695552
0.097,0.98843,0.047938855
0.098,0.99862,0.04893238
0.099,1.00881,0.049936095
0.1,1.019,0.05095
0.101,1.02919,0.051974095
0.102,1.03938,0.05300838
0.103,1.04957,0.054052855
0.104,1.05976,0.05510752
0.105,1.06995,0.056172375
0.106,1.08014,0.05724742
0.107,1.09033,0.058332655
0.108,1.10052,0.05942808
0.109,1.11071,0.060533695
0.11,1.1209,0.0616495
0.111,1.13109,0.062775495
0.112,1.14128,0.06391168
0.113,1.15147,0.065058055
0.114,1.16166,0.06621462
0.115,1.17185,0.067381375
0.116,1.18204,0.06855832
0.117,1.19223,0.069745455
0.118,1.20242,0.07094278
0.119,1.21261,0.072150295
0.12,1.2228,0.073368
0.121,1.23299,0.074595895
0.122,1.24318,0.07583398
0.123,1.25337,0.077082255
0.124,1.26356,0.07834072
0.125,1.27375,0.079609375
0.126,1.28394,0.08088822
0.127,1.29413,0.082177255
0.128,1.30432,0.08347648
0.129,1.31451,0.084785895
0.13,1.3247,0.0861055
0.131,1.33489,0.087435295
0.132,1.34508,0.08877528
0.133,1.35527,0.090125455
0.134,1.36546,0.09148582
0.135,1.37565,0.092856375
0.136,1.38584,0.09423712
0.137,1.39603,0.095628055
0.138,1.40622,0.09702918
0.139,1.41641,0.098440495
0.14,1.4266,0.099862
0.141,1.43679,0.101293695
0.142,1.44698,0.10273558
0.143,1.45717,0.104187655
0.144,1.46736,0.10564992
0.145,1.47755,0.107122375
0.146,1.48774,0.10860502
0.147,1.49793,0.110097855
0.148,1.50812,0.11160088
0.149,1.51831,0.113114095
0.15,1.5285,0.1146375
0.151,1.53869,0.116171095
0.152,1.54888,0.11771488
0.153,1.55907,0.119268855
0.154,1.56926,0.12083302
0.155,1.57945,0.122407375
0.156,1.58964,0.12399192
0.157,1.59983,0.125586655
0.158,1.61002,0.12719158
0.159,1.62021,0.128806695
0.16,1.6304,0.130432
0.161,1.64059,0.132067495
0.162,1.65078,0.13371318
0.163,1.66097,0.135369055
0.164,1.67116,0.13703512
0.165,1.68135,0.138711375
0.166,1.69154,0.14039782
0.167,1.70173,0.142094455
0.168,1.71192,0.14380128
0.169,1.72211,0.145518295
0.17,1.7323,0.1472455
0.171,1.74249,0.148982895
0.172,1.75268,0.15073048
0.173,1.76287,0.152488255
0.174,1.77306,0.15425622
0.175,1.78325,0.156034375
0.176,1.79344,0.15782272
0.177,1.80363,0.159621255
0.178,1.81382,0.16142998
0.179,1.82401,0.163248895
0.18,1.8342,0.165078
0.181,1.84439,0.166917295
0.182,1.85458,0.16876678
0.183,1.86477,0.170626455
0.184,1.87496,0.17249632
0.185,1.88515,0.174376375
0.186,1.89534,0.17626662
0.187,1.90553,0.178167055
0.188,1.91572,0.18007768
0.189,1.92591,0.181998495
0.19,1.9361,0.1839295
0.191,1.94629,0.185870695
0.192,1.95648,0.18782208
0.193,1.96667,0.189783655
0.194,1.97686,0.19175542
0.195,1.98705,0.193737375
0.196,1.99724,0.19572952
0.197,2.00743,0.197731855
0.198,2.01762,0.19974438
0.199,2.02781,0.201767095
0.2,2.038,0.2038
0.201,2.04819,0.205843095
0.202,2.05838,0.20789638
0.203,2.06857,0.209959855
0.204,2.07876,0.21203352
0.205,2.08895,0.214117375
0.206,2.09914,0.21621142
0.207,2.10933,0.218315655
0.208,2.11952,0.22043008
0.209,2.12971,0.222554695
0.21,2.1399,0.2246895
0.211,2.15009,0.226834495
0.212,2.16028,0.22898968
0.213,2.17047,0.231155055
0.214,2.18066,0.23333062
0.215,2.19085,0.235516375
0.216,2.20104,0.23771232
0.217,2.21123,0.239918455
0.218,2.22142,0.24213478
0.219,2.23161,0.244361295
0.22,2.2418,0.246598
0.221,2.25199,0.248844895
0.222,2.26218,0.25110198
0.223,2.27237,0.253369255
0.224,2.28256,0.25564672
0.225,2.29275,0.257934375
0.226,2.30294,0.26023222
0.227,2.31313,0.262540255
0.228,2.32332,0.26485848
0.229,2.33351,0.267186895
0.23,2.3437,0.2695255
0.231,2.35389,0.271874295
0.232,2.36408,0.27423328
0.233,2.37427,0.276602455
0.234,2.38446,0.27898182
0.235,2.39465,0.281371375
0.236,2.40484,0.28377112
0.237,2.41503,0.286181055
0.238,2.42522,0.28860118
0.239,2.43541,0.291031495
0.24,2.4456,0.293472
0.241,2.45579,0.295922695
0.242,2.46598,0.29838358
0.243,2.47617,0.300854655
0.244,2.48636,0.30333592
0.245,2.49655,0.305827375
0.246,2.50674,0.30832902
0.247,2.51693,0.310840855
0.248,2.52712,0.31336288
0.249,2.53731,0.315895095
0.25,2.5475,0.3184375
0.251,2.55769,0.320990095
0.252,2.56788,0.32355288
0.253,2.57807,0.326125855
0.254,2.58826,0.32870902
0.255,2.59845,0.331302375
0.256,2.60864,0.33390592
0.257,2.61883,0.336519655
0.258,2.62902,0.33914358
0.259,2.63921,0.341777695
0.26,2.6494,0.344422
0.261,2.65959,0.347076495
0.262,2.66978,0.34974118
0.263,2.67997,0.352416055
0.264,2.69016,0.35510112
0.265,2.70035,0.357796375
0.266,2.71054,0.36050182
0.267,2.72073,0.363217455
0.268,2.73092,0.36594328
0.269,2.74111,0.368679295
0.27,2.7513,0.3714255
0.271,2.76149,0.374181895
0.272,2.77168,0.37694848
0.273,2.78187,0.379725255
0.274,2.79206,0.38251222
0.275,2.80225,0.385309375
0.276,2.81244,0.38811672
0.277,2.82263,0.390934255
0.278,2.83282,0.39376198
0.279,2.84301,0.396599895
0.28,2.8532,0.399448
0.281,2.86339,0.402306295
0.282,2.87358,0.40517478
0.283,2.88377,0.408053455
0.284,2.89396,0.41094232
0.285,2.90415,0.413841375
0.286,2.91434,0.41675062
