Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity,X Force Applied,Y Force Applied,Z Force Applied
0.00185,0,0.00001,0,0,0,0,0,0,0,-0.000011,0,0,0,0,0
0.018517,-0.004648,0.169844,0.00038,-0.000061,0.002808,0.000069,0.000022,-0.000183,0.000041,-0.000641,-0.003257,-0.00331,0,20,0
0.035184,-0.005161,0.339702,-0.002914,-0.000183,0.008423,0.000031,0.000022,-0.000183,0.000041,0.000649,-0.000975,-0.001542,0,20,0
0.051851,-0.004901,0.509524,-0.001877,-0.000305,0.016968,0.000019,0.000031,-0.000366,0.000075,0.000678,-0.000047,-0.00106,0,20,0
0.068518,-0.004794,0.679358,-0.001825,-0.000427,0.02832,0.000019,0.000031,-0.000366,0.000075,0.000845,0.000074,-0.001059,0,20,0
0.085185,-0.004742,0.849195,-0.001917,-0.000549,0.04248,0.000019,0.000033,-0.000488,0.000082,0.000837,0.000207,-0.00105,0,20,0
0.101853,-0.004748,1.019031,-0.001972,-0.000671,0.059448,0.000019,0.000033,-0.000488,0.000082,0.000921,0.000271,-0.001045,0,20,0
0.11852,-0.004841,1.188869,-0.001972,-0.000793,0.079224,0.000019,0.000032,-0.000641,0.000082,0.000922,0.000266,-0.001041,0,20,0
0.135186,-0.004989,1.358704,-0.00197,-0.000916,0.101929,0.000019,0.000032,-0.000641,0.000082,0.000918,0.000264,-0.001038,0,20,0
0.151853,-0.005177,1.528539,-0.00197,-0.001038,0.127441,0.000019,0.000031,-0.000763,0.000082,0.000919,0.000262,-0.001037,0,20,0
0.16852,-0.005332,1.698372,-0.002005,-0.00116,0.155762,0.000019,0.000031,-0.000763,0.000082,0.000824,0.000328,-0.001036,0,20,0
0.185187,-0.005576,1.868206,-0.00197,-0.001282,0.18689,0.000019,0.000032,-0.000916,0.000082,0.000916,0.000258,-0.001035,0,20,0
0.201854,-0.005838,2.038039,-0.001968,-0.001404,0.220825,0.000019,0.000032,-0.000916,0.000082,0.000917,0.000255,-0.001035,0,20,0
0.218521,-0.006113,2.207876,-0.001968,-0.001526,0.257568,0.000019,0.000031,-0.001068,0.000082,0.000917,0.000253,-0.001034,0,20,0
0.235188,-0.006336,2.377709,-0.002003,-0.001648,0.297241,0.000019,0.000031,-0.001068,0.000082,0.000823,0.00032,-0.001034,0,20,0
0.251855,-0.006634,2.547545,-0.001966,-0.00177,0.339722,0.000019,0.000032,-0.00119,0.000082,0.000916,0.00025,-0.001034,0,20,0
0.268522,-0.006878,2.717379,-0.001999,-0.001892,0.38501,0.000019,0.000032,-0.00119,0.000082,0.000824,0.000316,-0.001034,0,20,0
0.285188,-0.007195,2.887214,-0.001966,-0.002014,0.433105,0.000019,0.000032,-0.001343,0.000082,0.000917,0.000244,-0.001034,0,20,0
0.301855,-0.007454,3.057047,-0.002001,-0.002197,0.484009,0.000019,0.000032,-0.001343,0.000082,0.000824,0.000311,-0.001034,0,20,0
0.318522,-0.007721,3.226882,-0.002022,-0.00238,0.537842,0.000019,0.000031,-0.001465,0.000082,0.001005,0.000309,-0.001034,0,20,0
0.335189,-0.007995,3.396719,-0.001997,-0.002563,0.594482,0.000019,0.000031,-0.001465,0.000082,0.000822,0.000307,-0.001035,0,20,0
0.351856,-0.00834,3.566551,-0.001963,-0.002747,0.653931,0.000019,0.000031,-0.001617,0.000082,0.000915,0.000233,-0.001035,0,20,0
0.368523,-0.008624,3.736387,-0.001995,-0.00293,0.716187,0.000019,0.000031,-0.001617,0.000082,0.000823,0.0003,-0.001036,0,20,0
0.38519,-0.008916,3.906223,-0.001997,-0.003113,0.78125,0.000019,0.000033,-0.00174,0.000082,0.000824,0.000296,-0.001036,0,20,0
0.401857,-0.009211,4.076057,-0.001995,-0.003296,0.849243,0.000019,0.000033,-0.00174,0.000082,0.000824,0.000294,-0.001037,0,20,0
0.418524,-0.009512,4.245892,-0.002016,-0.003479,0.920044,0.000019,0.000031,-0.001892,0.000082,0.001005,0.000291,-0.001037,0,20,0
0.435191,-0.009818,4.415729,-0.001991,-0.003662,0.993652,0.000019,0.000031,-0.001892,0.000082,0.000825,0.000288,-0.001038,0,20,0
0.451858,-0.010129,4.585566,-0.001993,-0.003845,1.070068,0.000019,0.000032,-0.002014,0.000089,0.000822,0.000283,-0.001038,0,20,0
0.468525,-0.010444,4.755398,-0.001991,-0.004028,1.149292,0.000019,0.000032,-0.002014,0.000089,0.000823,0.000281,-0.001039,0,20,0
0.485192,-0.0107,4.925235,-0.002047,-0.004211,1.231323,0.000019,0.000031,-0.002167,0.000082,0.000913,0.000346,-0.00104,0,20,0
0.501858,-0.011024,5.095068,-0.001989,-0.004456,1.316284,0.000019,0.000031,-0.002167,0.000082,0.000825,0.000275,-0.00104,0,20,0
0.518525,-0.011352,5.264902,-0.001987,-0.0047,1.404053,0.000019,0.000032,-0.002319,0.000089,0.000825,0.000271,-0.001041,0,20,0
0.535192,-0.011621,5.434738,-0.002043,-0.004944,1.494629,0.000019,0.000032,-0.002319,0.000089,0.000914,0.000336,-0.001042,0,20,0
0.551859,-0.011957,5.604573,-0.001984,-0.005188,1.588013,0.000019,0.00003,-0.002441,0.000089,0.000824,0.000265,-0.001043,0,20,0
0.568526,-0.012233,5.774407,-0.00202,-0.005432,1.684204,0.000019,0.00003,-0.002441,0.000089,0.000733,0.000331,-0.001044,0,20,0
0.585193,-0.012515,5.944241,-0.002039,-0.005676,1.783325,0.000019,0.00003,-0.002594,0.000089,0.000916,0.000326,-0.001045,0,20,0
0.60186,-0.012801,6.114079,-0.002018,-0.00592,1.885254,0.000019,0.00003,-0.002594,0.000089,0.000734,0.000323,-0.001046,0,20,0
0.618527,-0.003646,6.283947,-0.003544,-0.006042,1.989868,-0.000031,0.000091,-0.002716,-0.000096,0.001776,0.008329,-0.0006,0,20,0
0.635194,0.000569,6.453777,-0.002958,-0.006042,2.097412,-0.000046,0.000091,-0.002716,-0.000096,0.001485,0.003319,-0.000659,0,20,0
